vymlrnhlpi,hbbpyuvhlu,htapqepimf,cqbbpmewil
woppmmnetq,-256,0.3735,256
-265,DOG,cAt,bdurgnpmsv
936,DoG,-294,seesctbfni
ugbxgoyktd,ksbqxkkjwd,DOg,dcxbilwipi
Dog,0.142,0.468,-0.0985
157,-268,jnjpbarfsl,yvrvcrjnhu
-139,azoitnadhb,fevvtiheie,0.395
-526,0.3675,-0.4725,caT
0.204,jcfqomfghd,cAT,rnjpfscjcf
dOg,lmyuhdhfph,khvufqxcwz,-263
krhazotmyr,pkxkqswssl,755,rpqgcduckr
cAt,0.0815,rjaifuhqbs,-0.2825
nrnkqihehe,-0.2905,obxdhmuqxt,-0.131
-0.412,fjulljbyts,frxnakgkmo,-885
-39,0.3055,vgastnsizj,-0.02
ltjzhcvzhe,dksypuqrsn,-765,-948
-0.023,jhbczuutfh,-0.2725,rbknwzezgi
-0.336,0.37,-0.139,-285
-428,-0.2385,nqvbfjqowk,efaqgwgtlm
suehkxgsps,znlywmrinz,dhomhcoenr,gihtasjkef
0.296,0.013,-0.3405,-0.332
-0.096,dOg,466,0.319
-289,0.171,dOG,0.2765
362,cidkwolmrx,ldpzxisvps,0.056
0.4745,0.064,ohgkdtgdla,dOG
47,cAT,lpydxzmiij,llcjjwfpwp
bvllvlhbvl,765,0.349,hhcdpdpzmm
vtzcbifbwt,285,0.0795,0.292
xixprsplpa,ayerqwdvfw,wlkxcvdimx,983
-0.1705,-0.115,cAt,coxyzwhflc
-580,132,caT,womnuqwtub
-0.172,hvyawydrky,-9,0.017
Cat,btqvhxhnov,-752,rfzwtcgcnb
wtytcjpvkj,925,DoG,-79
88,-255,978,-0.1905
864,-0.1385,CaT,942
-0.4325,cat,-578,0.1865
9,-42,-0.042,-866
-0.0725,krcwnzlyqw,CaT,dunjqhmsyf
-0.374,zyyjlznztu,-0.4965,0.263
0.0525,ibftuzxqad,210,dszkwguwju
wxjpresnwi,cAT,szcheyaldl,0.0095
-906,0.085,-198,zhboglkkvg
yeadvtzeah,250,-18,caT
-0.1955,0.3715,ymnuolyfbg,-554
101,zthbpterfd,doG,hdkebidtnl
dog,rwlzduuoll,Dog,-0.2495
-957,0.0665,81,-395
0.1035,-924,DoG,619
mocqzhwhca,-0.438,kcopndujtl,173
jbxxwbafna,0.473,iadwswjdkj,0.2795
cat,pwvnllgpcp,vfwzlcqjad,-0.052
DOG,0.212,984,-35
0.3595,-362,0.1025,jsyzxxbxbd
-769,0.114,0.4185,0.3615
0.1225,-286,oywlfaxmcp,-515
536,gogdmgzwyp,-427,tdpnwcwbzg
nxqwnxvxyx,520,520,dOG
0.4425,bxqvhamgre,201,-900
-395,0.055,-756,977
-621,dog,180,176
0.2205,193,946,cAt
lsggqksqlj,-0.1245,opkopnlmlx,ohfjjlcfft
-613,CaT,-0.311,adehfjayvx
-0.053,193,0.222,-626
-0.0425,-0.202,-341,jluubliagi
262,679,452,-0.211
-0.226,-45,-611,jqmlxerujt
cAt,kitwsxmriw,vxjrifyyrp,0.284
DOG,0.0745,0.127,rndcbeuejg
-0.186,guursllhvd,osyiexzvtw,608
mieictxsrt,uwohwknsep,hhynbajdoi,8
zhgahhgjor,vcotnndygj,gekkeohvix,Dog
-954,0.2185,-613,dog
dog,0.193,ygoqspflyi,0.4455
zyodtsjozg,knxkrftpuc,0.4085,-211
tkigtbhceb,-897,CAt,CAt
-242,-164,-575,0.4105
oojuzpygjb,urjuiigkgi,ooxxpyuymp,0.017
caT,mbrayjdchs,dog,esheemsdim
-160,-652,cat,34
byshcazkav,aurwzqvtcs,0.297,-0.376
xhjaiexlii,-98,461,dOg
dOg,-0.274,716,650
rkxvdtldla,bdvtthemku,sfkgonkefh,pxdhpnmmxw
