bywdoaoozb,neakwkunxm,ckvavtqtmk,ejwotgadis,kunmaqfxzy,simsgqvtzb,upahpvvwbd
346,0.1195,dOG,dog,-0.4515,yiyosepaqc,730
caklypeuae,634,mmowwjglcy,-163,CaT,xsdtsmapzk,-0.325
-0.386,zgereynjla,dog,ugtakjsjtx,659,790,-317
-174,nfboawxyeh,975,Cat,caT,tkzxnusgfa,eqbsiitksa
tuxjenlckq,ptiuzzezxo,-0.0525,cat,cat,-94,0.235
-474,gnejnpssfx,0.264,-768,-0.2975,-875,999
-406,vmigwirpxv,esludqankc,-0.005,-678,yyvdpgsrtp,0.3025
-0.27,doG,vtvwdzmcec,uekrfdwhzj,91,-560,-174
cAT,avzcurqczg,-0.0015,0.1615,mddqgzunox,0.3875,-278
-0.2855,0.2045,-186,0.4525,dOG,cat,-0.309
470,-0.167,cat,-0.327,rcimmedfbd,-0.181,ftysfiutmv
-306,0.412,cAt,0.1195,664,mlkoofsyfg,-606
-17,lbcekslwcn,881,0.1375,dog,idschvxkex,ovcpyexapx
hkpxjdymwr,-0.192,dog,-0.449,0.2895,550,986
wvwbgtvanv,0.004,-0.0165,-0.049,anshiyqnha,ptcunabiag,CAT
dOG,-653,0.0255,Cat,714,-0.2005,DOg
qcxkkwufob,cAt,CAt,-424,-0.219,hoseqfknqe,0.0155
-0.4675,-0.376,574,-0.116,0.129,-0.1875,ijndefjaqc
