gbknrcryhb,vadeynsmfw,brfnhgpeut,gobdslpwij
htbuqgehnn,0.3485,-192,DOg
-443,192,0.4325,-447
532,DoG,-0.2695,195
jgjyeelzbn,ibafhwaytj,-0.1175,135
cAT,0.3785,xczlvyxwoy,dOg
0.477,-0.0575,CaT,0.4015
kajzjyjaze,-0.1335,zarcicamne,nyyfcvcmkb
0.3775,dog,0.321,vfficfplkq
0.1285,-0.182,itxwolafvm,dOg
227,0.172,-0.389,159
-84,-0.1835,CaT,fgtuqsvxwe
-985,ildxaxfgfk,-0.3565,633
0.4515,-0.288,-367,gksfbceava
-0.176,eqmfknwmat,DOG,716
mqisyrkakf,-0.3905,326,0.115
caT,dmhtqmcjhc,781,772
dbbgkeorqa,-0.267,0.1475,pjusutknxm
556,-0.036,qrzptnbkyc,Dog
0.3055,-335,-0.258,-0.478
-96,0.134,721,-0.102
DOG,sxnzfzskoi,691,0.3485
-701,818,jbhwfrqdof,CAT
dOG,0.091,knrzedigei,idmnpllsqc
rinufwtqwb,344,Dog,khqknvpgqm
CAt,0.3545,vdelckyxxs,qzcdixhdec
0.413,eqskbzsiml,310,-0.4325
0.451,-240,clcqwonstv,doG
DoG,znalthkkpy,-227,vczoeakadb
905,vltwjwiwpw,dog,CaT
aqzajaoyjc,abhxrhykts,-0.172,0.0235
yrpvppnatc,77,cat,ijangmxprw
Dog,vqgtpcpbvw,-412,CAT
-700,0.166,199,CAT
ynarhypynn,cat,xmdruxoyfx,-0.1875
-568,fdkbyhwewg,0.4825,jqqivwgeea
bienfgasxi,827,mvtnrswiwx,868
DOg,0.259,CAT,cat
694,ztnnftvzgc,22,lavmwqqbgi
837,dOG,0.3895,-0.0575
-0.2465,0.453,-698,-0.0475
-814,-532,0.0875,104
CaT,-61,Cat,snousyqcdu
75,-0.119,0.278,0.395
-728,0.4775,0.384,wjzgvwbifi
-1000,avmnyohsod,vlnuooucee,-0.0255
bdmtpxnqol,0.322,tedayunqbb,-0.268
ptwjyknvyv,-720,hiceaerdzu,239
doG,0.062,-540,0.0705
doG,0.267,dOG,-279
937,-0.237,-0.3005,kaxhastnjb
-983,0.4935,-0.496,dOg
-565,DOG,CAt,doG
altnhoacxp,ujqowymbdb,-0.445,-0.416
ldwggubwcr,zocdopqbdk,nvgskrlbme,-0.0665
fxngenehhj,436,0.3905,fmusbacxij
