qfnusyjlyw,sxjbspwxjt,kiwheqhjhl,pncdekmwla,PEt,aahqbjtabl
692,-0.044,edgcnbetos,-559,pvrdbtqpks,cAt
-955,0.204,379,kajzzggvzt,doG,Cat
zxvxsiwhfe,0.4495,-0.1705,146,DOg,swaqgxbgri
0.2805,0.078,996,0.187,0.1825,-167
-0.0815,hnuoxbroge,bskohdmpcf,0.21,-201,51
25,DOg,doG,0.3,CAT,lcvbzqbsqf
DOG,399,0.1095,bzmzxlsqid,DoG,Dog
-756,CAT,-0.2355,glxpztsnsw,CAT,gcvzpsizgl
928,CaT,123,-547,CAT,dOg
-0.4435,0.437,-0.0635,psgzxqhxub,CaT,0.2545
-886,zftfziuiyj,-212,0.19,-73,qrloblvubn
-162,-91,DOG,327,doG,35
Cat,657,-737,gsustpifdh,Dog,Cat
-128,538,eyflpcrqsp,ssydwpukgo,caT,CAt
-409,jkhlgqoyhv,-171,0.2585,cAT,qppzpyenzu
Cat,-377,0.4555,dog,311,pftdbemuab
635,0.0345,0.1915,-327,caT,febwcfsksg
xeeypmerau,doG,-797,747,DoG,zzudkyexmm
0.454,191,-0.1955,-0.46,CAT,Dog
747,0.278,dOg,yxtqbqymuj,dog,0.195
DOG,-472,ygyjuihuds,phgvquooaq,okfhfxaagy,0.0515
wmxyxgbhxv,-273,-0.187,0.2535,219,zpavihbkrl
cAt,advlphhzwp,vguicifxdp,udcieurpnj,-24,0.281
902,-0.045,-570,452,DoG,-43
548,hubslifocq,Cat,564,Cat,DoG
qfxfxleapq,ovrclchuju,0.3675,624,DoG,-0.433
knpukofwjk,dog,988,-0.3635,DOg,afcbxxsoyh
-0.3545,0.0045,0.221,zfrcekeyrh,caT,-422
762,cghplzjwvg,-0.4915,chyqiicjch,cAT,qpyygstvkh
830,-350,-0.165,-933,DOG,-0.451
DOG,787,dyndnndwpr,tddpvzlski,CAt,0.093
mcyjiotubr,-371,94,-0.387,DOG,-583
0.11,cAt,-503,ygclbavntp,Dog,-0.002
-0.217,416,-120,-0.2635,CAT,-822
DoG,flobqyfqdt,txdlkofhez,iurihvpbla,-0.4845,541
-543,pmyvoerkpi,692,ndjapckgri,DOg,dog
993,-403,-0.2155,kiisdnpvrp,-711,0.4575
cat,0.19,414,Cat,CAT,526
DOG,0.0315,htjwdrpgxf,ljefmcufdc,doemubphbz,240
0.2195,402,Cat,dOg,DOg,hcauffjjvo
djktszifst,sjhxgmuxax,qsxzpjshxf,ifamsocxoe,Cat,685
kuvxackzft,-0.1045,-0.28,dOg,cAt,-109
-728,0.1075,0.4985,-4,DOG,0.2655
