fmxdqstzbw,aimpgomsdv,fvmqslpplb,mftwbvtoqk,wkamiovcvc,clcmxkhfad,cvbykcjqvn
-796,dOG,-939,whvdrdwnmu,920,422,-0.432
huskpnrlak,Dog,iuprfbkdmr,0.2775,dOg,63,125
-0.41,0.493,CaT,0.135,hzzrlddieq,-460,-0.3125
-0.171,mdnyyuilcn,-693,-0.351,-0.1665,994,caT
DOg,774,0.328,qjhtlwakkj,263,-0.4885,dOG
28,0.0595,dog,94,-316,358,DOg
bzpxzbuawe,0.266,-0.2255,-109,bzlfeanrek,DoG,flztemqwpu
-0.4235,-0.283,obabpprtux,712,ennpsfhhne,0.139,cAT
qebdfdbvsq,-266,DOg,-877,455,xnuznhditp,-571
awwkfuzhxf,nvurnkseet,pafpxbbnzg,ayrjguiicn,0.416,Cat,0.379
-731,872,-0.428,cAt,dOg,DOG,zocshgwhxt
hogzejzcqa,-589,cAT,-194,0.0675,CaT,-597
250,btyvbukwlt,671,0.2705,-871,caT,DOg
chygwthzpu,doG,0.0285,-646,0.088,ppwxjeolqh,awuytnpbry
-297,427,75,0.37,631,-7,uetjcxqluu
419,-0.1345,zdtbkatcle,237,ywuwbhygcg,CAt,caT
491,pngqsdcglk,-502,0.455,ibkqedlufq,0.3065,715
caT,-665,gbqkmvblsa,-0.2975,eihhfvegfp,-0.4835,DOg
-365,dOG,caT,0.199,849,-828,dOG
-0.108,-0.1625,wavsmcqyjl,-47,-707,CaT,-432
-70,-118,rhjljkswjd,qoetddggib,715,hqptsypmjz,-136
-683,DOg,doG,ouhauhuenm,-0.308,zpdmiakcqp,-0.4235
186,831,-525,hfytoamryc,bjaupwimyb,803,-730
cat,-0.25,-0.382,330,CaT,0.3065,dxemczqbao
0.275,952,501,-272,-225,-311,0.439
bmzzvickxr,Cat,475,0.061,hnbhhdbcsq,-285,-133
rhtnvwbquu,-440,-201,CAt,-0.165,jciauqhnbt,bvcvvnksgx
cAT,rjicevnvoe,-780,wegoquhina,fcjduxlsmv,-150,0.028
bhmfvrxvtr,snrbqqxqwn,512,elbrmihohe,189,-320,-0.3325
afpcuyspgu,-88,66,dOg,0.32,-0.4725,xocztrzaxl
yfgekmrlmx,xnnlcxjjhh,gufxarcbmw,nuzlskycws,0.3545,cat,512
0.186,0.442,0.3405,DoG,oibdslicrf,dOg,240
-728,xyjwyubocb,-222,0.082,fmdebqbaqa,DOg,cAT
359,fzljbmjuyy,-0.458,624,vcyjamixrs,zifllwfhil,-629
934,-511,dfoxnfvfdz,834,xarhbphwzx,-134,0.387
728,-0.172,doG,bbuzeesmus,-977,lnpvunhyiy,DOg
goouutvclb,839,466,DOg,zadtacitqa,-0.269,-382
edyvjdagoh,dOG,vlazvzaebx,fclxwjvgll,-0.434,fwkemxehar,0.192
0.034,yuzvdlvbae,-626,0.1535,DOG,pessjnorkd,0.196
46,CaT,cdxvuhvvde,0.1465,649,hkxomidfzf,272
363,-296,79,690,0.195,DoG,fjmpzspsuc
CAt,jdoctyimex,fxedgppblx,743,-0.2925,972,nzantxgwfz
dnqbmitshb,0.4015,oyvphnbbsm,394,CaT,zyegfbqmqa,aabfawhgtg
ogvuilfriv,-0.3225,669,0.06,0.23,-507,apewrwubmk
hpzvtcdyhw,-44,-412,ddqfmqpyyl,-0.284,Cat,dOG
-0.4475,0.387,0.443,Dog,cat,DoG,rkzrffxzwx
feelmdzwak,CaT,xgkfrkzozb,737,380,0.112,-0.4215
gldpgwxldg,-0.4595,jiixnjjixt,0.1105,rryvuxncyx,0.4555,0.4065
803,cat,frwzscpnsw,antudjqmbh,doG,zwtzqvkicc,iclefpwwcs
DoG,0.2065,0.001,jdkvczwfsq,-0.2485,uxyrjidjec,DOG
181,doG,nbqrauqacz,gcmkawcwig,alxxevareq,734,0.0825
990,-0.2855,0.473,-0.359,-0.1845,-0.28,-500
fotnbwhhxv,zbdfzfmiqo,-10,-0.3655,-0.5,wmhankxrpp,0.0225
-522,-66,0.418,-835,-0.021,-0.273,xknbxqifsd
rjhfzsjhhz,doG,zeymvobwxc,0.1895,dog,515,dOG
-38,182,0.368,CaT,-360,0.43,okvjbtptcc
-657,doG,-329,237,-0.3105,ydxazlotvs,-138
