sjjptgujza,nkcpdevvxp,uglzyymbxq,qqezeugefp,iocjqazlav,zqgccedqbi
lbkvqdcsii,433,doG,rmvvtluefy,-0.4035,ajpwwjwdfb
-0.1075,dOg,0.0745,0.272,0.0385,61
-0.01,-0.208,0.37,-0.045,14,iheolajgae
keiuseqtej,dprzeqzhmm,0.1345,58,kympeckkpm,DOG
DOG,813,cat,mjcmacuhtv,pbdyxbntwc,0.399
0.3945,-995,upwmuuzzco,-151,kgldrejmiu,dog
0.011,sxeiglstqg,dOG,CaT,0.319,0.353
tgprskvgwc,-58,-0.142,327,-0.3805,-818
-554,-0.204,-232,-964,qheebsniai,fvuxrwphgn
-0.3395,-0.284,-0.1435,-611,0.148,-999
phrvhsrypu,0.056,339,nijhuuytgr,-942,jzwqfacxoo
nozzorsths,188,-607,-745,-431,836
nlbjekczgh,Cat,nhkjuvxqsf,cAt,-0.2675,-195
DoG,-0.355,-0.146,0.2685,88,caT
-403,-0.075,vnrhbvdsgu,56,-0.2065,0.0175
-464,-437,szqgqpxkzr,-0.246,ybnmpoqtyc,hzvzqjfwyi
-769,-0.0985,dog,ejimcfoyry,-738,-474
DOG,999,fspifofach,0.076,471,646
DOG,wlzhuffxqz,-607,0.264,0.22,0.4405
Dog,0.1465,caT,84,-0.259,usiitugnqn
0.2315,-0.3745,-0.42,htclzqztxa,0.323,0.162
CAT,-0.2185,kttymxdcer,covweohewr,Cat,913
-839,-519,0.3985,bwdvzmjhhj,0.151,66
-0.418,0.047,cxkyzebviz,-0.276,bkqbkljvtj,93
0.144,0.2295,-0.1,dOg,753,674
535,-0.4685,954,0.4675,-0.492,kaucosgpjo
ckqabdgwmy,-812,-170,0.1915,dog,refiyodxum
-0.2715,0.054,0.0855,0.451,-295,caT
-0.0575,-151,0.1255,cobgxrwnkt,dOG,0.4745
-734,-59,cat,bjjddijzjn,0.182,qwepykthqn
-496,skqeqyoyhw,CAt,zgognxbgbn,-0.028,dOG
iunncwzfyv,-0.2035,itywalsozo,fthyzuymus,-0.165,rapamcjrfl
631,cat,-687,-0.1855,87,ylrmfdmhdg
-0.3775,783,0.1665,dOg,-0.499,irlasusbwh
-0.2,rwcpxxddew,-0.3995,-87,CAt,fgcfnbnesn
839,Dog,lnchbmggmx,0.0285,DOg,CAT
-376,0.042,-313,-566,0.007,bihlyowofk
-385,doG,gngnrjvllh,dOG,-247,831
dog,ghdyisphad,-412,697,428,spjwwelwgl
kieevkgjov,0.311,780,jbcmmygvwh,647,184
359,aqyrpstyxr,wfjpoykdey,caT,-827,-0.428
cazedigotb,sljotmxzql,-0.2155,0.1425,547,CAt
bgfevpsquq,0.005,613,749,zmbjancmnm,422
-360,cpljkhlxil,-0.4985,wmrrpfinad,359,CaT
hmyxumagqm,-0.1475,-573,DOG,vfkrojocbc,0.209
-526,hwyouuxnyj,-392,629,178,-535
715,0.2735,-736,heemwoqelj,-283,nvqijhposx
-0.363,Dog,-0.2185,vggbrmecjw,0.109,xnivdlwcke
jolzugplnp,pxlxmyxlqh,caT,-0.248,794,dOG
0.029,yfyzyihsug,-0.456,790,lxztfvrouh,cAt
-0.0255,peemaajppu,dOg,0.159,937,0.186
CaT,CAt,-0.2465,455,qhoqnrsmyx,Dog
CAt,-0.0695,0.1185,lasmmldsvm,981,-933
-0.2955,-0.2875,jxnytbmxzl,-554,qcifafmqsy,406
-0.1265,-509,-0.3055,0.379,0.13,hpqzitywau
0.459,-515,gjjqezxbdm,qycvcgnfio,-49,dog
