Pet,clrrhobwwu,yshhysdlip,mwzotmaico,xlnedwawvn
cAt,0.4265,cat,0.147,etnlddqxnd
CaT,lgsnksqofe,qbahaksrbr,caT,wdzhrgrrfc
klqzyvhpic,Cat,venufumlwi,-418,0.198
CaT,DoG,bygwcldopd,835,pjbagpaogo
dOg,-380,chnqqnnllt,-0.307,0.3905
xgbcglovbr,eqiaopuqar,0.069,-0.0605,ovjpnauxfl
Cat,cAt,xekzovuado,-165,-0.26
doG,-615,0.496,qpiocbtsxh,791
DOg,xhtmnmwxqc,-0.102,caT,-0.049
cumzbbdnrm,hzknajtyvv,lrzppyxear,-0.399,634
caT,dgoedbxhbo,DOG,xordzubhlt,CAt
-0.0265,mzonkyxhuy,dOg,0.234,285
diioyjlolu,Cat,CaT,culeompjht,0.446
DoG,-526,-0.4655,DOg,-0.2455
cAt,huquxpoyzi,CaT,-17,0.422
DOG,mnihuixzzq,170,56,-0.041
yovjlycyzg,disgurbffa,DOg,dOg,Cat
CaT,-0.48,bwjvryfcha,-0.385,-62
CaT,0.291,-657,-840,-0.1225
523,838,0.3465,gtdczrcmdp,516
cAT,dOG,mvpylqatzn,yrgqlscjye,65
cAt,qatietveze,oujrojdpvo,-621,-0.24
cat,DoG,0.441,0.2735,-616
DOG,jcxuzzucgn,970,-596,726
dog,0.197,400,-203,boyoqgxmnf
rqzuqzahdx,84,-0.199,-205,gfrqlsuiqg
hxwtwozbyy,0.4025,0.1535,576,-842
bowfrnutmw,qsuqebzeax,78,ipkwsasedd,wxohphyavj
dOg,cAT,-509,Cat,-0.077
cAt,dog,0.437,dtooedfduy,dqftfknfhu
