bpispyrcyf,lqigtyubvp,iyzwlijmnz
0.42,ovnjcwjsdi,fxpugbdpak
0.29,ankjvggfju,gounasieiv
cat,yzhoqnqtkl,40
qsbrunwfjr,hebcnmbfwo,0.126
0.0285,nnjwikvhay,kjhngcmgxp
Cat,-0.088,zlunhjjyvt
0.176,-0.4475,zzrbhrtqnm
uaoaggdkgq,kqwbycjcgu,-643
244,0.0175,DoG
-0.2195,trmhehzhea,126
-611,0.3895,Cat
-889,-0.3575,doG
cat,dog,-0.0735
-218,-0.169,-955
-781,365,976
-0.0345,919,vrgdehxlwm
-0.213,svxsqbkbye,dOg
0.3705,0.2565,avvbetslly
DoG,0.4715,yuppkekegr
zxnaqhtbtq,-0.426,0.185
0.459,606,-890
-488,tkzlfhgapi,0.2955
0.0495,ocpnqdgotv,myifytwnka
939,rfnvjtylcf,0.201
cat,Cat,-672
DoG,CaT,0.2005
syhknbwhnb,0.305,-572
-373,flwrrekzji,Dog
-0.014,cat,opxewzcczq
DoG,377,446
-0.2025,fmofjalsfu,411
0.357,782,0.1155
okwuqyciaa,dog,-369
118,Dog,-0.38
caT,435,yqvfvvjlne
-0.4535,-58,siqszgdquk
pypmkbhxvj,chxknuizmx,ghurixavag
-0.481,aezwwtyqzz,qedabibfad
CAT,0.332,pahrqazrpz
260,mritzaikaw,cat
0.014,dOg,-0.426
DOG,0.4735,-913
0.253,-352,-131
enivhgkzsd,794,0.244
tbkbiugwdh,406,doG
-0.1195,xnfoejggga,omwscuizre
fthjqdyorp,0.236,831
0.4335,CAt,0.477
doG,-952,drdltfkadi
kmqsuqwlyn,-0.4085,-0.042
caT,-977,-0.3355
oyykuaperv,eyzkvmxbpd,zkphybktfy
gyqodajexe,0.4965,288
839,vunzhynfix,-0.016
DoG,468,DOg
DoG,Dog,xcuweeyprb
upxjaurbdv,349,-0.2205
188,-448,954
xsuqhkhsda,-0.2695,0.032
0.376,-0.3875,CAt
0.1005,cAT,-957
0.244,hawmdmytkf,DOG
962,-0.3155,-0.1325
838,sxaexfgxmk,hoateephen
433,annvwhtokl,Dog
-0.008,27,-0.2315
-477,qweobuudcy,338
dog,bypredquhx,-598
940,-0.2955,691
0.265,-582,549
-0.163,DOg,dOg
0.2735,0.1495,ibjdepbieo
qjstubnkdd,-847,ukygtrkajz
CAt,-61,CAt
qyfuslqyoz,DOg,-0.165
958,flbfqrcnrh,urybvadbai
gpjafeisqd,ehefwkgyjt,irzdtyvgpu
949,cAT,dOG
761,0.189,742
0.4375,596,-754
-222,0.2185,hewnisvxay
-207,-190,wiunbkhcfb
DOg,gngkyudnya,0.3215
0.2235,sdbtonicft,103
CAt,589,0.255
0.0435,cAt,dOG
hmgluitcyv,dOG,-0.3495
0.2275,-0.2075,-0.2605
-391,0.277,0.337
-772,Cat,yjhxiagxao
vuiyxrqkds,ebhezactjo,CAt
fuwhopdvke,0.3795,-773
-51,-422,qzcxhcgakv
tuvgpaoxgl,-329,ifineysgnb
