gdrejatttr,gndikmxqje,zhkmantvvg,xudvgxbfft,PEt,jtrlcsexpy
tswvnwvfxt,eaeurkqlpj,242,Dog,dOg,pezkkwcfaa
-0.0295,0.171,643,654,nzhtqwbvsn,immjbttiaq
0.1365,CAT,dog,xcinzkxpfv,-59,-530
wolaekihum,844,-586,DOg,-0.1595,jvnswxhdft
hsgrphymah,-0.4355,505,zidavovtsd,dOG,0.4535
esjdebmyzu,DoG,-325,cAt,CAt,Cat
jybqlwndkq,-0.2875,ldmsuammba,761,ysbysfvmdg,-0.354
567,dfegshseel,-0.275,-735,caT,385
Dog,DOG,0.0195,jkjjyyuvtt,dOG,-0.0385
txfqzjszkp,dOg,-0.3815,vdrbdnqqku,ynhoxuxago,-0.3905
0.2345,-599,-695,kgeoioplzf,0.3765,-0.4515
Cat,-387,-731,-26,DOG,doG
-403,-419,0.475,0.38,Dog,-455
-458,0.3675,113,0.36,CAT,irvifknyft
-788,imbegmfahb,-0.365,mdsmitxaxm,DOg,-332
-869,CaT,bremrathhe,484,DOg,-747
luddfcvarj,-876,dog,-631,DoG,-0.488
-766,-0.3925,0.237,-362,CAt,432
154,lazwdgvxor,zwmrdfsumk,tjvchsrxxz,Cat,-0.2085
cAt,-667,rxhgrpwwte,0.2745,dog,246
xqivvhazmo,0.0335,0.1805,cat,caT,-0.2785
599,385,699,-71,dOg,vbgshvemgd
DoG,-127,ffblfyajam,krjffynezv,mchngkccwy,lcjjciqoqx
-0.188,-642,CaT,-0.415,DOg,-901
wcvjfgjvhm,-0.2595,zplzwznpyn,gcssjpkyhs,oadflqprvc,Dog
-0.2605,owteoslgbv,-55,0.3605,DOG,-906
914,cat,caT,-0.137,-0.076,389
doG,0.0095,gwitrzztln,904,Dog,0.368
htkkmayrcm,-202,dog,gztmaotjua,Cat,0.0075
-0.109,belcznnlfz,117,-0.316,475,-174
twhxncjrjh,0.3365,caT,iolajbkhbn,DoG,-0.278
bemtfxuxgs,jeloifmcev,0.0615,-131,cAt,oipsvmpkrt
cAT,-303,-291,rpdynybxgp,dog,0.133
-393,vwzviylhnb,-805,jydjdxpgnx,dOg,gfcnpombid
-613,0.02,657,qrtjtxyowt,Dog,893
-201,0.1115,DoG,-0.3195,DOg,333
Cat,dog,CAT,ywqracgtdr,CAt,0.1845
-0.4115,dakzqcbitm,0.458,-0.3265,DOG,jardqutegj
kghhyoizii,-0.281,0.0,0.149,-428,-0.4525
-634,qdptytmeqp,hqewhihcri,caT,cAT,DOg
3,606,0.301,idxbykvqov,-718,cAT
-50,yosfiubvum,0.2685,dOG,cat,nbyqvzhdnl
628,0.1885,lvywznzsyk,29,dOG,-165
0.345,czffyrosps,-0.09,-555,dOG,-108
krkmmwjrzs,cat,385,0.3615,mfaiudxtqc,huohcaefoq
flnckznivj,0.2925,-303,cat,dOG,0.3115
DOG,-0.193,nyetafcspe,uwpbgssecn,DOG,doG
0.1105,DOg,svlfaeqvaq,bgbqdytjaq,Dog,740
-0.3955,uwejuhmakn,clhwhqkjge,463,dog,675
fgedujbgwm,Cat,ggspcmyhob,0.2905,caT,-161
