tcklhvspam,ysbjmnhsab,cyfmcvupxt
soldqqbxju,doG,245
nfyskqnnqj,-676,-0.0395
ufoeuegpge,304,0.1935
-0.4325,-0.012,0.1045
-0.4375,0.0455,henxznwqti
0.1085,ykplsebuez,-0.4595
-0.0345,xjucgtkgct,-0.136
-79,0.0995,sfzgqlkacd
rhncwypdba,0.1445,cAT
176,-564,cat
bsjandqvvs,wtwfuxprjh,-0.3575
-0.253,dOG,cAt
444,239,fetpimwwbb
-0.233,0.3305,260
511,wpycqaoyur,doG
bfunorjpxt,243,862
knupqebagi,0.479,doG
yiabsogzfq,-0.2445,-30
0.3675,682,0.295
DoG,kvsxaebnel,kdvfkxnfrt
0.3275,vvimehefam,-705
zslrsrlndg,-261,240
Dog,kxortqwnyu,cat
0.194,0.4855,548
pcfmqfjufq,0.186,DOG
yndneqnpmt,-268,659
0.1005,qsebdnqvry,176
-271,0.213,-147
84,uacsgkkxha,-28
-0.424,dOG,-0.198
jjkshbxswr,-459,-323
Cat,433,-0.145
kymbkvfrku,660,msagzklihd
-0.2095,ijpmmgrdhw,ecswordxwz
xnllerstku,Dog,0.425
gxeprgctbc,0.0805,762
0.4095,dOG,Cat
-41,-0.153,caT
754,qfbvntdcuz,-502
-828,dOg,710
fpbrhyuaop,437,192
-0.4545,cAt,qpmraavmwx
249,0.455,-0.0435
-0.125,ydcchucjsb,blibmuystr
-572,doG,qlgfagmhea
fdmjpfsnoq,wvlcgbemev,ktvgrnsoxw
lpexbcdtyo,dOg,-0.0935
0.0085,DOg,-0.411
DoG,0.2425,cat
doG,dOG,cAT
579,xltttyadsm,qurnlkuszu
