fqdtgivemn,rpdfgqxdkq,hbgzmdrftn
872,0.4675,-0.301
-453,0.436,0.2225
185,-0.4885,caT
-817,cat,DOg
Dog,CAT,CaT
751,vhixfzqhib,-866
-87,308,732
626,Dog,0.0855
bcjbhionyu,-0.456,-0.202
Dog,-0.0805,nnfcssmhbc
-683,-0.494,ycxccqyzie
917,DoG,Cat
doG,CAt,941
-425,eypddqyeye,havnonbury
-42,-0.336,wbdajsmkxk
-0.314,umhzncofxb,-0.0235
DoG,doG,0.2195
shtfupnzvk,xaewxylawc,ayjuevuoag
-446,216,dOG
qaegtcsvtp,0.2735,-290
385,cAt,0.1275
CAt,ktehhpojik,879
741,tnpjazrczn,-0.1125
-0.1235,579,-947
585,cAt,ucibllgurz
0.4145,nlkxafhqaj,-0.1395
-0.257,386,0.4725
0.071,rpyaaulpga,545
-650,kdqbqcviiv,ghxfnshcum
441,0.4335,kmvkboaddq
fgqapzejpd,mzfdjgeyon,0.4165
-689,DOg,pbazvcepqv
doG,0.086,-37
-0.308,Cat,0.0085
-0.155,-0.1635,-830
DoG,-592,hfbgleeevi
DOg,0.024,918
640,mjhjhwcnhx,rdllpesapf
-795,45,yygwbfqyzv
-0.2465,xfyiixncxy,-884
mgefbxkpqf,xgmgrvbtrd,bssbrjuikr
-0.246,dOG,-769
bnoyzprrlk,bluwldoufr,-143
dOG,rqweaksoda,-336
-0.3875,DOg,953
ftbwnbhngw,0.4835,xzmmjmsvna
0.33,vfdtjtpofx,hdxetklifs
taaflvfhco,323,Dog
fdmewzjmmz,0.3885,-0.381
btuosnjuqi,-78,-564
-0.2645,CaT,472
asvvlcrkmt,-926,-26
qbleecekxh,-0.0705,hupvmcjrta
-0.3425,ckbjjiufey,0.0915
-272,imywwikqqw,0.385
Cat,svalijvwxr,0.1145
402,-198,zzwotcbkuh
-0.064,hocrjxxjlu,-0.2605
tmogrepujv,doG,0.461
cAT,DOG,shjzdchccd
-957,0.24,DOg
0.329,-0.448,-0.258
240,353,CAT
-424,-0.114,mjutjefdkm
966,dOg,0.116
ulrptpwcnj,-0.2995,33
vuizrivekw,kkmefgayqi,-0.111
qzdtqyhyut,CaT,efbotmpkdn
tjszrzwknw,Cat,DoG
qoebhnmkwy,0.0205,-0.447
ovmrmdiiat,ztwieaqooi,kgsdlkzwnb
0.2135,0.1235,ojwriisdob
Dog,305,-0.4765
