sworjrxukl,ictfmhdaze,kipvjbcayf,pEt,nhvdveoipz
193,-554,0.1705,cat,szeffdbsxw
-316,-724,-0.4445,dOg,689
345,-0.281,-0.0625,dOg,-506
656,76,-263,dOG,881
duetxykimh,-0.47,DoG,0.4915,gzlswyhgvb
qnsvjzjrwj,956,0.416,CAt,-162
-0.398,dqpopzumxs,-0.3865,cat,-0.2225
-645,-0.2445,dOg,CAT,0.288
DoG,-835,0.34,372,fmadplakub
-81,-720,ebgcynyrdz,CAT,-789
caT,iahqvjiukh,-463,dOg,DoG
xbvulfjpkf,392,-0.122,DOg,0.3275
-674,-0.3645,dOg,Dog,-0.282
wrttgtmnnn,599,-0.262,cat,cat
-836,-0.3605,801,-242,bulukdmiwb
CAT,CAT,nzpsfdkmse,cAT,vuzsmeltwf
-0.244,0.249,-0.103,DOg,dog
uexecescme,-350,qfmawolqxe,caT,-0.312
197,-0.1985,caT,DoG,-638
-0.4655,0.456,cat,CAt,obgzmjrrzl
-499,427,191,-0.2925,DOg
802,0.2475,-556,dog,304
uhmyxgognk,856,-0.283,-373,-0.439
-6,855,zhpweteyry,-49,cgxegzpzbd
