xbzesjfomy,nhodhbfexm,rgmfywqknf,kjqjgeuvzq,cetpjgcpcg
0.355,-247,0.2535,Cat,0.3495
buybbxxpvi,agobbzngrf,twaadzjtgu,-0.0495,481
npxwwupagd,-357,0.279,0.0745,ewsarjiase
azpspwrcxh,0.3085,0.12,Dog,0.1625
0.1725,0.2335,0.022,173,-716
0.2675,539,kqijcxwnlw,496,tbyatpibgl
877,bvidbnwzfl,-0.478,qsmmcdtorf,CaT
CaT,DOG,uqhmrvtgwy,-956,183
-22,owytibmrkj,-843,boafbbdivf,ktphhjzrqu
870,0.1915,ulaoykpqpp,aopogtothv,-351
qhjywqznxx,-683,obrphlsefe,-0.0925,zipzfbhazp
390,925,967,0.395,-0.4265
-0.013,-72,-686,0.338,-987
zomyzaxpeo,CAT,-0.064,520,lqcjayriue
atzgfrzkei,vefgegghve,0.1735,-0.3515,cAT
0.1605,120,dpmrjzqakc,bqfdhchtzw,Dog
kecgkqtext,36,vjucktvgnw,klumdsuuta,-0.2825
-0.0335,-875,cat,0.3095,229
jucpwuoimo,0.1105,926,966,-0.415
0.287,tfvusabbcf,0.129,-29,-0.0395
0.4725,0.319,tofeztjwny,0.1715,-0.2305
-423,cifnwxriva,-0.399,bkmlacazvn,mrzqdwnswt
0.3125,0.2805,-587,agkcgohtwa,-0.299
486,514,39,-0.0075,fikychveuh
ymtjzaunaz,906,967,459,-0.043
dhenhhxjyn,0.176,-644,lnssucwblv,0.084
yqflytylte,yewsjtsrbt,0.4375,-0.4015,0.394
rawhmugynb,kdjfxbcylw,urduwyrdkc,0.081,-305
0.461,578,cAT,xxvzwbyvhr,-0.4915
cppkevghje,0.0775,983,-329,lesvgxpyyj
170,sjvitumbtc,0.047,0.0995,saakixiamp
-410,-0.273,DOG,DoG,0.12
cat,-488,133,-0.399,-0.2
0.234,-75,-0.0815,0.3285,Cat
drgbirgffk,DOG,tievbdonag,-0.2785,eeskktywln
984,fuvpaptvcq,rztkwgflpt,iiafmkssnu,-91
-730,327,0.112,DOG,cAt
cAT,406,weyynzwudb,gdkouzgwmt,-295
229,dfcpcbsqxv,0.442,irslywvhzt,941
pnvofnnmke,199,CaT,-527,709
-0.4255,lkdqfxmova,tanptzfetl,0.339,85
ubvddrrfri,-0.14,0.191,999,artxxooxcp
-0.183,-0.2795,0.4515,tvgntjzdel,-549
fzyyohwdpq,gavebgtyel,-0.4265,-0.3295,-0.342
-0.272,0.2885,zifsotgnrq,-998,0.45
924,374,exmiomzxoq,-0.1455,akebmoapgy
-891,-174,dOG,-0.3635,-135
-238,-0.3475,Dog,gyxbnfkxfr,0.353
543,0.181,fkfgvexcad,-825,-600
rzqefnbdpm,335,0.226,-884,ewdpshitak
ojtfrqlojo,-595,fqhhkhoheh,398,-431
iezricwcyy,0.073,mvujoulgul,oyvxenawhm,lixfahokjp
xtrafylsbg,-0.0965,nktudbjbvr,cAt,-0.4375
DOG,-0.0575,-0.2715,-0.3275,-33
-570,dOg,CAt,-0.358,0.0585
apxfmstwvs,DOg,-0.078,dOG,947
bhxrrfjieu,-0.093,DOG,-0.495,-0.469
256,0.2115,cat,wpsgbhntou,tgdhzjvrsq
-669,0.165,690,CAT,0.166
dOg,0.164,voebndnssh,-925,88
973,zulovdyadr,jpzgrolfoq,493,88
191,dog,-0.394,caT,0.2665
-0.2025,0.163,0.362,rsitbjhbdm,cat
628,rbvpobkwhp,icbgneikqp,0.097,0.106
doG,807,-0.474,dog,21
