lbdanujbhc,hoxfnsvpbg,sqbeuktgdf,oxihnvutpb,wxcawhaiab,nfjltumiay
gdhgvfeawq,wxhmxleyby,834,CAt,-0.3595,xmggpigbst
-819,doG,-135,vjqjbjixdy,-0.4645,caT
Cat,-394,zgwucfyvco,Cat,cAT,dOG
-0.3315,dog,bsmjruktsq,0.2415,-0.4005,143
cAt,ycyimefyeq,-369,-0.0465,-0.216,0.351
0.4745,0.076,-0.1775,-9,kyxtrqyvhh,525
367,354,-963,Cat,doG,-228
dOG,522,477,0.361,zgtegarchl,dOg
-0.157,0.482,digbrrqnkp,CaT,bnpgkdlpmq,213
CAt,bvpbzcmkpk,-198,DoG,0.144,948
-0.2775,-104,txpchqnovg,wvpyzvcgze,caT,-0.0995
-165,nghbqtjrnw,0.0475,-511,0.408,0.4745
-288,453,xhpahiuxep,0.3225,424,dtudtxtbxo
174,649,omjjgugmpr,duqyltvuxb,539,631
804,DOG,-0.199,-212,sbqvtpffvv,-146
736,-767,cat,0.191,puamismjmt,wijlbbcwlw
43,vdsiicmnjg,-0.084,-946,-0.029,dnfbzkmpsg
40,561,-0.459,xotcdmeulg,dOg,-984
jiszogeotu,DoG,CaT,-60,-568,0.32
-0.3955,-0.384,wclszprpnj,hnstduryqh,-46,lodwnolfgf
0.2765,-0.418,jrqoelqbsy,CAT,cAt,-992
-0.0695,flydmniqbk,876,juwuoeqisn,345,dsphzhddbm
-382,0.333,0.0595,-107,-517,-0.061
0.164,CAT,814,-0.0095,224,-232
-884,Dog,slrrzcbhhy,0.075,hmyfkaoogk,qubdcofzfv
bqbnyncfjq,erbkhbcabh,921,-262,DoG,-54
0.127,-422,0.384,wegjqvnhof,zhqhbtbizj,qqxfczcrqa
ucbgoeyamd,939,vkbwgtkyfe,0.0185,-0.0555,CAT
434,-0.0985,0.246,ubbbolxtyw,oasvtdrkkp,-942
474,mfoflwzrmm,caT,ermdayfwez,xgogckwcdd,-498
385,-0.269,oqqucgovjx,-707,afajekarwz,772
CAt,-0.4545,gikcrexsoc,0.1365,bfaulhrfzn,0.2695
ckxoxaktyk,0.4705,Dog,webrrynvve,-0.3315,208
-0.4035,zijqvmmydt,-860,-145,-832,DOg
584,-525,mvhqjmzbpl,kjwtsrqbcf,-304,klaesjyabv
lewfbbcdfq,331,506,0.3725,0.031,-806
Dog,CAT,CAt,0.283,aulzbsoyzw,CAt
343,cAt,0.3795,564,-0.412,-776
jksdafoadm,DOG,pkdcykqioa,Dog,feythifufc,tqlxsemtei
cwhovmppie,122,caT,-590,fhylqdswwb,pipehdsrsn
-0.203,vkmvhuhbxm,-0.1005,-724,xfeyxtijrr,0.1465
752,DOG,514,0.464,jgwpnxtdut,-449
107,dOG,lufloiavtu,-36,CAT,nvsqrdlaxg
-0.2785,0.3815,buafhmqzsr,-135,ekostvwjji,0.203
-0.115,886,CaT,-213,-0.228,ientrdwpzb
400,CaT,coegaztzni,0.306,354,vkgczrrdml
0.3465,-0.476,Cat,-993,753,0.4275
DOg,-0.3505,0.05,86,870,-0.061
0.318,-0.0945,0.1565,yhgakfycxl,0.3325,jydwqwrqpx
CAt,cat,makhyixaxe,-801,mwnhrleuoc,DOG
vjsukosaxm,dog,-0.236,cAt,ccydatzusc,-0.359
-0.2315,wommovalrf,89,cAT,-320,-258
CAt,ibhsiniili,cwalkrrvcb,dOG,-0.452,wvpaitkhbx
0.4225,lvgcvegkgv,-0.0735,dOg,-0.116,icmwgidbad
-0.09,-441,zlxpfnipqb,116,olxqafevie,ulvdhatsto
cAt,684,-766,DoG,0.302,-725
-617,701,lqjlpwkrvf,wrdmoctmvd,bfpdtxjwmg,sjainzetxh
624,dOg,-0.2875,598,mzrouikycp,ozpfxdevrd
0.0425,464,DOg,caT,0.1445,dOg
273,0.4705,16,gmsfkdduyh,-175,364
-242,-0.0615,dOG,0.2145,lvsdofcrem,dOg
msozytxvzp,doG,0.301,0.045,-343,0.0195
CaT,0.4445,cAt,-0.085,-656,kdtncebrbq
axwrvfhnnw,-0.49,giyizrwtoz,enaotwyumy,-0.3115,Dog
0.0625,605,-462,973,ynhtsbrhoi,-32
puepflyzpp,-0.4975,-0.2095,-0.4315,cat,ghvhzgmoia
-0.2715,-919,DoG,Dog,-410,946
ewhreoypbt,rljocmbkkr,gwmrrnzydd,zlvqtzkpsv,-0.024,-685
cdghlspgnb,mzzoyntnmt,lclwufpkwy,-743,uvdtvyshfg,-943
-0.2645,767,vqzjzwhqzm,662,borzbcinlw,-0.4495
stkqkwrebe,cat,0.202,doG,-0.298,thcikuhyqz
72,-878,-882,CAT,-434,CaT
842,659,0.163,-849,chkfpmxnac,-379
sjdjzfkkpg,Dog,tkzdjfxrbl,cat,-179,yysdqgvcne
DoG,dbyyqfgfok,0.17,158,DOG,-0.3215
0.0495,562,-763,0.2385,0.45,-0.142
