pet,kvpqhshhks,ksneemlbwg
CAt,caT,-749
CaT,-738,-596
cAt,-974,0.3725
cAt,kbuqilfiyi,-425
0.3765,168,0.0405
DOG,-0.0085,tuuuwffmnj
DoG,0.3905,0.4475
dOG,lhrzedbqif,-122
DOG,izaoulbzbi,iugiymanzl
cat,cAT,969
cAT,991,612
-344,0.3415,-0.077
mzlyvdobzy,DOG,26
qrafnqhjso,-782,0.1135
CAT,560,-0.188
CAt,ymaanoukfw,zejaiduikb
Dog,tctaadtqdc,-0.487
CAT,-0.352,lipeclnseb
nanmafdawv,jqywrciipw,717
CAt,udforuyiss,doG
0.0365,467,927
doG,0.2115,-0.343
caT,277,xmaogvdwzg
0.109,kbqptgvivv,-0.39
cat,0.1125,doG
caT,0.373,-0.334
DOG,-0.128,netedctbnr
203,DOG,0.205
DoG,0.3165,jpmxxkkyfk
doG,psqamfsvgc,424
-804,29,725
-901,cAt,dnzbpesell
Cat,rnmenvfvab,0.5
dog,CaT,924
CaT,-0.4685,-290
Cat,659,876
cAt,0.0865,-27
cAt,265,xxjprjdmle
DOG,lcatczxgvq,-0.159
dog,0.47,949
Cat,swtberuxkj,-0.254
dog,burwpdfvjx,doG
CAT,0.124,caT
DoG,-959,-0.3595
cAT,244,dOG
cAt,wmwrnopnfl,415
-4,-0.4115,-0.092
dog,-0.039,-513
DoG,-334,-0.2915
315,dryzmbgevb,466
CaT,Dog,gtmlvyunwh
DoG,488,bazomwsbbg
0.2335,-730,-0.347
-0.441,ywbfnyvzor,rotktextdo
doG,-0.2495,DOG
cAT,CAT,noqntihiqs
DOG,0.2755,0.4275
trnipauhbj,caT,CAt
DOG,DOg,-0.3655
dOg,dOG,cat
-0.3285,-0.0555,qzvlsqzwrv
0.037,dOG,ffrhsysnid
Dog,-840,vrdezgtvmo
DOg,0.1,lzgpwdbpks
dog,530,jwddnhyrxv
cAt,onnkzcdkky,374
qdpcidoarq,0.14,6
lhriezyhkr,-5,0.0645
vftudavqme,qykqzoynuj,Dog
-0.4535,skrafxwkkr,-354
DOG,-321,-0.377
0.325,546,-549
caT,-798,tqniamarkg
cat,dOg,0.296
cAT,-617,640
DOg,uhjydcyxhz,cAT
DOg,738,465
DoG,-468,dOG
0.1575,kyzkbmpqdt,-861
cAt,nczxqnzjfe,-282
Dog,724,xbpmskjvan
dOg,960,doG
dog,bpuddrwcrl,rzwwkoxmab
