bscrkhqjvo,lkfoajxzkn,swjywexnfi,ypkrsaijxh,zxnmqjindr,txywodfdbj
qekdtdwsvd,vqfngimyub,DoG,cAT,CAt,-699
gkrffswanm,CAT,513,675,cpbhgmmeii,0.083
zaimakenlw,676,-0.451,0.054,vuwhjuiloe,doG
635,-988,qpdrfpokto,aipulbotjt,rimeqmhyrm,zhyqpitfgi
uythadwjch,-549,DOG,-0.0775,-0.161,-0.0075
rgghkqsvai,rnismvfaee,xovrksbfpt,hhypoembfa,uedzshdoae,0.2435
omsfvgyhkl,Dog,0.336,jxbxybedsy,myveirpalq,-0.382
994,0.3315,cAt,0.0665,-477,-303
CAt,-0.001,irtmnnewhs,0.2835,-0.0185,CaT
nhgyfpzqzx,-676,497,440,-0.3955,44
Cat,0.131,0.0135,432,713,545
-76,eknaktkrgb,0.3625,gsfwpszsuh,cat,owkbgpxlnb
-298,533,0.217,346,851,CaT
-0.185,0.007,doG,0.0835,caT,fwiggfoady
-846,0.361,0.4425,caT,-253,0.156
Dog,cdejhfjksx,rxjigycabi,-713,cAT,-0.193
0.4385,cAT,mldsqofmcx,-0.132,hftdbrasvm,mcoocvqbbg
dog,Dog,-0.432,arrcshwqnj,645,0.2875
-0.485,cAT,cAT,caT,DOg,cAt
cAt,-934,jckupfadfv,0.0985,ljiioommqz,CAt
mhnyhyukju,ocqnsqtsrb,-164,dOg,367,xorvzmowiz
-323,0.417,doG,tsvekpymyw,nmtfstpuoj,-0.4955
odrcnbyndo,-0.1115,xxrznqjfqp,695,CAt,sjxtrpnenv
doG,caT,CaT,0.4895,-528,-0.11
813,lzmvqiesgz,tjfkgyrwdk,xslnnrhryl,916,cAT
CAT,0.196,135,dOg,-0.155,-51
DoG,DOg,-79,-0.021,271,0.324
0.0595,cAt,CaT,pbkrufkmxq,0.225,zbwylpmryy
yuhwtnwuzl,0.1765,64,slgufiluoz,-225,fmhjxrwqfb
tatanqyawi,522,-376,eawzasmrxt,0.161,dxforjyamc
dOG,qbtciianwq,brcokggnyo,dOg,mkpgcwxvkp,983
0.2905,-280,uvznbnpoef,-764,0.3095,yfgbrbjelr
895,-302,hoggummdiu,747,mddhyfgqsr,-677
684,Dog,133,dOG,0.0465,guhxxuxifk
0.0365,DoG,kvflppbjdm,-0.166,akwntnlejs,thjrxaqmmv
hiswvpzxnm,134,-0.466,324,Dog,0.048
72,rjkjqlrekh,DOG,-0.1305,-0.3365,0.2745
951,-750,697,doG,-752,-646
dog,-0.4705,icohlgshkt,0.275,CaT,sbjzibizjk
caT,wtmihthfsr,xvqbsyxmfv,-0.05,0.239,-0.45
-0.445,0.1105,0.5,tuappgkxps,0.407,oemznvlnsv
ebhpyzlwno,127,347,-0.483,412,0.2565
ygkekhhgat,fiftcoupmc,wxwbdceopf,xxauepfypw,DOG,Dog
97,plepsvgtxt,xneztrfxpd,gdhgltxdvr,-129,dOg
-0.242,DoG,nsvoosltma,irimgujboh,dog,iekzztjisi
jfiiynzpoe,648,-0.3345,CaT,-0.386,-0.279
cAT,gwyxktgzgt,Dog,gdrrkfjbec,860,kydfvzwfgm
0.0105,0.247,476,tpqqgordgw,-0.237,DoG
DOg,Dog,wvasmtgwhk,doG,0.2045,DOG
0.245,CaT,lwevjpvymi,DOG,rxbgfxsekh,111
DoG,ivarfxprid,CAt,kkyynreane,CAt,tjbvvlztgo
mslmxoqfme,627,0.497,-0.373,208,-381
804,DOg,0.0385,essgiwappn,vqezrhryqb,-809
262,Cat,-0.2445,0.358,-0.1655,ocvemuspxu
eyoexmcseo,iupntkwibp,nywvushjhg,852,snqcxudlvt,vyfyudeddu
0.363,0.204,-0.436,-0.453,0.0375,-0.1375
lvpestkcok,612,-142,-0.045,CAT,0.3795
