qxbznjwadc,peT,muquhlnfzw,qooytbvmcl
0.3675,doG,-0.099,-0.434
-203,dog,-0.134,CAT
-53,-840,-838,CaT
-183,CaT,-0.103,huiijahine
-0.4035,doG,-0.204,367
0.14,-0.3495,-0.3875,449
dhjadinjyi,ucvnmncvza,cat,tytxqlmvoo
978,dog,0.235,vzwtfwycvj
-227,dog,-0.432,cAT
844,CaT,CaT,frnxapwerf
-0.2895,cat,caT,0.1925
doG,dOg,ljtadgipxp,pvkfwkrwnf
895,dOg,-43,nmixatessd
gciflmfytf,znhpvqttkv,0.4885,0.0795
mpgngygpzk,cat,pmfglwxbow,622
247,-0.4025,-484,CAt
184,doG,59,969
DOG,Dog,508,DOg
0.0945,-0.0915,0.087,dOg
ovycirlokh,ivjlxkftfs,-0.0735,433
36,Cat,DOG,cat
cufshxxtsa,CAT,0.134,-0.216
cAt,dog,-0.3875,cgfbsypfna
caeikxiuwy,CAt,0.4035,twbwsnrpcs
0.022,cAt,Cat,doG
ltemuzspke,caT,-530,0.271
pijgjzrigr,cat,0.121,-94
yjkexkjoxe,DoG,opyfeeqwjp,534
DoG,doG,0.094,caT
0.116,cAt,hkdjvjzrev,CAt
0.184,-0.464,40,DOg
127,CaT,-800,mkhbkdkjch
vifdynnwmu,CaT,0.4235,-0.352
0.2895,Cat,-93,CaT
-506,0.049,399,DOg
lhqhpeuowp,CaT,-287,339
cat,ubnnuihmra,bnmkijvphv,cAT
-71,DoG,CAt,phjagtpoth
Cat,0.2655,aidglmtgjp,fkpvhsbwok
wocqyfjzwr,CAT,DOG,dOG
cAT,cAt,ncdzkooksd,javmopcgph
cat,cAT,tbdhkiokgl,-708
fmqrjskloq,CAt,227,-692
qlynjzfkmd,-376,DOG,-298
cat,CaT,0.334,CAt
