jivtgzitev,mzvlkppnmu,fwtxunvzyx
0.469,uwwoylezyk,0.439
0.4785,406,kqmhljvefp
DOg,-0.037,bwikfmpfbl
0.445,-915,129
-0.437,-0.307,0.053
-0.3605,hqzaftvytb,0.412
730,-254,rysembihay
eanrxnuqjs,-0.377,-249
CAT,jdaelqfafx,0.061
-0.43,tacmquqvod,dOG
plikkcvuuc,caT,xeyaqancnw
ysjlyqbbam,-146,-0.1855
ipkzpbgton,149,DOg
488,-42,cat
-775,0.34,-159
0.133,ldtxpiewlh,rwofllnvhh
0.3075,-640,-573
474,Dog,125
0.3335,rovnaoycys,-154
854,xdcdmeafft,242
-0.3115,DOg,605
rtgdsjhphc,-0.499,950
0.389,676,-0.1225
0.462,-537,-325
xdyrvahzzs,tsytxoyuxt,0.0945
-613,DoG,ysckqklxeh
-877,860,mwnzdaoiyl
37,532,-652
qbnysmaynl,gkuzuwioel,-645
CAT,0.187,-0.26
-590,-592,DoG
nlyqnfftqi,cAt,0.1565
0.3795,DoG,-56
283,ikaovwjptu,-209
22,871,0.2205
0.448,0.17,jncevrootv
cgmutyfgml,bkdzmtdpxz,xwtjrfjxnb
CAT,ipjygdootb,-0.03
698,dOG,-0.0075
-35,-0.068,cAt
-850,0.1625,-0.4775
gmzslzbczb,pqmlsmuutm,-157
papnqfxqic,0.115,547
-181,0.2985,dkqtlzrfxg
dog,eajmjzgryb,463
0.2485,ktblzdidfm,eozywbdafg
204,qfcbqzrjri,-0.353
-0.043,0.029,924
0.0295,0.4885,tmemiccijr
kcstrawfno,812,vyguthykvy
-738,yayaodiieu,-224
dog,902,cat
0.392,ujjzfvhfqw,-353
-570,-61,0.1645
72,snqcmxetoq,-0.249
-715,-910,zvwiipnlnc
lmxxvadgrq,-3,411
423,0.454,dredxiqtbx
647,-586,417
DOg,-0.257,dOG
-0.2975,-0.1305,-574
845,793,lzgsvodjdf
189,-22,thjpxakskk
cbhqumuhyq,doG,0.461
miftnmoilb,-0.47,-0.1775
DoG,0.176,-589
