lopodkcruj,rkptueonwt,qyszgjvhln,qdptdmvemf,xvfziofcum,ggbukyfwmj,cutlfywprt
-0.205,bsyxhqaage,-0.225,vqfkzoyvxo,DOg,wkzdmpcegw,DOG
0.1855,0.401,lrgsfdxwpu,puvkgrjrhv,140,-523,-260
-0.1515,-0.374,0.0825,756,-0.2795,szhijiosjr,oaovwtqoxs
-999,0.223,niwynubcue,CAt,gqkhrsrwjx,-0.4905,-0.014
bbvygeqcas,0.49,636,-0.246,-897,mwrjcpihzs,xygfdcbrpd
dog,-206,cmuoahxrbs,-0.2165,-753,-0.1105,qlmztiynpf
0.27,zpfmknplhc,0.4665,uhuxyybfmj,nbhohvjhrc,CAt,nislvkkxiy
agunhdtpwu,599,gvazecozcq,gzoqmoefml,-0.2835,-15,0.1785
339,hidpbvpthp,-481,lszmqqidbd,cmycuyoazz,xetdgqnfga,201
-0.1625,-651,0.0995,-0.2155,779,-0.1995,gchvouuusr
cmvjtnfypy,pznbyxudlw,-886,Dog,bmskgltzbo,537,955
mpgjxkmgde,-379,639,0.4075,CaT,-0.157,wurncezlte
0.051,DOG,-681,DoG,afywglsayz,cat,doG
0.0655,doG,-693,wczsalewle,-398,950,CAT
-0.0955,-327,-0.1765,crlanmnwzc,CaT,0.288,aumqzitsrn
kdaklzruhh,xgzzysxouf,ckjkeuphlb,-0.211,-0.33,0.417,-815
621,65,xmynzgeoyb,Dog,bvkouqoywm,0.17,hujrsbensl
egfclxrljo,lgxwuiynlf,dOG,749,cAt,-600,998
388,-844,dOg,Cat,dog,cAt,-0.452
-64,361,txpvwiaccf,ipwvqcmoop,mpiumpjsce,vdnheegjfd,Dog
791,-0.244,vcnpnexmso,25,tqsqgpyrha,0.063,-329
-0.463,0.2715,-0.122,904,msehpxrxwg,esoaeiekbc,aetmqvkjsq
dog,408,uyjyjdqkkb,0.2945,CAT,kgypxdzgaf,0.4545
ynralwjdjg,doG,qtecgvxnqx,DoG,CaT,-908,cat
0.0145,-0.4755,0.007,bbdezdwdie,-0.1765,iagklrohdd,217
447,135,DOg,-0.2935,730,CAT,-0.141
CAt,-762,plmtftsjcc,0.0125,-194,-0.0175,634
293,-0.3335,sxnoxywnhu,0.265,arhsyvbirr,cjyvljgmfu,-0.1095
0.1415,-277,estvovhbpf,0.195,141,-0.0505,cAT
0.402,efqzifvtfd,-680,-0.4265,326,-837,-0.4365
DoG,-570,-643,cAt,772,-898,opcnqrnyfz
dog,dOG,cAT,yrrqmhcqvx,mradsegnqi,uzbpguotto,-0.455
caT,0.0145,-412,dog,-0.0745,237,-840
-468,CAT,0.1495,ispvacskdh,npwnwdbwmz,-0.4505,-473
-241,751,Cat,Dog,0.14,-775,0.077
82,0.0865,0.0965,rdhfffbosr,-933,908,zecebtksvo
0.134,320,0.2195,CAT,bcfxevkgdv,-849,0.1235
-556,Cat,txbjatyxws,-0.332,qdyokumhgt,-0.1865,cat
caT,CAt,ghkadcmffa,CAT,-36,568,ztukhgdwiy
wlfkdnldsz,-0.352,znjdqtzyxe,cat,378,114,DoG
757,oxnzfopeyw,0.255,-0.4395,scnhuyhffr,dkjituwtjw,49
0.182,mmwhqtwewv,145,-0.36,-833,-981,889
vvdvfxdsml,ysehktgrij,-416,cdzhoynlxe,-771,628,doG
CAT,dgmqffuvdm,701,DOg,cbhdoybqyz,-0.058,dog
0.231,xkgmuyanzg,caT,ooiazcmxxw,981,0.167,Dog
