aghokotapf,girbzkxsrp,uduubbzvts,PeT,nygcagylmk,vxuvlzrbih,hascoaosym
-0.035,mtuzieljkd,CAt,dOg,-0.0255,-300,jmnenhgfxi
635,0.0605,0.0185,caT,jlcynodhrd,88,hkccjzabuq
DOg,0.391,-0.083,dOg,owpvwfmtha,qtkcjzocax,jmrkwwbmxo
DOG,dog,cAt,cat,ckwtxagkfu,0.0235,caT
736,-0.3055,0.1555,DoG,-473,cAt,-0.268
trzvgqtfcx,159,-0.4,cat,fsgcxkxoyy,-0.0365,-267
-428,974,-106,doG,imadrscpoa,0.323,149
cAt,-0.279,-0.4365,cAT,-0.0905,asgevxlute,njufehryab
zizqsfzgzz,0.2745,qztlkyvbhc,0.422,cAT,-0.24,-193
83,151,ijshnfovka,dog,765,atvrtlkstb,-127
CaT,jxuzdmanjk,ectajyjnag,932,okekubqzzo,-0.26,0.4885
-0.471,liovhcypxr,-0.434,-103,-0.463,-523,xgiaxjbegm
CAT,CaT,DoG,0.02,bwtykjwoof,itlzvyrnsw,czkqjlvscm
0.2895,DoG,-0.333,dOg,eujziqiuhw,-185,-0.0405
-0.469,-845,449,dog,0.499,-0.3425,doG
0.4765,doG,txctizcotc,DOg,0.117,ueuyshppam,Dog
CAT,Dog,ehiuciwnpi,0.367,-592,mqcjbsmwkf,-430
0.1685,-0.493,-0.0875,-0.416,-106,gtpvzccwsb,bbabeklync
-0.275,-0.136,Cat,135,0.3845,-0.1905,610
-721,537,-0.1675,xazwuonsfl,pyjjrpzocc,biepqgnnxm,zibbijhrfj
doG,0.2135,821,525,959,-0.463,htsdsixjcw
-0.267,0.4345,lrcffenkxm,dog,vtrpiolbti,-0.2765,DoG
669,CAt,-120,doG,0.25,-49,-374
221,-0.183,419,CAt,-0.147,CAt,6
lykdgaouvo,tagohbiwje,mhxdqusmlg,caT,0.186,-572,-589
jolpluvrdq,Dog,898,Dog,zydazzjpkj,CAT,wportcahak
wwaxzzzxyo,-663,205,doG,vxdjytyate,cAT,-68
-0.363,gpxagkdazp,0.438,dog,-109,Cat,0.1525
iphmdzuzdh,-702,-0.022,DOg,-324,yinzsoozfn,-833
-0.144,0.156,0.15,frkzvymbfs,gsemthejdz,0.3215,rpppmjiyky
ntrnuajlpk,-385,0.143,CAt,849,-325,72
-79,172,974,kxbjewsdsa,jzfivmezzl,tgajqmmxhl,CAT
DOG,dOG,dog,Cat,456,cAt,-0.13
0.1705,939,nbtzedrkil,dOG,aynxcxdcdr,-835,wixyxtdxlo
doG,-0.056,Cat,DoG,cat,cat,dnxqzroled
dcudoxvayr,0.4025,kfgqwslkbm,Dog,nbzbvpbpij,-0.1995,-0.0695
192,cokfarjnfb,-0.1235,-632,doG,0.1675,dztfbaedor
0.2875,wioemarone,zujlzydneq,CaT,422,CAt,0.471
CAt,doG,-428,dOg,doG,-0.389,0.421
-972,-866,-156,dOg,0.1035,-0.032,iovgznyowj
794,592,-822,DOG,rmzirycaor,brbhntxzkz,xszxfcinjv
0.331,0.097,bouqcqpoiy,DoG,0.0885,dghfqkyqld,-0.4275
hrqzoabjgy,DoG,-320,cAT,-844,CaT,xhfofsdegp
-67,dOG,yfzzxraihr,cAT,-617,DOG,0.2025
