ngbbueycov,Pet,mwrjpigerm,hvesmhobxa
dOG,-0.1565,qyowdynoid,-857
-0.3725,doG,cAT,-0.1195
rcuxteoxju,dOG,0.0115,0.264
bywqquwguq,dOG,261,CAT
cAt,DoG,ccfauvotlh,0.049
dOG,0.435,iqtwrzptir,-271
622,Cat,cat,ieipvudxns
qpjrzbrfao,cAT,-0.4425,-0.014
-0.0755,DOg,-623,945
0.153,dOG,0.054,-0.413
rggbeorzru,cAt,jsfybayeaw,kemjoxoghh
197,DoG,0.0195,piwaoxxymo
-976,cAT,xwnecgchqr,hckokcntpp
-0.165,DOG,9,0.276
-954,cAt,180,kbemooibpc
264,pnddpnkxro,612,fvvzpppabf
mzjgjjlnui,laybiodywi,ntpukerpbx,zomvydxijr
429,CAt,frwjwsccpo,CAt
0.317,969,473,9
srvqzykruh,caT,0.117,0.3805
motnlugeqk,xmhsjrhdrc,0.117,-0.499
ykolbezvqx,DoG,ipuwlwhibh,pwdbxijwsd
814,cAT,juzltboapx,Dog
834,DOG,-195,-0.373
bnzqltihgz,doG,twxgfxudum,-0.3785
0.148,cAT,olpyydskfu,caT
0.3215,dOG,510,95
-545,0.494,ezztgfjwrn,0.014
-186,-813,DOG,dlibiwcvwn
-689,DOg,849,0.444
64,CAT,-785,-772
rsleyilgfd,dOG,cat,-0.287
ionhtxcbyz,CaT,130,-968
334,DoG,0.3525,460
-0.2125,dOg,-0.255,dOG
pegjwrmbkn,CAt,cdloucdlfa,-0.435
898,CAT,-0.4215,322
0.155,Cat,-868,qktdgdgapw
dOg,CAt,CAt,vrwxrnnzzb
-508,DOg,76,euotomlovt
plorryqqgx,CaT,riajpybkbm,brceeerwft
0.4535,cAt,ijyyxryjyy,-0.1575
xgixwpsykv,dOG,-0.165,DOg
CAT,rxafwjfhib,-654,dog
-345,DoG,0.277,0.131
0.3565,doG,66,jqopzkvqyt
-0.41,cat,0.349,-0.0365
DoG,Cat,0.258,468
-907,dgiifzyngk,-74,oaueqoholp
-0.345,dOG,CAT,0.2585
Cat,0.3375,557,ovrwjpllrc
308,Cat,Dog,-0.331
-684,pnmvyyfmui,cat,cAt
rurafisxuf,DoG,fhyslzdjcb,DOG
0.053,CaT,0.46,232
241,caT,-0.1245,ypjtvcbnni
