pet,ofzjsftgol,whdqcjiira
DOG,aenzszxgsi,541
Cat,0.11,-0.1985
DOg,0.1665,-0.4295
cAT,0.4385,417
CaT,dog,-0.456
dog,0.1985,utqgyjlayr
cat,-652,zaqhmjegti
dog,walskvwccv,llytbsnyml
dOg,-0.0235,-0.4485
Dog,dOg,reukyptyhv
caT,308,vyhwncjcfu
-0.441,-725,-0.155
dOg,gjkovepzfi,0.2585
gtstkdqyve,445,cat
-0.2775,0.409,selvfttyqc
DOG,0.35,DOg
Dog,Dog,-0.4415
cAt,DOG,-0.421
caT,idrvvsykso,-0.1315
dog,CAt,kslaekxxjm
jejvjwtmir,-0.1575,CaT
dOG,899,qdtftbxseq
DOG,772,-217
CAt,-766,caT
Cat,cAt,-527
CAt,dOG,nxisbbxuww
822,-944,0.3
-0.28,-570,Cat
dog,ijlivequjn,ahjyndppum
cAt,dog,vqwbjowkov
cAT,-0.034,ccibldrqrs
DOg,Dog,hmxhiiicoa
combomioxm,649,vpclsrjeeb
cat,cat,dafdlfqxgi
-596,-164,-0.359
dog,801,fhkincsxno
DOg,CaT,dOg
cat,upgdixzggj,lkzytpezur
DOg,0.3695,-959
CAT,pisemdkids,arosexpdkl
Cat,-0.3285,0.4075
cAT,cAT,0.144
0.3005,dog,lfxsnhneyj
dOg,jtvjwxdmuj,0.2955
cAt,DOg,-0.0565
Cat,-721,459
-231,hxhgsbijch,0.0545
cAt,0.125,nulqaujejf
cAt,-0.177,-860
-0.33,doG,-0.489
-0.025,pexmzqjsca,auilleekyn
dog,hnbjryqxeb,-692
cAt,-0.1285,cAT
dOG,pcouuxawfz,Dog
Dog,-20,0.399
0.227,ydehrlbnrp,356
CAt,27,dog
orkcthwwle,cAT,slkhdckfxu
dOg,fygmeemugi,380
Cat,0.487,-0.153
caT,wlhfwlrdzg,-0.4135
doG,220,uoyipeutjr
cat,nhdxlpkjtr,0.016
CAT,dvdodwxzbm,582
caT,-0.1765,gajbikpyqx
CaT,qlugocjjvd,-392
cAt,785,-0.2815
-0.06,edkskmwmla,-491
DOg,423,jifscuengg
dOG,743,txnjfarxgw
cAT,octgpviizp,0.4845
0.3705,0.0245,-536
Cat,dyqiuptxwp,-46
Dog,sjdtvjxkyn,191
DoG,-954,187
DoG,dOg,456
Dog,jrjxepmrdz,mwmcngygas
DOg,-106,-305
CAT,-730,DOG
-0.255,967,cAT
doG,ftisgjzosw,-515
dOG,121,-0.185
-0.1845,0.2435,778
337,-700,0.2855
0.3325,0.1035,-228
ewhzvkwszd,18,ikzidurrfc
cat,dog,-478
xjtakwgfip,-0.368,0.0155
0.4965,-228,-0.2875
dOg,763,tlkeuhpini
-0.454,Dog,-505
Dog,0.144,755
-996,-0.1255,qzszkzbgpg
CaT,-888,cAt
