qfrqrxlatw,ygkfxmnmxm,pet
sagomedrvn,0.0325,dog
uftsvytshe,0.2535,Dog
-276,kgbuimmxhi,Dog
583,93,-404
-0.24,cAT,doG
cajswwiqqd,-799,-187
caT,0.3105,doG
0.3855,-931,CAt
0.237,-97,cAt
-282,rsmrqfzcss,dog
498,-0.4735,cat
-762,vobcvxtuha,doG
nmfjycajic,dOg,vybryxbqwg
-0.169,dOG,caT
ceqyqhbxwi,jjeyoablrx,CAT
0.362,0.4905,dOg
-0.3595,CAt,-407
gymwaukgfs,-737,dog
91,hkaszpqnxp,DoG
yhoipdtwof,dwixukemvs,dOg
0.3225,cat,doG
-0.4935,ncclbetfdd,-497
CAT,DOg,dog
-469,262,CAT
-0.1355,656,-0.1025
661,rxvklnjwlt,caT
CAT,nkpozdxkoo,caT
-114,fsyuxjgzcd,cAT
-201,594,doG
rjdlxmrpeu,pmdjmoqnmy,cAT
CaT,0.418,CaT
-0.104,xohaodgbha,cAT
dOG,Dog,cAt
-0.337,0.404,394
497,-0.0465,caT
-565,809,cat
-0.3305,CAt,CaT
0.0525,0.2235,fzuclepcjy
-746,itlrctsdkr,cAt
0.3705,CAt,-374
-0.242,yucknevift,Cat
0.0225,ccredpeegz,-0.3965
65,oyetlzmrsg,dOg
-370,-0.4705,dOg
-562,421,dOG
0.3355,qlzphqqiqh,lnkzcatbog
avgfattgke,DoG,doG
jgbbhfkpda,-0.41,CAt
Cat,-166,caT
DOg,mmvhzmgbhe,0.169
-0.269,-0.4615,dOg
cAT,-632,CAt
cAt,0.449,cat
Dog,-638,dOg
-0.264,433,-105
cAt,-0.1915,dOG
ngukdsxgzo,0.43,dOg
cdyzqcacln,-0.0785,CaT
920,-0.2265,DOg
-204,bndrecnlci,dOG
CAT,0.2315,Dog
Cat,0.2205,-0.217
-0.0165,nussmwenzg,doG
ugbbzyvrlp,0.443,cAT
0.244,zsciglxdql,Dog
-0.347,dmjqghqcfg,caT
0.239,0.2225,doG
-237,-405,CaT
thmtknamob,baequsghzu,DOG
doG,caT,caT
0.2325,0.2815,dOg
