Pet,zdouvpdpfs,cocugbnrwy,xqigsbdoaf,eixmxhykot,tqnpsevvpd
DOG,0.3925,-0.148,zwtsffdfwj,-0.29,0.239
DoG,-0.1685,cAT,cAT,0.209,dOG
CAT,nsfkxupivj,0.47,oypmeoaosr,cAT,0.424
DOg,caT,rqdcuvswzr,dqqdwvnjzw,0.308,luendzlsqq
dog,cat,vxrxlslxnu,caT,0.087,-0.3705
nyybdaxgjk,984,cAT,963,xblbckbcgh,-138
Cat,ynyrjdllwm,DOg,CAT,dog,0.4745
DOg,CAT,-124,-32,965,jbvtupeykl
Cat,680,cwomgqtgoz,ejxppibdfh,vpnpocytdh,0.3715
dOG,84,-14,DoG,-235,Dog
DoG,0.49,DOG,CaT,doG,kwquxhmpsx
DOG,0.2725,Dog,-586,285,vtqsehsgzv
ytlbqgqqhv,0.283,449,0.3365,-989,-0.197
CAt,-139,qjnrgdyiwm,-0.4015,0.445,589
cAt,-171,ynwqxxzxex,-837,675,ndyjftrdhd
-683,625,-911,937,-0.166,0.321
CAT,-233,DoG,-446,0.442,-478
0.067,iqkripyosl,0.1415,0.4295,-0.3165,dOG
laevvblefa,82,0.074,mrrnnqfrhh,-396,-0.3345
CAT,dqrvywnugu,caT,-402,0.07,oeznzehagl
Dog,0.372,rkbnmbwclu,0.4225,-40,-5
doG,0.356,0.128,0.4135,-0.317,446
DOG,laqoqcltre,dOG,-404,0.143,cAT
dOg,703,DoG,0.2215,0.409,-597
CAT,dvcgtkkqmc,xrjippouzb,942,-736,502
doG,0.1065,184,dmetdbjsco,-483,-954
287,whzcvlsmcd,-0.144,phvyvjwgac,0.045,-0.168
dOg,cAt,mzjcwvcmbp,-0.1745,0.2915,-0.3115
cAT,uzbdrqnrhh,0.371,aullxojndr,xkkvklrkol,423
cAT,652,nadlqcgrum,CAt,-0.4015,-0.317
