wkqxsbtvfp,lwfcxmxsjo,iponlipora,hkrhknrpgh,PEt,szmunhsjkm
wjbfznhhwk,0.0835,455,izfpvlwosz,cat,mkbupiwjfe
yxhphdyytd,0.133,bvhpwyffvq,360,-245,dOg
rknjetbjcv,-0.448,-0.4505,myeyapoqaq,cat,DOG
446,pposxaftkj,-0.3155,-0.088,cAT,fnzujxcsqg
mygogoxrof,0.049,986,-55,crogkebmkn,-0.2005
467,-0.3505,wanqeskhzg,nycqmknmmc,CAT,-0.265
-0.362,-0.0495,-0.2885,-0.2605,CaT,DOg
0.012,ravcungske,edukqfxqrb,dOG,0.378,-0.263
0.4465,-772,-205,aknbmxlolu,doG,CaT
elamibajie,zsauozyqrm,-0.0875,DOg,DoG,dOg
-0.4285,219,lktnbhyapq,-482,0.327,581
447,hzpbqxklcq,-0.1305,lgxwrxyfhk,CaT,-0.234
cat,ecdhwgjsso,0.36,scskobuvwm,doG,-0.0705
tebtualdds,-0.157,-0.243,155,CaT,nrkpxsmxoe
dcibbytdmk,0.1755,0.3455,841,dog,-0.2085
-868,-0.3775,jrfhnxsdgw,-811,cAt,-723
0.2005,0.311,0.1685,ecaonlihdr,ulrbmjlyqc,caT
0.083,tyzutfwxas,0.489,-0.1585,-422,-0.103
tcwctdrblm,-58,-154,dOg,myfvwwpwdg,3
dOg,xvhgdswbmb,158,0.1275,dOg,nlfthxtkes
-0.0055,CAt,-0.2305,dog,dOg,xycbfaqvps
dOG,-0.224,jzpnsdgqmt,-0.1475,dOg,-0.0725
lfnxrbzoxo,-0.074,0.1355,666,dog,xcbshlsqad
nfbijynpfj,pxjrupwkgg,0.1325,-0.04,pflnwmjjsw,DOg
-718,522,bnmlncsppj,-103,466,hoapelksqc
0.3915,ohcpqzmvfj,0.384,194,cAt,0.2435
-0.271,hbyouhgusd,uosgdtqeig,-0.1595,0.4395,-0.142
sqkwdqcvkz,0.2855,875,0.2885,CaT,-526
Dog,dOG,-0.2935,640,gfreqwivkr,-137
-440,0.2835,0.3165,Cat,Cat,gmrsqfrsip
qolzixdcfo,fcosjjghcm,wmfrjtthgb,-0.371,DOg,0.392
scvtywuotz,-0.057,-0.3325,939,CaT,263
0.2015,0.2815,zvhtbwxpdw,-0.424,cAt,120
975,-0.099,-976,trknjrwhth,cAt,cAT
-431,vuzaibwzhz,962,-0.2215,DOG,597
hykbidpcgi,ulvazxjzhw,0.2675,zxsyxpmcng,-0.2925,0.2355
dOg,dOG,-358,-118,DOG,81
DOg,0.407,euhorvsyjy,hbwvapmmwn,CaT,aybstrrrkv
-598,tyuzuhpaeb,-232,caT,cAT,-0.4775
ynxptrdwul,876,DOg,55,dog,-0.375
751,0.2395,0.398,fvdpcimyrn,cAt,mhexiytosi
0.495,DOg,cmgzuvitve,-760,dOg,512
971,959,rmzqsfuugx,0.05,lfuwrafhrf,wmtvlocena
0.375,-0.164,moibnrpten,-76,dog,whqjectfan
0.4665,193,fdzdmsovrb,ntytwqbymx,dog,tqhfxobbzo
-0.3235,znrjaztzcg,-836,CaT,DoG,-0.0475
dOg,599,-928,mvgxmzpezs,-0.0125,-807
rbknlpfczz,-746,-0.07,-0.1745,CAT,0.1
-107,Cat,cnnxaqamrw,dog,CAt,-534
cAt,dOG,cAT,doG,DoG,-0.02
0.267,-412,-642,0.111,DoG,rfdqhgzhnu
ypuudhvxmr,0.234,dOG,0.2165,sfpybnyfbi,189
0.3815,DOG,0.425,DoG,dOg,0.0775
DOG,cat,sxxuhoflal,-648,cat,466
lrkkfdsyap,0.07,237,qykffxydbt,-0.494,-915
-0.3855,jxnfomkiie,CAt,0.018,DOG,-0.428
cdipkfhvfb,954,-0.0285,mrwockjemx,yrctspvbic,-0.264
nlmixsgbxg,ugzlhjkeaa,-0.495,CAT,doG,ovvsbytzvl
-952,fvczirwkok,0.403,dOG,cat,-0.046
-0.1105,-0.228,dwbkphnlat,qmznjwnjzz,Cat,-359
0.4495,-932,0.2565,0.1745,CaT,rzualwkxtr
-0.4245,0.4045,ecvvvnmzup,ewqoaeulvs,dOg,-0.4245
0.3345,cat,-708,dog,CaT,bwaqqtutjw
