eklhnsushn,qjptexsywx,kyfbqngsah,kksxvlczvg
rcmlmtilky,-211,-0.416,754
-132,doG,ntddvodhdc,-626
jxupheebpl,yjrrcmempk,131,CAt
0.2695,Dog,444,cAt
doG,-0.2635,562,-0.2015
vyudbyzkef,-343,-0.4285,-0.2785
doG,-0.497,465,yegvwndevh
ziuindulkh,mkrsqgpzzk,-0.257,Cat
Cat,-0.308,-0.1015,erosvqepto
865,-0.437,202,jyygdavmbe
cAT,906,CAt,dog
uebcuumgjy,-0.364,0.178,-0.0125
dwbsfpjtum,dOg,947,tqpvbidbdw
0.3485,yzocbcawjc,CAT,fhunqvxflp
cAt,murcdybhaj,0.0135,0.214
-645,0.246,256,39
-0.4145,0.233,tgnuvzofgq,371
vtuiunbfyy,25,0.0645,awbknkower
-0.4775,yxtomhurhq,CAT,qpxgcbfrdy
941,85,DoG,927
mrfvxphghi,-0.1645,mrmbcqxhlr,0.305
-0.062,htdnrccejt,0.039,CAt
pfldhsraci,cAt,dOg,jthydubogf
711,cAt,-1,zkyrltfjep
vkjatbmbbr,ochbfmlqcw,CAT,tsmmwtloao
doG,0.144,CAT,-838
xlkcmuyfry,42,urwtsmjfvw,-0.045
caT,240,506,-289
0.428,CAT,0.4855,0.3345
cAT,DOG,CaT,eoyakasrke
axytfrantn,apkfekaxup,-0.491,-0.2315
-911,-463,0.4295,cAT
fufaokblgq,0.1165,hgubgwoxey,ulwlapdgpl
394,-169,248,-517
-0.462,zycxeyhfvd,-0.0975,rfbweowwxk
gjtywrnwak,-0.462,Dog,DOg
-0.401,-0.2995,219,CAT
367,-413,huzffajwxw,kpklyfveho
-0.3495,dog,-284,570
-0.143,ygedsaodpt,-0.2655,-683
-716,-643,0.1855,0.3645
doG,-0.007,holyqbrsjg,-0.426
yzpqutqvzr,765,0.449,qyimdwqpnn
cat,bquazgxlyu,-0.4185,0.4505
egqcngnbzw,CAT,0.248,0.0415
547,0.275,CaT,dwbxmmkayb
dOG,cAT,0.0385,dog
567,-447,jhjghyifuz,-490
988,Dog,-0.2345,-241
-0.013,897,-15,-89
0.301,-0.435,urrwatneng,850
403,ifngcvbgqg,-0.337,Dog
Dog,-115,250,-156
-0.2365,Cat,-19,bnhvbihseb
0.2385,ongnuxxrny,-991,0.2425
35,xvkzzplodc,madhgoextk,0.3
zgqlehyczv,CAt,-107,-0.2575
0.438,DOg,-945,-80
-862,0.41,398,DOG
dOG,rpfbcnlpey,Dog,pugwiaekhj
