wohsrwkcmu,eaoohzobua,fuhvxpivea,rjzcgzyogw,pEt,grcgjiuszk,wpvwqnkjxm
azaltkqlip,cokfqbrukq,wwamhueimc,-113,cat,nsofyisakz,-0.2415
dOG,-794,-0.3545,vtreyiiedb,Dog,529,0.0475
sofrrjqmlq,0.411,ceqxhyvrvh,-0.2035,CAt,0.016,0.036
zfmtnuakzg,jugqbemcub,137,jjmiczoiuy,CaT,coebbnyozx,297
246,bfpbbazqmt,gademarrhy,dpjkpiuxtl,dOg,cat,23
ugsdebrwoo,vfzdmdeiqt,-0.469,lzqlqnqhdu,xbhnzokkzg,-0.1445,dOg
-0.038,-0.2925,-655,hnqxdpkmwf,caT,-205,33
qkksxhucro,iqoqkbzjyz,-0.3855,bnxmhysmnh,doG,818,597
caT,ajxzkrsoqy,qyrtkhpnaq,-0.431,DoG,-0.253,0.4865
894,tjhedtnibn,0.483,DOg,0.1725,dOG,fwwqdhrwai
496,0.279,Cat,0.4585,0.174,-0.2775,scmiqcsuga
nidwlhnxvh,-0.256,276,bzvraueyij,DOG,DOG,CaT
uujzxubrec,hlxjroqkat,DOG,Dog,caT,158,797
-0.0285,-0.1645,soxihwirou,0.406,CAt,qvgzbbefgs,672
-0.063,tdupphirlh,-791,doaqapwjma,Cat,lkfybmwkvz,-463
-0.0725,cecaqstclg,566,ysdswhevzz,DOg,-869,DOG
rsqztbatxy,sexdielspu,vepesdczrk,375,-163,0.0495,kqnqcgwwur
0.2875,0.367,dOG,357,-287,-0.239,640
631,854,-561,16,cAT,gdjedourby,yamwavbhum
96,caT,-0.0525,0.213,dOG,-580,-292
dOg,-967,-0.3865,0.0675,0.097,-0.399,dcguonqasc
-0.424,0.4055,cAt,-0.4985,0.3635,-0.4525,-743
cAt,-124,dssoqjotey,-0.217,dOG,wgyrocsejx,-458
-0.051,dmecqnumds,sowwrykloc,fjyuxvebxm,DoG,dmqtmdmgop,jcdveeifcf
0.051,-0.264,-738,-138,0.404,-0.461,vfqvbxrmfy
wmrbmqpzvd,lhlbckyiam,ayhqtwdohz,vxcuhcaivf,caT,-0.2965,cxdjapuanc
-0.2075,tgaiwjdfiv,-0.1995,716,cAT,yfucdkxppo,anpznmtbxv
-0.454,-539,104,917,DOG,usqnfdjecp,caT
322,895,0.145,-0.3605,CaT,0.305,axbphlfarh
Cat,-877,-0.406,0.3595,-0.3725,-0.4075,ygblbsavaa
931,-417,580,hiugkbnura,Dog,-0.0015,CAt
-55,caT,Dog,bfggmzgslf,DOg,0.291,-0.29
cggxqlgsuy,-897,CAt,215,CaT,700,CAT
alafgubfem,0.3285,-0.3105,dOG,dOg,-733,-0.3785
-0.124,Dog,0.055,Cat,-372,0.4895,kqdoghyfyf
CaT,reyyempfmj,0.2935,-0.475,kbfizfrtrr,48,ixlrgwpjpy
wmfbmtunjq,0.1065,0.3735,DOG,dOg,doG,aqcmfhgflk
846,tdeuegrppv,wjebbbkjvu,aznnovkqfc,-919,mtnhblnauh,-403
-918,-629,922,mkitgipwba,DOG,-0.0205,-292
ilpypledhs,804,40,-0.1245,dog,dog,DOG
-0.363,224,966,0.455,doG,899,0.265
946,62,DoG,DoG,CAt,nafxkdekfs,DOG
dOg,dabncarkix,-0.025,Cat,CAT,cicnnmlhlo,fnjkowlszz
nvotfmufoi,efctllsdup,-33,tlgasbqfxb,Dog,0.4915,nemywggaae
-510,0.3275,526,cAT,DOg,0.2715,uyllmjzmvc
-0.315,667,cAT,aighaxhgki,DOg,853,-0.087
mywgmbzbrh,-61,-0.423,hdmmyegilr,CaT,jwtjsllvkv,dcsbolqarv
caT,278,965,95,-664,msgeerbgfx,vrpfgtijhw
txasitjcch,0.444,0.177,-0.1815,-34,rrszndhfoy,307
-44,abfuxhfbdh,0.0045,kbldkekqzp,cat,-417,540
CaT,cyucfptwhd,cogiabwcit,tkpeydqoms,caT,785,-690
-597,ryhcukaooj,DOg,-0.2605,DOG,rvwrsixfzp,0.104
541,-0.0395,wwfatkjmdl,0.4585,CAT,bkvfayamkf,gnmkoiwpvu
vlxhiaclyl,293,yfavuozjue,-636,cat,-0.22,-789
-393,946,fscpmeahbr,-0.494,doG,577,zakevcgrjz
uxvklzbesl,redmqcqlnu,511,txugpwpusm,Cat,582,-480
kkalheiadc,138,-921,0.015,-0.4945,850,0.0395
330,cat,0.0685,Cat,0.0905,-131,uctbntqrpt
pecvcpbpkh,0.4315,qprgdbmtjb,ukayhpgmfu,ixudycaope,-0.0705,yxipskmngc
0.22,-588,-614,0.065,dog,-0.1955,901
0.3805,teeazryswm,-910,wkhlehyjhf,qorxvgqbbe,-0.1425,-852
cAT,uxfqmdpbah,Cat,Cat,-0.3755,Cat,-693
qhahllrewb,ujksvsobea,tllilioysw,eprrsashwl,cAT,0.006,0.35
-0.185,-622,ykcxycjnox,990,dOG,0.349,CAt
-0.1095,doG,Dog,953,dog,Dog,xvvgyrrtol
-785,doG,dOg,0.23,Dog,DOG,fflvirnnrf
35,0.24,92,-868,Dog,qjcjmbzuad,742
0.2235,-0.401,scuzheqvso,881,doG,-0.2065,xcheadcnmu
-0.087,-698,gqlwrveuiu,56,dOG,opkzkkbwft,updpimijvd
-685,Dog,bkiecaghuz,qzfrnnzfnj,Cat,DoG,773
CaT,arudexzdbd,dlytmjnokw,0.3895,Dog,812,dsvpxdhvsm
-476,Dog,dOG,0.4635,doG,0.45,-275
lmctbkevcd,qrtrdgmovj,331,0.028,DoG,dnsijgluqa,ofzmfeqsjz
175,240,eckrmhoovl,icexoeyaiz,CAT,DOG,cAt
-667,-473,-0.021,875,cat,-130,-0.448
161,886,-879,-0.1,0.2135,Cat,eqosrtchre
pvmwiopjkr,-0.3875,0.0005,41,dOg,qwhiiqimcl,DoG
wpyxmmdetp,0.1835,-0.361,795,Dog,djbhujafvx,caT
0.068,rzdqrfzusn,dog,CAT,-0.024,fqbhxahiwx,dog
-0.0025,-279,592,-0.16,Dog,nyeinxuuke,-34
dOg,-66,0.06,-0.2235,-54,-0.3635,606
oyxlcjkyih,veaaeoktkx,-436,0.146,Dog,wcybljpslf,0.0405
DoG,tqshjkzxzi,-572,189,caT,-0.259,250
skmvrgmatn,-0.1845,0.063,-0.094,-0.4715,737,0.1755
hsdeezfnfd,wbisiquhro,-0.0025,0.3325,DOG,yheaokjjod,148
jgxuwyubii,alqdaexkii,0.218,oaxmialwkz,DOG,czolevyeow,-833
0.0755,0.158,-670,118,cAT,0.118,CAT
kuheyhqwul,-193,0.0625,dweomnbihd,CAT,0.404,dcjtfmkivg
-0.4005,722,gktotdwmsl,vhiisykyyv,cAt,837,376
-789,-0.114,nobzrxnzhf,DOg,dog,hdcepmafjl,cat
-292,acfdvlpyde,-142,0.1515,cat,cat,-874
-578,-704,-653,0.1115,DoG,cAT,-0.3225
Dog,uwyzfzvtzn,-0.1775,ymivvnzein,DoG,-313,547
-391,-644,-0.2225,32,CAT,vdlrpjeuhq,cAt
-0.0695,0.229,440,478,Dog,qerxoxxlns,doG
DoG,nqbplxppwo,0.052,CaT,caT,754,xgbgcuikbe
-0.257,bvmvokbhld,dOg,ojoqysdhwv,doG,-36,doG
-103,gqzetwfsbu,Cat,qdxtytahoq,CAT,nxqcmhjfim,hlhtqpehju
