rprhkcvawr,mqitvoztgq,rkmgcpyawj,iusarmdxjj,peT,dibjdxpxgg,pceoogzcjq
empehrvnoh,-83,CAT,0.362,CAt,-0.2555,dbfcnumxcs
520,ybdlrynzzv,fcpmyysngz,0.392,DOG,DOg,789
cuwapevwsp,0.212,826,934,CaT,0.413,dOg
-0.3245,617,0.453,CAT,uonczcwiqn,CaT,967
caT,-605,vjvefieyjo,zxxutaquja,CaT,tmjnvhdquv,0.02
-0.341,-0.189,edonhsdqax,-899,DoG,nspjwrsdwb,Cat
0.023,gjeamscsca,-246,dOG,CAT,tspxkchpzg,61
oezsdpuhhn,xagpljypoe,0.084,cjldrrcrbk,575,cAT,297
cat,-0.3995,0.418,-202,cat,-0.3635,qnphobalmq
biijmzmhch,rgddgebpli,924,0.1835,caT,343,Cat
swrxqkazdu,-578,xzgycoxqeo,-421,DOG,0.113,CAT
0.121,jnnmxpwsjf,-692,0.306,DOG,DoG,cAT
mkejtrqayz,827,iedipmujvc,688,CAt,rwmgbzwzkh,xdxmqikskp
DoG,0.343,0.285,0.455,CAt,-245,CAT
-916,915,0.174,0.37,CaT,-471,-532
0.431,0.44,-438,922,DOg,838,-835
-0.311,jimirdkyap,dOG,-799,-970,-0.299,cAT
-0.1465,537,-884,-323,CaT,elbtqjujyl,0.2805
doG,samushacif,670,-255,DOG,qywldengav,dOG
0.262,kckvauryuv,dOG,tyqqwvkenn,dOg,0.216,868
-0.385,-765,hflgqqlivj,ztjuzpoyzh,doG,848,0.176
87,-0.11,dssnegcbpb,iflwfxswvm,DOg,0.1625,vwstqebfwx
DOg,0.1495,0.0335,cAt,CaT,569,rdbwpzpvne
clxqhnngzb,cat,dog,831,DOG,0.19,xkbjrogqqk
xmriqfnqkw,-726,-923,oungjwibui,-0.157,sphgzaeqgc,dOg
caT,0.143,803,Cat,DOg,332,yoocrvqskw
0.3075,phdplchpju,xmohjvqotk,-527,DoG,0.167,0.013
kwywsuscvv,caT,0.1215,CaT,caT,moqieueuqc,-0.4515
857,cAT,cAt,lqdldyfxhl,CaT,500,aupfivgqai
-514,-675,-354,285,caT,jicuuujhpk,nwevbawyhs
erjphdgthz,-0.4635,0.0765,xlfdwrcinh,dog,fjoiqgkrgs,ksiodfcmwh
-63,-930,palstntgju,0.241,-394,-0.092,0.3565
cat,-793,DOG,0.2255,-0.215,fdcomtbgwy,130
181,CAt,xomnwxiodn,-477,DOg,160,-0.0355
CAt,0.206,DOG,0.12,dog,-702,0.2415
184,caT,25,xaojqxjkzr,CAT,DOg,-843
840,incnjcqdbr,doG,-0.4215,dog,0.1445,CAt
-0.01,-0.325,DOg,txbxmxausf,gfezqdjgds,DoG,ibxpjcdzci
dOg,-0.1855,0.3855,-813,Dog,hlujjwbhvn,46
0.0855,hdvpkyelyl,CAt,0.47,CaT,cAT,cAT
doG,446,488,okbnkyavah,dOG,0.363,enrenpsujt
-459,-0.4045,msolntgonq,pcfxulwxpg,caT,zfwsfatvfg,nwybmfxmuj
0.24,343,-940,-0.2105,-72,-851,-0.3015
dOG,-557,-0.42,-0.174,DOg,-0.1605,-858
-593,ghledtyfzi,xukkeqvkyh,cAt,0.326,-0.429,909
-0.2455,ojaagaivnu,0.2895,uimdxvwrxq,CAt,dog,-0.099
srpxamhtlw,DoG,skbowbzcai,xmfxdscjdo,caT,898,zbqudtgcpk
zmwzknhdoz,-0.166,0.242,743,cAT,686,999
drmhiqxqay,-0.3765,qnnojzqilp,-542,CaT,0.1075,-518
0.0355,-0.3415,-0.2065,CaT,cAT,dOg,sljemjndlj
-0.1835,dOg,cqsbletnwy,825,doG,-631,ytkajutxom
cAt,kyfknghocf,CAT,-0.129,Dog,0.2105,635
CAT,-375,dOg,-881,dog,epwzesalnp,856
259,dOg,0.26,doG,cat,DOg,-586
-0.2355,-0.024,gjsketpfyt,-903,DOG,276,Cat
dOG,xermnavajy,0.436,50,dnmbtmzpaa,dcjtmkftfi,DOG
doG,CAT,-598,qfdwqzmluq,cibgroldws,wxwuvsuefi,kzvqyplfzj
-0.0795,124,753,caT,dog,vtqyfhtgqk,782
-551,590,255,-680,cAt,caT,CaT
-873,doG,mvqxewpevx,vrzkejxses,cAt,vnaltfhdjs,mgdgzormml
xkvhftgfgl,kwlwguardv,50,CAT,0.175,-0.4245,cAt
74,tdrdmlknxg,-0.3255,ywzngyigrn,DOG,-0.205,paqwlhzckf
zhzyoaayrn,-0.2515,0.2625,Dog,CAt,-0.351,186
82,-0.166,0.0455,638,dOg,-0.121,-0.2365
-0.2985,usurjiwgjb,doG,0.002,DOg,wtneihaico,980
hvazucxnln,sfnuctlpzj,0.0525,cqyeaqrfje,hnjuovvdxr,dog,0.3335
DoG,0.1965,ppiyzmsfqg,xeckxfprru,gqtbpophnq,CAt,265
922,cat,Cat,362,kpqaszoajq,otddiwscdl,Cat
