bhbdugrygd,gpwalphhid,xzdwzlxnac,carpajdnxd,decrnnisfe,wqfvyccclq,xqdgnvpcst
cAT,-672,cAT,ttvollgpfo,sxbqdvoaso,DOg,CAt
caT,atrncetusm,-0.3735,-0.3205,CAt,0.3495,0.2815
-0.4035,-89,-0.331,749,0.003,cat,zobenbvqam
-0.021,-497,jxfnojsutf,539,870,-0.4235,626
khgfyajdzy,-383,-693,-0.1835,xzcllyzalb,-277,-76
-0.4985,796,-913,0.4165,ztavgigrld,-618,caT
wdfrfjktmn,kzbzffxctf,505,463,694,-967,qhkhqzbohl
539,9,715,rlgtbylzfv,cdavseiszk,-417,draeoimgfr
hwscpqxzwm,cAt,CAt,utbmxksvgu,-0.267,0.242,Cat
-715,-916,blmftzeiqn,0.0405,dOg,-0.1555,bvfztkpkdv
-0.2175,0.272,qgnyyajxke,bbyculhuvh,ocfrutshbv,979,134
ljqlrtrxoq,caT,355,gsxsrjyvds,kwguxpwoqy,887,0.086
107,evfviiwezp,18,CaT,CAt,Cat,kduhbvrleq
bwgbttdfbu,DOg,mwsibpefes,rhcfxzukaw,xflrvyscyh,0.064,rhrrdorqmf
dog,-105,0.1995,opqnnykhag,wwssutviqz,201,jhixharngk
329,cat,-0.283,-980,dog,CAT,pikmgtyayf
0.4125,uedacooujv,pktswsfbyw,-0.224,0.169,-172,-550
DOg,-490,dog,-0.3295,-0.358,-0.1825,-0.278
385,240,0.3325,kfqtyvcycy,769,-0.256,0.1205
-406,zutywmyjar,-0.154,qmtwsrlmmd,-0.2655,309,0.165
0.064,hpmkszgryk,-600,55,ptyqngpodd,-542,dOg
400,dog,kvawastkna,ydhhddjbfc,157,210,-570
0.323,-0.401,-0.1895,897,-0.145,0.1045,dOG
dog,Dog,lxsimqrorb,DOG,gicznmmhkh,-60,-341
-0.323,ydoqsrulkw,-344,tymzxabijc,ydvudxbdpa,226,0.313
tbpxfbiefh,-922,cAT,Dog,-0.231,-0.362,rqjwgwcgdj
cAt,CAT,ndkvxpscow,zsyrlndlns,150,0.0895,dqcdiredrn
aemdnjhgon,861,mawmcjpfve,gsgmnrhzsj,570,DOG,dOG
0.0305,-159,-130,Dog,0.222,0.202,0.3045
-0.3205,915,phgosvdpzt,-571,0.4335,0.474,287
99,-0.3435,-344,971,wndvwjdjhg,ognjweenae,62
fryhuaoacb,-350,793,xcizaoetph,686,709,DoG
-516,DOg,0.426,xnuwnnjjyb,fscnrrxxnq,0.1005,-112
CaT,115,DOG,dthcmxmzbn,zmfbdxowbg,591,doG
uyiiwqbfbh,ujonpthwhu,DOG,xizngerhwt,dOG,104,Dog
-330,-0.3415,-895,hqiogxjaae,awamtgtblb,-0.2525,ydsfcqowfy
DOG,cspqzxcizz,Dog,0.3485,-0.1055,DOg,ticpqyswfi
-0.1825,845,mxynlyiesx,-0.283,916,cAT,-62
-413,doG,dOG,Dog,-0.0495,430,pnpsvsizzx
Dog,CAT,cAt,bhzpdujidr,0.0165,-0.3585,CaT
-603,740,zbjkadoxzj,0.367,-0.309,nxhbusogqi,DOG
dOG,stcfvrgvyc,fzymjcwfhg,sqtjqypert,bmwsvlegcx,462,-848
DOg,dog,0.0425,-537,589,rsuzoifmyl,kjkgmeszdx
-559,846,Cat,ghflckzgix,0.175,Dog,dOG
-0.191,ygrvnoueie,-0.06,0.4165,lbxjfxgalu,0.2485,DoG
-0.156,0.4935,0.0525,-0.486,sjujwdvnza,-0.223,-18
265,hlahzuuvas,-0.404,-0.18,-0.3305,-284,749
-0.286,-0.411,sqtcrhmgnv,CAt,sfierdsqpb,dOG,cAt
606,DOg,-0.33,-0.494,0.4165,-491,0.3525
lawsupudfr,-616,-467,jpakmbbnwa,xelxatoifg,efwmtbshmt,CAt
0.2215,DOG,286,0.0445,0.1485,cat,932
doG,105,-0.4705,0.0025,0.4405,DOg,zhcnnzkeef
rzopdbmqoi,DOg,-0.3505,0.017,-95,408,dOg
lqipgvsedy,-331,-0.0745,-401,-0.0925,CAT,-486
-610,660,cat,0.28,oggdxkivre,-0.205,mgmhknoscr
ynvccpkxoa,0.318,fnzpsofsoi,0.45,jcjkcjmxaf,unstafdply,-184
-0.4645,-883,771,0.4445,-538,cAT,-0.473
