pletdkqlfi,ocjewzdkzg,ffomasqvae,cgfgkpkafn,tgvhdvmsbx
0.3125,omhxezqtks,dOg,aaogjjarxl,-0.267
0.2915,0.0775,yxfwmngdeb,-732,-0.064
0.1755,iofocaikwm,upqirozjnx,-616,451
-207,0.42,-417,cat,-0.33
caT,0.1725,382,0.3555,cAt
-0.2505,dfkyftaefx,-918,0.419,doG
-290,0.0875,-395,829,0.2855
935,wskkvyaazb,miakwqhfba,ogtqstvrui,0.2245
uewxumjimj,0.3835,-492,-0.373,-110
0.0095,946,cAT,DoG,0.1485
dog,0.007,-0.1865,DoG,esptvazxif
typyznivaa,sbljhlmgsg,-0.444,0.466,-0.4265
-277,qxxaggrbiz,790,-0.14,CAt
0.1435,esdzgvlzzh,hpgqjhgyem,-0.2395,-38
0.45,-0.0695,0.332,vaqpkbmnoc,699
wkonqvrwye,dOg,gnoxcfkofn,ahshtodrfb,895
887,0.1335,0.095,0.0085,amzskbzqyk
akrqdgktgv,-0.1635,-0.0915,-998,0.0365
juhnnsxffl,qycbcdkplq,dOG,-754,wsufoxzsmw
0.5,rbarahfqmt,caT,866,glemxekrur
-667,-672,cAT,jjdlwzxcwp,-558
261,-629,-0.103,559,xfmfyisizs
iltqjknykx,-411,cAT,cat,0.0125
-0.303,kputfgkuwt,-73,-0.487,0.2205
dtkuaakqhj,dOg,0.2825,CAT,caT
dfpfuyvcxv,0.007,cat,fbvgeltdcu,Dog
-572,CAT,DOg,782,54
xdhsnzohtm,0.1355,-426,dOG,CaT
0.4165,-369,-0.316,-11,0.4915
fomocxfnfk,0.362,-158,535,-0.109
kbbaiwkhsh,kdjvfnsmau,-0.0885,-0.005,661
iqrhbnzrtl,703,0.4105,dOg,Dog
hvcbaruhzm,lubmvxrgpa,vgbhsoqwjf,-249,icywioutno
CaT,0.3325,0.351,-221,zixenbampu
-0.4415,DoG,-0.0085,urjtbukoxg,0.037
-865,upmajzyetl,0.183,npplyxamkx,fslcekvzpo
0.02,dOg,-704,vkwlyzurij,glpfhjlbot
fpwjnccuyc,cat,-0.4955,0.441,-0.418
-0.134,doG,Dog,35,-0.463
dOG,0.3565,gbplgckeub,-0.367,ckhzjxeirg
CAT,0.2925,gyqncgfgdl,tolpusdviy,cAt
iyyjmprhws,mkutrkpvar,DoG,-0.3555,-0.08
DoG,dog,374,-0.133,heplhpmabe
-0.34,-865,0.181,0.392,-0.1975
DoG,-187,-305,-0.336,-214
cat,aysprgoijp,DoG,-973,caT
wdraroquno,-0.2215,-0.3555,-963,DoG
dog,-0.0425,hcnukpbfwn,dog,0.178
-19,Dog,606,-171,darvesgagp
-636,-0.1155,-0.173,134,-814
Dog,-699,30,61,-0.0415
cat,0.3045,0.38,-829,0.0935
0.348,wliynivqvq,0.2345,0.036,uabboylshn
0.2045,mjmtajlgpr,DOG,xvahragmco,nentsqafio
-959,dog,0.4195,gdlxukfdqp,225
-629,-0.0415,-0.0615,-0.086,poessmrmyu
-0.115,CAt,293,-0.417,810
xbetnmobpw,pbfkbflohp,-905,-0.2275,msucmzdnsv
vxqwscoruk,0.0975,ypurdgygwr,ilclomtmvy,mxxhpbsgdn
zylfapxuwj,-0.206,cAT,dOG,159
fuytcyozul,tssdijtzrr,-0.4985,-0.2005,-0.2885
azoudnbrkq,qiqcatycis,248,zfcljyreqf,918
-0.347,-946,-125,-302,624
caT,DoG,-887,ozjcpkddaq,-791
107,tnvqzvvpgy,866,-106,dog
DOg,418,-118,71,544
qxtmjibrwe,wyepmkqqqn,aqkzppsysz,0.2285,DoG
-522,ltyswnvfcj,-387,-0.076,imxwaayzwz
-0.239,cixxkbmpez,szernkcjvr,0.1295,tucxixqrwi
-0.137,yejxdpzbeu,-0.12,0.267,993
gkjbszmzvj,0.36,-904,-54,0.385
ckstolpnjn,-0.313,129,-0.0365,-0.2785
bbsowzqggn,caT,fhnysgmugr,DOg,-0.478
vefdqsmctw,-0.3175,-429,68,-660
-460,zdxuuappuk,wbhmthowjv,-553,DOg
-0.1315,175,oyxhicvzev,CAT,-0.057
0.3045,DoG,mdijclfudt,dOg,-0.0235
dog,0.495,-156,-0.1955,-0.239
643,0.3185,dwvddombnr,-52,dcbobylkax
dOg,axthyumxaa,Dog,0.149,638
vtnxaugpuz,388,sbinqxxcit,zylujlvooc,0.39
DOg,-0.178,cqvbntlnxy,-0.457,-939
Cat,yjbcigazfb,tmnsicjlmb,iznvkuwhdd,0.0575
