mgbkbgpwgs,fonsuvkceg,makdbmtnvr,pEt,qngmoqqrri
458,trgajxazoa,cAt,cAt,-323
403,CAT,98,dOG,cmfnohumzn
-768,818,cAT,doG,DOg
cAT,gepggrkawf,vnumvaszxy,DoG,dOg
Dog,-463,mzjicwyxdv,CAt,uhbudbsjey
-0.335,-0.385,-366,dOg,56
mttqxtibiw,-0.256,-0.2145,CAt,0.138
Cat,0.021,-88,Cat,CaT
petcrlilsm,rxloubwvca,-783,Cat,-584
623,572,-318,0.2735,977
gpuazxdbqf,912,-603,Cat,DOg
-513,caT,Cat,CaT,caT
cat,0.253,0.0085,whgioanieq,DoG
rfovzkvxkv,wlfrmqpqho,uhrtlrlqrl,-0.271,skmrxrtuoz
-0.052,-570,0.0095,-577,-0.1545
0.353,htjppkeoww,fxlecagvif,doG,-690
602,xkfmpvrkjq,-0.247,DOg,-0.152
-0.4015,xhkdftkjzx,774,cAt,cat
tbwgmyxuhm,217,kcenbylsad,dOg,ifamibtukv
caT,dOg,CAT,Dog,174
hopaylctyn,-977,Dog,cAt,-0.3375
lafbmrataw,qmtrzlqfly,529,DOG,-0.229
dOG,88,417,DOg,714
-0.4335,Cat,CAT,CAt,kbpgalkkjz
bhmclsyfdb,-0.433,pjkcbxaxwp,yiqcacvevn,qqaklfvqzk
-758,-504,dog,918,-0.2505
640,-0.3025,ewsbiuhtqo,sunyzqtjgg,-915
