lqdkcjiilh,vpfwtzcmlz,upaxxvomzg,lqlhzyifmb,ippqxpxnzy,jbnejgzuit,tmpcnspjrk
ggrufotugk,hvgbzxgahw,ktwtqxpkup,0.3115,-663,-788,byhxvefuqg
-0.195,0.0095,jwickvmjqm,wiqyjiscjg,Dog,-782,cat
0.131,hhxxlxclcy,0.3275,dog,xrrniaiequ,0.3645,-134
0.184,-0.2115,dpieslulkp,dexglhovea,44,811,dOG
-0.098,-865,bifcarvnwr,0.401,jtlihepdlk,adjhbfiyzp,iesnwphtbs
qheyeszsyl,-675,iwuuqhipat,-0.181,lodjmgzrwp,-0.34,0.3615
102,39,-0.422,rshklntarw,njjfwqhymv,0.074,-42
DOG,-93,-568,nbuhbsigej,cat,190,gawushsvcj
DOG,txistpwfua,caT,-0.158,Dog,-552,lvexcmydul
bbpfslzxho,0.222,-0.3555,223,lglbpopfhu,Cat,yyahuiehyo
-0.064,0.0845,fcmluyzjlz,qilrcatnlb,-434,0.1015,-354
-411,clsborkazi,-984,xkriqphulz,ngtlthlqry,caT,kafcnicrrq
uknthsoxsm,435,-690,-0.314,DOG,lbssbjgrum,259
-925,DOG,cAT,assvkgfdvn,-725,-0.288,-0.421
0.4655,0.4075,-0.213,443,179,zlzaytiugd,sssrhyxhuu
cAt,-0.3615,qvkqujepnz,0.029,CAT,CaT,58
253,-946,yzvjiagssm,doG,0.4965,psercmbesu,-0.052
CaT,kdoudfikhh,kqxzhdpbey,cAT,-0.337,-0.1455,-612
231,dog,0.352,gjimcygdgp,hyckocucdw,-0.105,-123
DOg,wlzwkjdpka,scczjxqeqe,0.487,dOG,Dog,277
exdxughjsl,-817,cqahavqxky,499,-0.4945,-265,pdseeihadi
szmipqdmve,CaT,CAt,dbsxbuqoat,-220,-262,-0.366
mobiahbtwu,-0.152,0.123,0.253,vhbwbpjaza,-0.2705,-198
fuxfhwabqc,690,-0.43,Cat,dOg,0.0545,0.249
-272,0.3985,0.141,-0.4945,310,-128,Dog
dog,-0.457,vqhqfwnbgo,-99,0.2375,fmwpqftfue,dOg
cAT,0.0525,0.167,-765,qwbvvkkwxo,-0.4185,vsvexaomtt
DoG,ooxvfmnigf,-0.364,cAt,0.329,-261,dog
-0.1085,qgaldtjmxk,-182,0.0815,jlklgablzs,0.207,cAT
-0.4115,0.222,Cat,-0.196,dprzdozdbc,0.2025,772
-0.075,DOg,lkrexgpgjo,0.0385,-22,lkdemfyjpq,doG
474,-696,-507,188,-0.1115,smquaggojy,DOg
-0.495,0.0445,DOG,wnaacrypes,-45,xdcszdsedx,diocffigsn
-347,-822,wywexpyqbe,0.352,wlfogjoaek,-0.1405,850
-603,rwiarevmcp,Cat,-911,CAT,-0.36,0.125
-0.419,264,DOg,ildcmnhlat,0.4805,-708,fbohdapukn
czbgodxewo,ypnrovxmox,-0.089,cgttzpaacd,915,167,-0.371
Dog,506,0.2095,531,caT,853,noiepvmprn
mapdrwkgru,-877,vjjrqccpbu,-0.391,xsmiiutkuj,dog,yokazaexnq
oonhxumhww,0.398,-644,caT,dog,-6,doG
0.328,-733,525,-0.287,168,-0.447,363
CAt,631,-0.278,-418,-0.4685,965,-0.109
-0.4945,-533,0.152,0.2755,0.0425,181,-735
-704,DOG,zwynbvkxsr,-615,CAt,cAt,alyzlevird
-0.197,mdoaykjbpq,658,sxlfdhkdpx,-204,-0.0055,Dog
-347,0.227,hkvmpunman,Dog,DOG,492,-223
-884,CaT,429,CAT,Dog,240,0.213
klhmpaefxb,rdymctxfsh,-115,-259,hssyhqgwsd,gpkmsfewkf,dog
cwdojvhnuy,-0.1615,-825,caT,0.458,0.4115,-221
CAT,cAT,762,-0.0785,80,772,-0.151
fjknarzrxt,319,0.179,432,70,-0.124,qmxmalhgrf
dOG,0.0515,-0.2155,-834,rvdszgzwgu,dOg,-0.0475
-0.1505,0.3085,272,lmdztxjrmt,-0.1015,882,-0.037
-540,500,cAt,audmjsroyl,dOG,jpawndamsy,qcqsesilzv
-0.453,ytcvyjlesj,571,dOg,580,964,rosoqzqckx
