PeT,yehrlwjmrt,fgwwsdnunj,htimpeakjl,dncxvxhxjc,nouuojqxph,szubjtmrex
caT,Dog,bojrvflomr,pwtftwezhm,fbyqtzzipf,0.298,yrnjjwwsom
0.418,0.1415,pikbmtgzzo,0.082,rbxfrhmupg,-799,-216
kmzljxpeai,-0.1825,-0.3135,CaT,kubephlgir,Dog,doG
hybmieqwui,390,lspcvkmeol,515,0.2435,xddwwadwcb,zxbgcetsvg
xodamlqaqt,-144,hlwlgofllo,0.025,uovjlrmajg,397,dosgorejfs
dOg,753,-442,-0.0095,adsqxyddzn,0.1795,hldgcjaurq
cAT,caT,279,-0.175,0.4705,zysjlbalnl,ubuhsdxuzz
DOG,CaT,CaT,vtozapchzu,-662,CAt,213
0.3245,-437,-0.49,0.0905,hxkkybgdgh,-820,-583
doG,DOg,-800,dnkpviuwtn,geiegwtaow,eqfzpctdky,wgeiistevj
uffhgnscch,-463,-772,dog,-0.1145,DOG,-860
CAT,-0.237,-0.2175,-249,-5,dOg,640
cAt,-653,-35,-700,-0.305,mnccxvnvwg,110
caT,-681,-0.145,doG,0.0685,arpsmdudye,0.145
DOG,-0.2025,675,pacnoquphn,cAt,lzisnrhjhw,0.161
Cat,0.472,jtueymtsok,981,-751,dmwvlbeksk,Dog
cAT,-559,-229,rfesnmfyxv,Dog,CAt,-0.1655
CAT,DOg,cAT,-892,kfcwrpzznc,190,0.3505
DoG,wzcnhkllzx,-0.324,Cat,CAt,-386,0.499
doG,cat,980,943,CAt,esqeugjese,itkucfqury
cAT,othndlzidz,liaglkfnwn,ryrxvznjrw,-0.1815,645,dOg
jxxuzlpqnp,nadftlityy,676,luuxxpyxmt,qutqoacrso,0.1015,-886
dog,-785,372,833,ucidvouvpy,CAt,gvqweaocwm
foqtrufxic,-155,-0.349,CAT,cAt,-0.42,0.305
caT,987,zlfvjnuhpl,bvaybbcjpb,-994,wlxcmulevp,437
Cat,-146,vehpwuuszw,604,-827,566,DOg
CaT,bkfpqlniik,xyzgqbryur,0.0935,-115,Cat,cfnyxdlbou
ibuxfchojf,0.189,0.379,DoG,651,kgiuyqidzx,ccfwvqpdzn
caT,717,ztnmbflsyu,cAT,-0.4505,-48,lenymvzvny
dOG,-78,6,-0.248,cat,eypgbeiswz,CaT
DOg,-484,879,-303,0.4085,dOG,-202
ojdmwjjxsm,0.4945,-305,btoarcokun,622,cat,doG
dOg,CAt,DOG,cwpeypcqqr,934,oesmnptfqm,cAT
DOg,343,DOG,-0.456,0.119,-72,ukruxcbbqd
dOG,-0.1555,doG,38,Cat,akarxzpiix,opknnpmfqe
dOG,cAt,-538,0.4555,itkolbuoyt,-462,CAt
656,lsahtmnecv,0.4295,0.448,Dog,-0.0065,-96
-0.0645,uukcrjhrhs,0.3875,Cat,cat,uviqplwhpn,caT
-34,749,538,-829,hnevunlstu,cteelrxrdd,0.1765
doG,-387,-0.0215,-469,utukgfjlvs,-0.275,fcsywlzoje
DOg,-0.161,lstutsnpsf,dOg,0.411,-0.3465,0.325
dog,bmjovwnjow,-0.495,539,-307,36,Dog
CaT,ofvnvpgilw,-0.295,weioevqwrb,-617,0.0665,eoykrdkpdm
CAt,DOg,nndoybpuso,-677,0.368,fbrkvbhauu,Cat
cAT,-893,685,caT,-0.2295,xeagiqrchg,mkiyhoofmx
CaT,rhzyotmmpc,-709,pwuqvysgbs,216,0.177,ubvorvhslp
Dog,-0.4115,zomhlzbnle,tyjkbyxsoa,tblubfjcjx,787,-249
dOg,yoyxejpcwi,617,ghjgjjoimn,cAt,390,-0.145
0.448,DOG,383,0.356,sthzylmcrl,0.499,aiyrlvvocy
DOG,prumrtdwpn,-645,862,cqcskvxfff,xxldodkzpl,mvvwusktsj
Dog,-275,qtywxmuzsc,fxucxkqayi,0.4965,603,0.3205
CAT,507,0.225,820,wlftfhfufz,-0.24,0.297
CAt,cvkwgdsfmu,-0.244,-782,-895,xiewvdgayk,cAt
dog,952,369,CAT,764,yhvdvjygos,dOg
824,-53,-0.1755,CAT,-0.096,0.408,-699
jasnkgoxyx,anlmhhcxrm,-982,kosfqnigna,-0.016,-839,kybtkmbtzf
wxwdekddiq,-0.1045,0.495,0.4115,0.004,-0.016,qezshrccbd
DoG,229,826,DoG,0.4075,-881,775
-94,caT,-0.2665,790,DoG,dOG,dkxardgnlc
407,Cat,-940,0.372,-0.415,bozzozgkbm,-0.038
