rsdscuwvtg,PeT,vyxprwzosk,wrkruomavh,omladkeaoc,ngtgdfvrpt,vrtdzpfykb
sometueipw,cAt,549,mhrxfcrtfs,0.405,dOg,Cat
0.2435,-137,0.125,-638,cAt,illltfzfpw,-375
-0.2655,cAt,bfxypxtwui,uzpxpeiytv,faocssrovk,CAT,mduufvvhlv
DOg,CaT,-0.4555,987,CaT,hizbrvapji,DOG
-760,0.315,cat,etpzcyncka,0.1715,8,0.254
814,doG,xuhpppfnrp,-774,-807,-0.0055,pvqiupmowi
-0.4365,hjrsudsatg,alrbpofvot,-188,-0.3145,rrsyirldch,0.0405
kbrlwicbzw,DOg,0.2145,0.224,-0.2765,921,-0.27
-118,mjlbaregbx,-622,-0.21,161,0.1025,0.4165
-0.493,dOg,DOG,nszgaiqrna,lbrlfnzamz,480,gvkuaxukht
putawasmub,caT,zfkcwhdsfc,-679,oojpkrkxig,cgsyppnmlb,-554
148,DOg,-928,0.181,dOg,cAt,uicgldpmpf
dtwkxjjuue,cAt,bufumokgqd,0.456,829,995,0.485
-807,Dog,-0.2295,DOg,-396,hysxzjkvzk,88
-0.418,-372,dOG,803,fqiixhtyff,370,cat
760,CAt,avkxuckhxk,Cat,czbhnulhmz,-0.2075,-857
doG,-0.2805,gcptmkclmz,-49,mfzkemrqyz,-583,cAt
0.446,cAt,-0.3005,dOg,-0.306,lpezjtresc,-521
768,dog,caT,gabyojdftc,DOg,qbtvxiownv,enejpwplhr
dtonktsemm,dOG,-278,-287,zztasmhbkr,rwtxhukihz,xuqqimuvev
-386,caT,62,ihflbmzwua,setlgnjnsu,shviakmfjf,0.093
ouqbmloacn,DOg,-0.094,ycikxwbpyn,0.325,-0.1915,-0.237
mxfnwejrsv,dOg,-0.0845,-92,-0.4535,fsqzxfvjfr,0.4905
cAt,dog,-0.3145,jeyaxfmuxe,dOg,995,-7
apwudmbtan,DOG,fmluqwfyou,-0.272,CAT,0.2665,wugismobna
434,bvefrbnheq,708,-0.4205,gligclrqkk,DOG,DOG
-533,dOG,124,qdnbwvsiyv,jnuowzucjh,-0.4105,897
ptbjfntqje,caT,-80,508,798,-129,wyosvzntty
0.363,doG,0.4365,151,jjneoiwzlj,0.3915,nyjvamudqz
0.1425,Dog,161,zcgjrumuyz,658,0.4955,-0.3285
0.3235,CaT,-0.3495,0.2135,860,uwayqykrij,-748
-0.234,caT,dOG,-0.2515,163,nrjxjjlexh,50
0.4825,doG,dOG,zwmccbkadn,-512,xyvsyhplfy,-0.2155
0.283,CAT,CaT,0.26,-0.0925,29,141
0.375,cAt,doG,yywrdfbctw,-0.426,709,doG
117,cAt,945,yhadfbxjru,ueglgogemp,0.417,301
