lolrrphakm,kdxppcnaqf,sdvlexsokr,apjkdxkryu
DOg,cljplofffz,-601,dOG
svhuwxgpqy,oiszuwzxte,98,0.4565
cat,-0.1855,0.063,-483
qtusuoeysz,941,nydqufoaet,0.0935
pnyexpggvr,bapywvrtva,txmmrmpofz,-437
580,-0.46,dOG,zeechigdnz
-992,cat,cAt,517
sjlffjldhp,rulpzpwroc,-0.0385,0.4995
0.163,-479,-0.261,Cat
cAt,DOg,962,-0.308
-0.023,frxxebubjw,-0.4395,dOG
756,Cat,kbpbagnkrq,lxioeqejhf
xlrpgeeujo,-893,-891,-0.0015
-0.077,212,0.4505,-0.0875
cat,inpwfbzxmk,jpzrzozene,hjpuidwzok
-0.0445,0.2435,-395,0.0995
764,xobhpzsbbk,fpodnzetmf,-0.2975
84,tufpeifype,omxklmqroq,0.309
933,CaT,yuxeniodbi,DOg
caT,-462,xoqpfesmio,0.0355
456,-846,-334,-100
-0.329,txdlvrufml,npufmnftvx,-170
Cat,-0.448,luogufgtkf,0.08
-0.2805,-65,-632,-0.283
-205,-940,326,DoG
372,410,585,doG
caT,515,caT,ucpgbokgvc
Cat,elyfwuutrp,-352,DOg
klsvppmvmr,bkjhwohlib,0.275,-810
lphzyvsvcl,-0.0785,chussqhgtn,wpccyqnmop
-651,-763,mvtufqbisq,-497
0.36,0.187,-0.0125,orajykvdci
CAT,0.1285,0.385,lkndockeby
ktfxevemal,0.1135,DoG,caT
caT,0.042,oxdblkwesr,-0.147
gsnlikneil,naymkxpahl,luyxiasuyd,0.0005
fubfabdeyo,-646,cusqgcdkix,dog
-0.0815,-0.4555,0.466,bfcijeuxsm
dog,uyovvwvwfl,kcezgvpdqu,-0.39
-293,-0.137,-0.0195,gozemfvpsp
944,Dog,0.46,590
401,-240,-0.4185,-202
679,-165,-0.3555,757
vwyoirkvcu,0.1175,0.22,cAt
Cat,636,ocsfeohbyf,caT
DOg,fmaosbvzim,618,CaT
auosazsswv,xlulkzhznv,jewmidnimf,Cat
-257,berwnytnfw,-57,0.0195
-0.4975,DoG,0.39,DOg
-0.154,dOG,-0.105,25
kcqbtfgvbg,-675,0.087,-0.35
-648,-0.1135,687,697
eqbmjaaezk,zbhguvpopa,cazdnaiwnx,placogkkiu
-0.1065,kmwujssiaq,dOG,bkeahjzcka
CAt,0.299,-0.17,vjpepjeotn
-0.07,juxmcmsuib,CAt,dOG
sbufuhdzxs,426,dOg,-341
vkcsihixdm,-25,-0.441,mjkxcislyi
DOg,ooodqhmitz,waltafdkpd,-411
598,0.4205,-996,-81
-0.486,264,cAT,fiwklprumw
rwbllxbdth,145,DoG,589
0.263,qnkdfchsjl,-184,erbperypsi
qzmdkrntcg,468,242,75
-0.1775,948,0.01,rcftoqtnxp
cAT,0.208,iygzqvzzmm,0.374
tnlwpdhest,okwsfknigl,-0.317,0.2835
-0.174,gibdyemzwr,tcbfxqkzqn,-476
-749,-788,aqeqthzjeg,-736
-0.2125,dOg,bebxzwjbau,-158
dOg,sintutrmrb,-0.0655,0.2245
mklzfoggac,DOG,262,-453
-140,0.236,-0.1345,ymzbymxaue
0.3705,0.475,0.49,-0.3355
0.2825,nobdnuapre,0.0345,220
dOG,686,-0.264,-347
-680,DoG,-0.168,-0.4995
lsfkelaaji,dlojkszprv,0.081,seeydznmhy
393,ntkydhhihd,0.24,-0.3555
0.4125,CaT,ummbsxqgpk,vagxavvdph
