ztsxuhmnrn,qrcpoxnbyv,uywpoghdxk
174,occwllcuju,-0.145
267,emuhqqasnq,-830
brxufezugj,lppkyazyow,156
cat,qqbmkzuams,303
-412,-0.492,658
otlkijlddk,xuwdqmfywb,0.402
sqwccujvaf,608,0.275
tqwiiqlxwz,cat,0.1175
cAt,-271,erwpjognea
329,291,0.118
611,-775,0.17
-942,0.3145,dog
-0.4755,dog,snulzdklcj
-173,mhtozuxghe,cAT
48,ahndklbdbv,895
-0.4715,0.1875,-0.1975
brjsibdjtp,uambzkcvxr,gxmecxcsfn
0.342,-405,CAT
DOG,DOg,0.2555
-0.0165,xqngubfxva,-803
CAT,DOG,ohjxmctvrj
cat,0.0015,0.008
-0.3,xlqlmyitrw,0.2485
0.3135,kfmltgieqh,0.3765
Dog,ezeejugrra,0.1795
lskqroznez,0.343,-0.3675
-51,915,-791
0.427,0.4105,-0.4085
540,-0.386,caT
cAT,zobtqxpvwg,-0.1535
minikjlipg,DOg,0.0305
nipxiquhgo,snjzvitjlb,12
doG,CAT,0.0965
hogdtcwosa,gcyaoodyns,-0.137
cAt,tbvfqwjunq,-0.059
282,ckovrrnhro,790
qjrrazjokt,144,-699
-826,-341,-777
CAt,hyboocwiqf,ogfxoriyap
jmcgbpaayt,0.2435,mhispebepi
0.168,DOG,Cat
933,-835,309
kueddyymkv,jqstoyzxac,-0.132
190,0.2395,-0.408
mvcdphtagg,791,xwoweyldqg
647,131,pkxxkplglm
CAT,kwjgkkiskp,-38
ovbgplibqz,0.2135,-168
-724,-490,igynkevgyc
0.4285,-188,-637
htnxaakfwb,kqirqstyqe,0.0325
dOG,hlhkvmedkq,dOG
dog,akxkszxriu,-0.272
dOg,Cat,CAt
998,0.1735,ooyhtrnknr
dog,lyynqgkseg,slxynpqddg
348,DOg,fqutprdbzc
Dog,wmdpiqfwlc,DOG
883,ppdjdkshxa,-64
0.4035,-333,Cat
Cat,Dog,kdulrdqouo
czqzltgzlg,mjkiahplhk,0.44
cckvawufyf,-954,qxdmrempuo
