fumbohrliz,sceihxlknr,PET
fhpmxvittr,-0.4405,CAt
cat,718,cat
yuszlnthar,114,dog
-0.2935,914,CaT
-0.056,0.0785,CAT
0.452,cgaecoewsh,cat
-175,-0.308,cAt
-0.1435,-943,CAt
CAT,-0.47,DOG
Cat,0.135,DOG
caT,0.218,doG
tyhlmlhdzb,iulirgdfqq,CAT
-0.108,-600,DOG
cpyzeoglfo,-599,cAT
-514,589,dOg
-164,xqpklhcyyg,Dog
-0.0565,0.499,CAt
yczyqossyx,973,cAt
CAT,-0.2195,caT
0.1005,DOg,0.102
750,cdjktosuvd,CAt
dog,-0.005,ywixyjsguh
0.0145,-0.052,wnqxohtewm
0.33,cAT,caT
tptymeveof,cAT,CaT
srypmalzfb,dOG,CAt
570,CaT,DoG
iciglypiae,DOG,doG
wyibbtcowg,dog,cAT
109,-0.074,DOg
ecbbliyndj,DOG,dOG
gvcwoiofvb,0.3045,cat
0.133,-0.1185,dOG
-770,vyxlhnmtxc,199
200,-0.447,doG
Dog,xwylrsonsf,CAT
-0.4945,-0.136,CaT
-156,800,zdrlfgtgmc
0.166,vlvvjjudmf,cat
628,ajeyakhuxh,cAt
459,352,cat
932,epehjbcewg,doG
ecbfsvxqmx,dhpsorkvgt,doG
ywgmeruncv,DoG,dOg
470,DOG,DOg
Dog,-0.3545,Dog
530,CaT,dOG
yschpcxnmt,-0.2965,cAt
690,Dog,0.0135
gcciouqwgy,doG,-0.477
0.4995,DoG,Dog
acsgzvtyds,651,DOg
-181,jeyqtudlzu,Dog
doG,-168,dog
-755,cat,-0.3925
-989,370,Cat
362,-0.096,DOg
yrsnjeqxbh,delqabjseh,dog
arqbwzmigh,ixgmrntjsl,CAT
-0.198,982,cat
164,73,DOG
480,-0.3885,DOg
qdarbczpbm,807,doG
DOg,-582,cAT
0.1145,703,dog
Dog,xsbpyyfmxm,dOG
-552,lxhrdlzgmi,107
0.1205,-318,Cat
-334,0.267,cat
nqkipthqee,kbwauasbzl,DOG
-0.4795,DOG,dog
14,10,0.364
ygsmyltmtb,wuggvzlkti,dOG
0.3075,ykvhlkybvv,DoG
zsytxmfmsd,doG,dog
pdouoyinzq,psvsglimxk,fkeoicgmta
