gtjmkddgjc,jiqhioilvi,ilcaobimkh,pet,ykmsvqtlld,hizlhrjiqu,rlyhifosdv
-469,0.126,0.4,rajlzmkpfb,858,ztyeoroafi,jcbzorilah
cAT,qmazqqecoa,-223,cat,806,-0.46,0.17
mqxfengupk,410,xetdgjcfbx,Dog,0.3655,ftxhueowvd,dOG
CaT,-389,-0.04,DOg,0.2385,DoG,-0.169
oaqjepimww,207,-230,cAT,CAT,elghywlvcu,doG
-0.1475,vvikpsmxpz,-901,DOG,-441,cAt,ajhklzuzsu
feczqxoqzj,cAT,-0.1955,-0.046,vojnbptfiy,-0.1085,919
-0.326,-482,-47,CAT,559,678,0.1035
0.1795,801,765,CAT,0.363,-0.1585,wunzvvfjik
dhdnlgwyxp,0.359,-985,-0.0395,-698,-0.269,644
kpczcticrz,116,CaT,CAt,0.1565,ueutvumdfk,-142
zfsesawxro,-173,-0.3085,ytzwkgvbhw,mizfklpgfk,pkrpiscfjh,675
DOg,-397,eadjsnrlzd,CaT,shrjeyvjwb,770,dOg
idkaqrfyfu,0.4715,-0.3315,0.0025,0.071,ttakoruetl,CaT
kekhmpepnv,prdktwlybo,neauxjyfdl,DOg,nippnvqrcq,ljasgtcnwr,-237
-591,0.3565,icapixjooc,dOG,71,whskurfahd,640
0.0225,DOG,auanyvqncs,DOG,Dog,eybupzxtmz,-304
DOg,-0.387,gvognapbvc,-0.36,lkpbiqyach,-54,-65
cat,992,cAT,Cat,0.144,akazvatimn,DOG
ltmzxelirz,-434,fczceprrua,436,0.3365,978,vmxlajfvaj
-261,-217,CAt,CAT,-0.491,cat,Dog
-0.1705,-540,-0.3325,dOg,-42,0.4085,-714
-408,oqwdfiavrh,-369,dOg,zdczvlezim,-289,caT
dcmyoxrfis,htiizvvxry,8,Dog,-0.355,dbcjtsryqv,doG
-699,-989,144,870,0.4275,-235,-0.4155
zxwotarzer,580,0.355,0.178,0.117,looxoavkot,-691
-748,-0.2755,391,CAT,-393,428,0.155
CAT,zgmnvhwcux,0.0455,doG,-808,trdzcogmax,duybnigmdl
lkkklhqrfk,0.3515,-434,cAT,196,-0.326,cpdeebpege
-244,-683,496,iuqfvgknue,-700,563,hojqszaskc
btoopuxoko,ndopkxhols,ingmyuajbn,mqvcjbohzc,-888,0.273,0.2505
hggqarcnwy,0.0955,570,0.1645,vqbjvytysm,37,0.153
ovyrkwiawz,bvxgaudkft,355,Cat,-0.1855,tzyhiakyai,dOG
363,0.4475,-0.3165,CAT,-14,378,-0.162
-0.1805,347,DOG,chucmwkizd,-0.41,ezmyoyfrgv,dOg
944,pzqsphjodl,hkiyeyxsli,CaT,-257,Cat,-925
0.3225,hjnlqtcbrq,0.299,CaT,452,54,0.41
0.489,-708,DOG,dOG,dzniorjjqz,cAt,hxsxuzzluj
vefzyefpah,-0.452,-343,doG,dhlxndogcq,-0.2575,0.3665
ljqrmurcso,0.4145,cgzbpaxiwa,CAt,-0.334,CAt,-451
-0.404,0.2655,caT,-0.2575,-0.4805,0.268,cAT
tdabkxxdez,0.408,lkynvhxmyb,dOg,eoawhmpthg,rdhujoxqqm,zrnnulygzy
dog,0.199,0.3565,cat,-311,dgowkctuan,0.378
-0.4715,CAT,808,dog,gtyezglrpg,-0.444,0.1765
CaT,143,mophbjxzhb,-363,lvzjmpvctu,ozgvzlrmsi,-877
-0.258,-133,-0.368,caT,-980,902,-498
931,caT,dOG,dOg,dOG,0.4985,171
-0.104,cAt,zdbowvpxfo,Cat,Cat,245,cAT
865,0.2495,433,DoG,cat,Dog,-0.404
qejeurxfab,taqtffdnmq,-0.259,DOG,Dog,-0.089,ooecrttvdg
-278,782,hhrzpmppsv,cAt,155,Cat,-729
-0.0895,lhtcrwbjqb,-565,-334,fcxikosnud,0.456,504
kvmxdwqvio,-0.2415,-0.256,DOg,rdtljvudeh,flsyqjpwko,bkgzksvvgj
CAT,rcoxaazvzk,0.2835,DOG,lovxdjowrf,CAt,-566
cAt,-0.1755,uflqkjiefn,CaT,doG,DOG,836
jsssexikdm,383,doisdnhfgm,lmputrfccu,0.4035,cat,-0.241
