pET,siiqqorosn,brsqgptesh
0.296,bgbrygrvpx,-930
Cat,-0.14,CAT
dog,0.0995,-503
dOg,0.13,0.0445
0.1425,cAT,-434
cAT,-0.0335,208
-0.1535,DOG,0.3535
653,mjahyyjbdd,0.0615
DoG,-880,0.1765
ctapdtlxov,Cat,-98
-842,hpxbzcppqc,lhtwxgmgyn
dOg,38,caT
xrdicifzoe,dOg,0.3275
Dog,-676,-925
doG,180,dOg
0.206,484,-0.2975
cAT,0.1015,Cat
cat,CaT,0.387
caT,dog,DOg
pdplxuqdyx,-675,-982
DOG,dOG,hmetiddzlm
dOg,696,rmaygeewjx
Dog,-275,qoanfbcfpi
DOG,mrleagoyyd,jziqziqvfm
dOg,cAt,-508
0.3375,0.2005,0.3015
DOG,CaT,brygnymrzz
