qhvwoxupke,kbjrcdbvhh,izkbkgwazd,gyrknuynkd,ekjkxijghx,iwebuouasr,rfkujequhv
-0.341,0.4115,-0.413,uyssmmgwau,-0.4,0.2895,633
-192,967,hzvaksiqem,233,dOG,-0.453,0.198
hevpebptzk,cibyptkstp,-32,-85,915,-526,caT
irgogmcmlt,646,-0.428,-398,170,xumbwanwjv,cat
0.031,171,vvlfxprjsf,nqickejopm,jmofxjjdxi,895,qquqadujns
wwqequoigz,-0.2375,847,-0.365,uragiybhev,DoG,Cat
koboqjkinw,CAT,-679,hinvjwrfjn,hszegdihca,cvkhokjfcp,CAT
956,okbbprrskw,0.0465,odlguluiav,CAT,0.2195,ouutqvcyfc
-0.1615,-910,0.3215,488,czntlsyxjn,CAt,qaohvgbjkb
-925,956,CaT,azrwbgdyvt,0.147,0.349,-922
doG,-442,-0.2745,0.306,0.1155,qmwnntmklm,179
691,-154,92,cat,68,-0.388,xuajgyecrm
-0.0795,DoG,468,Cat,DoG,-0.0325,cAT
muwsieotmd,0.439,caijoipgpu,153,-0.337,CaT,-0.3725
mpzdqhkutb,CAT,-357,5,hzpgjaiyko,-925,0.4955
uivxumipfw,0.474,-939,-654,0.4635,-0.152,-112
wnmzletinn,0.481,-974,0.1415,-997,mgzgftcipn,-844
0.326,0.2315,357,cat,-0.0695,CAt,ptfxyudvjh
coewqkslln,Dog,0.2635,pazowzjltk,dhbcryipxu,orlmwcfcmi,-0.205
-22,-807,cAT,-0.1475,674,144,utbekbfwtq
-900,600,dog,-0.297,rwhtkmikcq,0.4985,dOG
0.2065,ccrswtbfer,CAt,557,-0.366,iiyvtoidxj,zuwctzmlfj
-985,-0.422,-0.264,-0.1595,0.318,CaT,-212
CAt,DOG,-0.0905,-182,0.2125,doG,Cat
knfwfoukby,sqyhldrgdv,hpnrhumbxa,0.4425,DOg,cpbrquvoqh,doG
aaqysdocuy,DoG,829,dxqehpqfac,aixeycpyde,CaT,0.4465
971,ztmgglqkfa,871,caT,dOg,-0.2205,0.3375
vaatooadcp,CAT,ropizcjwww,oxlktnbujs,-681,587,0.207
-0.3705,ysmwzhqciz,-0.397,mszcchawvn,898,-0.023,-0.088
-0.002,-0.222,-0.184,-876,-743,xewpzkuhat,qiyqjgvafn
-962,0.151,0.306,-359,ghfcrkixei,-468,0.3105
-506,cAT,0.3315,-0.007,cAT,-498,dOG
qtghyazvyt,0.372,0.4775,-0.3865,jwwkopgmqt,-0.3395,xmhmctqabi
183,sirxeoolnj,cAt,jtdnkyufhi,ahtigibdsv,-257,-0.2655
-0.334,0.3395,0.154,-808,pqaojgmtbp,CAT,iwgcbpiycr
Dog,tkkcigmiqc,-148,-820,vjkkawqgny,-0.3785,nwpwlwvcet
CAt,CAt,-294,0.0215,DOg,0.4195,cnumqgkyzv
707,argfxwvwkk,cAT,cAt,0.09,324,-581
110,-0.333,dbexfgrwkk,uxptakwajo,-0.065,gtfaenxpgf,dOg
nyssnupzrr,266,-817,-0.1035,dOg,0.176,766
642,zvnrxmnaet,0.3825,-0.0955,0.371,-0.2405,-189
-0.376,-321,0.199,DoG,154,CAt,-171
-0.452,-364,542,psscgwzwof,nqnpcgtdub,-448,wpjhmevbiq
bufhmhfjrm,-0.35,-0.002,-0.066,0.306,-585,-497
0.155,DoG,0.4225,0.4755,hjwxahpnbl,CAt,0.2845
0.2225,-0.3675,bihkladuoh,0.4765,-623,386,0.3935
fubdsirgtx,fqzlsgwyjb,Cat,wiwhxxifdd,-0.1315,-190,tyrhkkzned
-563,-0.341,-66,hgndbotuow,rtahhfrfvo,dOG,-0.316
-55,0.331,0.04,cAT,mldwlsghhn,flkrvtgrvr,0.2795
-0.2245,-0.3005,eeafncxsyz,cpwslmtnwl,0.3845,-0.2625,CAt
-173,lkafmokhzg,doG,gnigzxguec,qykwsvmdvz,cat,-0.124
qhrbrfagfl,CaT,-910,uhwrdbxwuk,ozrrctortw,0.079,-0.2545
DOG,umwagvouka,0.315,-0.257,dymnlppkrc,398,-0.3335
ihmwwkueyk,olbqpodqkl,0.4315,ejaasuyohi,285,umtsqtxwuh,dOG
Cat,-0.4815,-644,0.0875,289,-170,-696
