zwrwnpfjkb,ydnksqyhst,PeT,dshkutqvrx,lkzgmharfe,vgxnmvrcsz
xropuxdwnt,744,DOG,CAT,-0.25,-0.4795
741,-0.43,Cat,-0.044,krwriwczws,zoxvrcparn
tklsbasttg,dOG,DoG,dxwoqnnnbt,cAT,dpmambmcnf
dog,nyufgyuxaf,dOg,bfypkllmxq,725,dog
-0.3225,385,vtwsmlcazu,-991,oxpfvpscss,242
ulepqapdaf,-0.0805,dOG,0.173,470,dOG
DOG,0.499,dog,-981,0.441,-609
abpmubxptu,604,0.1655,300,346,0.2165
-0.4625,mzjsrhlmga,zusggyhogt,-0.16,0.493,ihgvibsiyy
rbieyusole,lebfawmhbs,hmhpeqkcey,0.2525,0.36,-471
-0.167,231,CaT,Cat,0.04,yspboxlsjk
afrymtrvks,jofaguwjaw,Cat,avcrdmsrbj,-0.45,nvzsvgspsa
cat,-236,jdfuzlpiny,dOg,-519,ontwlwuhcb
-202,tbtahossfu,cAt,-0.357,-856,0.364
bcmrisihyj,396,Cat,qwfbyqxyed,-258,doG
ujockqbxez,DOg,pqcywwwovd,-82,uiodbkdlll,0.1595
-0.073,301,DOG,-919,-979,rbmiyfyqaw
0.2085,hfkdvprhov,caT,cAT,yvycklbsof,qiwyhxknhh
qrjpnixpkj,0.35,dgxydxoysg,0.234,aowxzfddrt,sxnswmukqk
813,640,ftkykuuovv,0.0615,bshormuwyf,0.0205
pdzpfikxco,qtebhcqnep,cygdjwtgwx,cAT,-960,zufjbefiai
505,0.414,343,-0.027,-0.412,tznlhrqpya
891,kbchvkmsux,zlilknqzlb,blleqbkkcr,677,rkormomxqa
-0.355,dOg,DOG,cat,-0.2695,cybvtsqbyj
-0.162,0.1245,CAT,dog,cat,-426
-8,zwxrstlgfb,caT,bnwpzkuocj,caitejgfuy,-465
-0.1465,-0.498,682,cAT,-481,dppulgbbia
57,598,-0.417,CaT,0.2105,864
dOg,-63,cAT,960,-911,-902
-0.351,-0.1325,-0.4055,-0.443,47,-736
0.156,dlmagufgtp,dog,-0.383,-403,rdfsfjvrkm
448,-0.349,DOG,CaT,-0.2135,-0.057
DoG,0.307,DOG,jhywjllsfc,0.1635,-0.233
mipbxuoapd,CaT,0.3275,0.0675,-0.226,474
-0.349,-0.0545,DOG,0.4605,459,ifdegquujf
teftunckkb,0.142,CAT,DoG,wemihqffgb,-627
0.1275,-380,CAt,722,0.1755,Dog
-481,zvhllrniui,846,0.4,0.4175,0.138
wvhuyjuawi,491,dOg,wchorheaio,CAT,lwvvkxhkjb
dog,874,0.0965,-0.3105,248,tpofrirwcn
0.236,ibpwpwroja,dog,DOg,mfyuiggmzh,obkwibkpwt
pfgchgqlnd,lvmhtvdjzf,lnfotxnlyk,-195,-0.1585,71
doG,-0.47,-317,oudrnhwtpf,0.296,-0.0375
-0.339,kbhnvomnpa,Cat,0.279,-0.4615,doG
-0.1485,rtvhzxbwuq,DOG,doG,762,-0.078
0.308,vcobpuxtlz,dog,0.4335,0.2355,51
DOG,tonqbjwfqq,doG,0.4975,0.2595,-0.437
admzkijdpl,kxfarjdrwr,doG,eytwrnexmx,dog,-0.0665
oyqtzwcogh,906,125,fcsgtnbzxw,-0.1275,0.338
DoG,99,936,0.2915,-0.233,0.0295
-0.32,962,CAt,lylnfpaftb,dOG,aehhyolclf
573,ixkjpvsped,Cat,226,-0.186,715
-816,gcumeldcxu,Dog,hglckyacxw,-0.236,0.371
cAT,Dog,cAT,0.446,-0.389,688
-929,-245,mbamvxgvmi,updvduxiuu,dog,0.0945
apfgbwwlog,olajgpobjq,0.4015,iiqxkffxfk,435,wghwxtkstk
spsuvsfbcv,-0.3755,iehhwbelzm,-815,xnfobvlqjj,paganhuwbz
-0.077,gwwjmdcxxu,dOg,doG,-0.344,650
-352,100,caT,bjailonaim,cat,cAt
0.2325,dOg,dog,-0.268,okpgdxpjyw,jhldwjjjge
Dog,udzlrtqonf,CAT,Cat,802,0.089
fuhavkvyjk,201,cAt,-223,cat,-547
0.4855,jggwbwblow,cisqpprope,-0.233,-0.375,-845
wbjnhqpypc,anopxckxao,Dog,Dog,kzabowdbjq,domqetkhxt
lonzpinoil,-523,doG,-171,-0.0635,DOG
goctsbyuti,pdnaiqajzn,dOG,-0.4545,-102,654
-918,-0.3615,DOG,0.0365,cat,-0.2215
-823,dOg,dog,841,0.222,0.198
DoG,-0.1905,DOG,0.288,494,-364
0.223,DoG,CaT,-963,ikcspvrqhj,DoG
kcoypywbta,hysuaqappz,DOG,-355,0.433,-0.24
669,mwcsswxjve,CAT,-0.3835,270,-0.012
doG,qchpdbcvnx,hqxcersudg,yyltyettzz,-0.3545,dog
rsluzqskfr,0.261,Cat,-0.086,-961,Cat
mpgbsqcpyr,48,cAT,stlehfihyj,dOg,yurrrzdgou
