vzxzxifzxm,svrvkjcorh,dqwtcavrum,hfemngtflm,gulgsojiqf,PEt
67,-0.178,-24,CaT,pyxpngyjbl,dog
767,-0.3365,-0.454,-455,580,0.006
CaT,nzpinekgso,zanxajjixs,-134,xnrxpjkijo,Dog
DOG,0.2915,dog,-0.358,0.418,doG
-13,asrsriwekw,-0.447,cAT,DoG,DoG
vtbzqcrpim,-0.425,dog,DOg,192,0.269
-739,0.1325,-782,0.198,CaT,DOG
cnsfdggtck,CAt,-0.0985,-215,0.3335,cat
10,-456,-0.1125,231,caT,cAt
919,-0.194,-0.3275,0.0085,CAt,DoG
pfwpsmoexs,-0.1445,cat,315,780,cAt
caT,0.432,dog,vncduzfmwj,-705,caT
211,385,89,zcwhmghxqb,knnsseynvk,-502
0.0015,-0.191,414,0.4655,-0.2555,916
lagtxzfpjk,107,973,CAt,doG,DOg
0.1355,0.4205,Cat,0.3795,dOG,Dog
ecdxpkylnq,apjptdnays,920,-0.0125,159,cAT
-440,866,CaT,225,albijiekxi,CAT
gwpgtwnqpt,kgxglkxcvv,-489,426,ptbrlvkmou,-443
tupvghbsvf,0.374,lawxgrlelh,0.0735,617,Dog
sugdoknyek,0.2265,Dog,0.0805,0.4135,441
0.414,kwllsxxwna,-0.175,-0.2325,0.3635,-0.3615
289,bcekzgtvcd,271,-705,-0.4085,dOG
-563,dOg,0.299,bimmlpcdsw,-679,CAT
dOg,hirbchtzgg,-68,469,-566,0.101
-639,-373,CAt,dOG,dOG,-0.1745
DoG,peonpfqkpb,867,-162,0.061,cAt
DoG,kivnmdxagb,750,fxrwosibae,236,cAt
qtbygryrfs,-0.4475,876,cAt,CAt,caT
xcbawofdje,-0.3425,0.44,0.4215,ncikyiabcm,gazudmruod
-736,tqdvzfmujz,0.0865,-0.2545,cAt,dOG
Dog,0.3575,918,bvkahbfemm,wowqpwkujc,DOG
644,dOG,-0.0615,0.4785,-361,Dog
dog,-0.091,-580,ivcfnyezsi,-805,DOG
omizlpywan,-0.178,-0.0465,-0.141,402,cAt
ujrxvrersc,iaixiuwaij,0.043,878,CaT,dog
-0.4,480,onvutggmyd,-645,hsxeeijlfi,DOg
0.215,837,-0.377,Cat,52,-0.2055
-0.409,-0.246,0.3815,caT,cAT,dOg
hyvncinsve,DoG,dOg,571,468,DOg
-465,433,cat,rjringusdg,hifaafpqkz,DOG
-0.029,zfkuoiqmab,0.2405,mptsmyiibz,aqhknmoxhi,CAt
gffqsaeaer,15,-449,0.165,-559,DoG
bbfdnoicwm,-207,-0.202,kkvgdlmctr,xezfhmknls,DOG
caT,haydhvecqf,0.1085,hfufbnthxb,-587,CAT
-0.181,qnkprfvgro,134,-0.004,DOG,-825
-453,0.236,-885,CAT,updtimjoyy,DOg
129,0.481,-709,Cat,-85,cat
923,dOg,0.08,470,nrvmqfombj,DOG
CAt,-0.4505,-0.1485,izmahuhvgg,dog,doG
CaT,cvwlogjpdg,CAT,jdokheqkjd,cat,DOg
-0.3645,-0.222,-686,-274,CAt,CAt
doG,caT,qifcdgjizx,-344,cdwfibszls,CaT
0.068,nczyyiqbmd,-0.2315,-3,0.3615,cat
-0.075,-331,-0.018,txpbzupvlu,-543,cat
userhpzmtg,-656,aihqwcygag,cAT,doG,Cat
Dog,svhgspflsh,0.397,-120,qthgndjgsu,dOG
sjmsdxlpmw,CaT,-991,-438,DoG,696
-0.007,Cat,57,-719,-198,CAT
478,-424,kssxuoumoy,260,swcmgqygab,dOg
dicdxwfdua,rldniuyyik,ykjlbxcmug,ktmgqlyrjv,-926,doG
-285,726,-0.3975,hmzathkrxz,cAT,DOG
636,hhaopctfvt,hskpymmcbt,CaT,uyqfigencg,DoG
juxlnwwyxm,-0.2545,nssginlcav,-0.302,kuuaviwzwk,DOg
0.156,-0.249,Dog,urybqznjdp,dtvfegmjqi,Dog
-0.2135,0.4755,qbkyvqgsdg,CAt,0.055,Cat
0.235,0.0315,kpohzqablm,cAt,-0.0935,CAT
