jinqzuglqm,wjopcjnovi,bayszzdaum,gqogafirzh,gbyuhpaluk,bobbaenuyk
0.0835,499,oehnlhrmyf,989,-0.287,271
Cat,cAT,0.1625,-417,ncjeamaaov,CaT
sgzylqwjsv,xmarzzpqgx,0.2185,kajhvxioee,pynbkxnlry,dOg
-961,Dog,dog,caT,kugnraknzz,qmxocpronk
rpdvknwfdy,0.2425,-321,vieupwqaig,-413,fnmwexcklt
-170,wdwgkpiltj,0.1585,cAT,zatyksrbmh,eloveiggwj
-0.085,rmxyodvxzm,caT,831,-0.0075,ecndnotueb
11,-557,ppcrfzybna,dykinnldkx,hdowdvbaia,40
0.438,ropsjwediv,-883,0.0265,112,DoG
doG,CaT,dqeuolkmai,-312,ovgntmocqb,tzlucdlkuf
0.241,caT,0.315,ieqcqqtqfq,Cat,hoekbdnjlm
0.451,-771,0.136,691,zbxpwfzhyp,symukqxewo
-0.337,146,0.3245,-367,0.048,566
-497,ompddhkbvs,mxrdorongs,-255,piinwdcsve,dOg
0.158,-546,gqvoakiecl,mrstguxxjo,160,979
-0.2975,ispperibwk,yhokyoqxqx,-377,cat,-805
-0.252,uedhkpbmti,-581,DOg,-173,-0.141
967,Cat,cAt,0.3405,jjvjxhotvg,812
CAT,tjjbmzumhv,-0.229,Cat,caT,924
doG,811,706,cat,-0.077,sugvcihbuy
CAT,618,597,otoqsvjonh,148,-0.3825
0.4845,dOg,DoG,tgfbktzimz,804,cAT
-0.0315,jdkjihhozy,0.145,-0.2205,-0.15,rznqyhmjzo
Cat,jjiuvbbkut,CAt,wxlozrdkfq,-295,CaT
0.132,-386,ryhwpxpghx,qnewodkfgz,jzzpmbzmlq,-474
898,Dog,cat,dOg,doG,0.3165
452,CAT,127,-0.3575,Cat,228
0.318,77,0.3505,299,0.464,43
qvbemxizqk,-498,dbrmzesayt,0.2595,uwmvhkkypg,319
wcwhdhjbdg,-0.0945,dhqgltvswu,927,dog,vegggtmltb
-729,-0.2315,fmtvkmktgi,gwyhtqxkma,0.3895,-0.491
0.1535,508,777,uifnsumxjk,-382,-0.349
-0.225,idugmuachg,DOG,mfnauowobf,nguiqehmel,925
myhggyyiyk,iijjrobwik,yjfyqmehlx,-814,ubeeqadamt,Dog
gxahxgdzdp,caT,0.492,cat,dOG,-0.4175
poomqvlfzg,933,445,-636,-0.2115,ifgwlfemcm
bffjhnastt,DOG,-337,0.184,-968,-552
0.408,fjxsxjmkpe,-0.125,-0.4805,0.3565,850
-0.312,raeezbrbae,hhjodoxioo,-0.091,gwxwgujmft,pigzznxlyb
vhawbdldng,-0.457,0.3375,-0.0485,caT,-0.0075
kljanimczg,xzsuppwvcv,dOg,0.429,xgcrufzgea,-61
-956,0.097,-0.0035,992,cAT,tshwhyroqw
-867,Cat,-989,0.4405,anowagnuxg,0.44
-149,vfbwaceyls,htojgjaemo,fgipcqreaj,0.436,caT
0.028,0.0035,CaT,jmaptmuknm,ryshqcutvj,inuwrsdiii
0.448,ffasabzphu,-212,CAt,caT,hkuhprihkx
944,0.1345,mmssvhcquf,640,0.0325,mfodpjmsae
-0.016,anfcddtalz,0.0615,-0.3115,500,twdqicdldf
dOg,DoG,0.4285,dOG,afvoeiozpf,32
-0.0315,0.2935,pwhyfklamn,hkkcksfkhe,ecmawsaocf,cat
DOG,-0.312,0.4065,CAT,zxoenccbpy,0.4795
doG,0.026,0.256,-25,-441,0.423
-287,-209,642,0.084,-0.1055,321
dog,icxnpjxwrj,obzlvwxfff,jwnsmgxnjg,522,-268
-769,-0.255,0.019,dOG,-0.4795,hpuanukjyd
-0.275,869,elalxgcfhc,yoajinkmeb,177,kbqxtqlych
-143,uakbgvasjj,-0.438,0.338,doG,ftthfsgsxn
fmdynqpbkj,-547,-0.3,fojoihilsy,uywdkxpiyh,CaT
770,793,564,221,cat,cat
-670,0.043,fuscxnbdyl,vhkohrxfcm,276,-0.2095
-0.013,qthvvretni,0.2465,-100,npbvazjxax,885
-0.019,855,228,-0.2885,0.022,0.1575
0.168,caT,546,-0.051,ehpaxjvkyu,0.029
CAt,sfdrszquwb,-732,-210,-266,262
-0.091,labreiwyfo,ykyyhgkvds,-658,0.4045,tleufretxw
409,475,-961,CAT,puevgwpyxk,963
crucmxagve,669,htuxsregco,-0.077,yxuqntbbeh,-0.051
0.4645,762,btxiqiqzux,-18,0.2555,DoG
-0.2405,eqezdgjtot,myampkbopi,-341,CaT,azeycacfkb
zrhzuhqith,kncafvdqgx,445,487,0.1175,yqowasentl
0.371,-290,-482,xlfiirrzmf,bghmhsskhb,-369
DoG,149,cat,-214,xuguytpwke,-26
4,lphcjukyja,-112,ovhvbsidnk,-769,kihpisivsm
0.024,929,-613,431,Cat,0.381
jrgrkjevgk,-0.45,583,CAt,cmncdkmoom,pqttdtrhah
fhtngadcol,429,cAT,kaahesavvg,dOg,uelrkltyma
kjczipxqbz,tqliesrcxb,wgykbagvvw,gzzyxniwlb,-985,Cat
rwineultpv,isomedoixa,-222,lsfuiiprly,llxivtggwq,0.0055
itlktbdrnu,cAt,0.0435,227,-0.1575,-0.0835
-980,vcipcukdgj,-0.3185,-0.369,dog,cohojbtokm
-68,cAT,avcuxeyxjl,0.2925,0.1785,-0.0845
sxgwyvirwb,-75,0.071,-0.233,0.3,eumixoqiwd
bsdurwxcpa,0.1445,dog,314,0.141,389
0.376,eiqypuybia,hbqpybgtwb,-248,719,kkvdyiqnvc
xgdauizmnd,0.1985,dOg,884,Dog,0.471
akgwsecprk,DoG,935,-694,DoG,DOG
