PET,cnkisqwjim,faeendanxy
0.234,lhtixvgdmk,tnmfyqspkn
-0.2405,gynsyxaumg,0.2055
CAT,DOG,gmpxncyomz
doG,hkndyxzbym,mcoffnksxm
dOG,0.0575,0.2665
0.3145,DoG,564
CAt,lwacdaxytt,-0.0605
doG,iswodioice,-0.44
CaT,-0.188,-0.383
Cat,-0.1275,tsnnbyddva
-0.2785,-0.3235,-0.136
DOg,dOG,-0.4155
DOG,-250,-710
Cat,462,868
Dog,-283,-0.1905
-439,492,0.253
154,-0.1175,CaT
spzrltlsed,0.0005,-81
caT,tjpzdlffca,DOg
CAt,0.1265,dog
dog,0.4155,-0.327
CAT,-0.469,-552
CAT,cat,fecqljiflw
cat,-747,missfdhdqh
CAT,-978,-387
cat,396,891
DoG,699,-821
doG,lgjfdeutof,394
sdltoqohzr,etkazxbrkd,768
cAt,425,-0.372
dog,wquzcimzwu,Dog
DOG,vmrtjrwzuq,lbsksibmxh
Dog,mktqdvwvox,0.3285
CaT,0.082,CaT
CaT,iflcjevtkg,DOg
DOg,lwikfdhfqn,dog
Cat,242,0.368
doG,438,drsnphktih
hqjlsepfdp,ycpnowhkes,kqkwoihqwg
cat,DoG,jtoquhfvtc
CaT,0.496,-338
dOg,aoltqxfefw,fwgkvgmihx
caT,haslvfbaxg,wlivqbeevh
-657,-0.3345,doG
cAT,lkthcqiton,lnzpycjzvq
pvwivrtdca,DOg,efpoutxkjy
caT,0.182,-867
-611,298,-0.137
-960,wtsunjnhxr,ayovamqplo
dOg,310,55
