etaslfhjnb,gvnedzrgrh,ewdlxtwvzf,qritzrggad
CAT,583,-428,tclopvveho
cat,plqdpzbhia,707,0.3705
-0.1275,kcnjouaony,widqjtysqg,wsiryiyzpk
cbpxbodijo,-215,Dog,306
Cat,934,-0.359,0.3695
0.0805,skywemogwm,-191,0.3335
630,cAT,mixljtlwxp,0.4915
yfttgvnloo,-0.3385,cogyigmfkl,0.1595
-0.115,344,-0.199,202
rlzxxpzxtf,-0.366,-591,0.4405
0.2675,cvydzylqoz,-163,0.4565
-481,dwvmtnlkuo,552,958
59,DOg,401,xshavcbgsn
0.1615,-0.2275,867,qokhhidmeo
xemmdaahlm,cat,DOG,-374
0.1035,0.0355,ozhsnzjjuz,162
0.099,ihdtigjcbx,cAT,675
CAT,doG,0.2235,DoG
540,0.4155,-0.3135,0.015
hswkqhvgqq,-255,-193,-874
459,361,0.3885,CAt
146,rjroznqdcr,0.199,0.246
-68,oyszvvdvmm,-944,bsonveqnuo
