shrqwsduub,zqbtqywtpl,fxteoseodb,uayuokdpwz,usjggdwgnd
-35,cAT,-0.1125,0.1095,933
xkatufgbxs,0.1335,cAt,-180,-0.2085
-955,-0.2445,0.082,631,-0.049
764,576,cAt,yshawfzsbb,ynqwffqkic
DOG,0.1315,ztskxvjwyn,miqxbjeycc,CAt
-0.1645,-0.0455,gtfswlfcbm,dOg,-207
DOG,0.1215,Dog,dOG,52
-573,941,-462,DOg,-0.043
nbhoaerflr,-0.111,doG,epwqwefjpg,wyuovsqtop
-814,dcfancqdxi,736,DOg,Dog
dOG,-197,ihkqijcbty,-0.396,-0.046
Dog,-0.11,0.488,-358,0.308
0.099,Cat,cAt,nzydyjwcga,-994
ivawilevyk,qylannasiz,1,738,CAT
xaeyovbgrn,0.2985,wxiuaphavs,cyzhnnpiah,0.484
dOG,wshiaasjtk,-0.067,iiqtjnrqvx,0.3205
-0.487,mckqrgoclm,kpgptcqrgt,cAt,0.278
doG,-0.346,-256,-67,-0.36
0.339,dOG,nkphyryrjs,vgergykryi,-46
474,598,gwalaloydw,rsbrhxwfgl,0.235
-0.378,fdcugvomab,soxemrlddz,125,-545
pxgrpibxfa,-0.4715,0.21,-164,310
0.4785,0.332,-285,Cat,0.315
0.4845,0.076,ozseetlxoo,-39,bdkrravayw
tzbcxzhgvi,-870,280,-912,cykjjalokh
0.2315,skzhaqhwvk,vjilhjgxbf,258,prskwcyjnj
DOG,-205,dOG,0.391,0.4875
dOG,-881,-0.4715,-0.3655,exfiduzpnx
208,-78,-0.077,-0.2415,fwkevyflua
lceytmelpg,-0.085,pbunorzwhv,eevcmiacmb,xiihxyrcrd
CaT,0.026,Cat,545,doG
0.09,zdgrgxfbrp,-0.3425,-674,dog
-0.3925,-320,przvuzuyum,jggdydkovb,-695
-0.269,larjhyjais,odxfmnophx,zafrcgvqsh,CaT
dOg,ffnfikbnvp,ydlbmyvmxh,-938,0.2355
-0.445,-0.234,cat,-776,-0.462
0.472,0.2545,-0.0965,886,-0.299
fxakskllcz,acyxtjikkr,Cat,186,cat
0.391,-0.406,377,ilwsbdzbsi,-768
-66,-708,uoarjntrvi,wpruotejuw,0.3835
0.1945,doG,461,-190,894
CaT,DOG,dOG,dtwcivcyui,-18
-73,cat,-0.117,mylchutegv,jkdwmyxjzw
fwchbkglhp,0.2605,DOg,jjeqtrhjvv,-440
hddsendfgq,-387,wlxfpjmyxn,vczgmapzsd,0.29
DOg,dxmodpjpfq,-67,192,0.1975
-735,CAt,-0.0535,-926,102
-254,cAT,-693,-0.0175,yhixthpvic
0.29,haurltkmjm,0.499,-953,0.3045
cat,cat,lpxwahyfdz,agetzepcnq,doG
281,DOG,xwdaewxwwa,-354,558
iouyncmmmv,CAT,rjoktzixid,jihzgxsecq,492
-0.2535,626,703,-0.2155,0.4895
caT,boomtmxcqm,xxnjxgtavn,94,xxxlxwemob
-869,vdhmrkfxhl,607,doG,644
-0.2365,buywcltrfw,DoG,0.0525,315
0.3555,wcbiajrgwa,0.18,-0.4115,dog
