yoxextgisf,liwqiiotto,ddhufhiiby,PEt,oxmdkwynei,zdziegebwr,mcwxovlose
cAt,0.3935,0.4605,665,cjvuczfriv,0.067,-0.1765
0.157,-0.429,-402,dOG,dOG,0.108,xhgendcnnb
0.3695,wyqrzlwqdd,rqnnsnwdvw,caT,cat,0.4485,659
-521,-0.1285,-0.3365,bejpeucnuo,0.0035,32,DoG
abtkasoxzk,dOG,277,0.248,nuhuuroltq,0.249,-690
-0.438,dOg,0.1105,dOG,-0.394,aiqmibufzt,0.063
-2,gthwzrmkun,acvrytdxgy,CaT,CAt,797,cvjtortuwp
-765,896,Dog,Cat,uafqkiibfh,-0.483,lmeudagoom
707,217,369,dog,526,0.4565,cpogdpahwh
caT,-805,dOg,myuubakmpc,-0.139,qqhxrfnvup,zhxisxsvox
itzemyvgja,-412,cfdyzwgoax,CAT,jeyvkwsxaz,tbtblhzjss,ifaqwcutwc
243,sbertjjady,212,dOg,xmerrkactx,qybkgimsra,-0.1725
dzlogkjkeg,tpxeqsgfeo,pyquzlijna,863,thxzbffapz,-0.074,699
0.153,0.246,-136,Dog,tzijjlbpiu,-0.2445,cAT
-0.228,cAt,696,Cat,-290,-460,lowtifdttn
nyiclkdpni,caT,jchhmqdoxl,cAT,721,kudtvhnkbe,CaT
doG,-0.0075,-700,cat,0.4725,jtfqdsoiqs,-872
awxdiifsvl,CAT,-0.0245,CAt,doG,-670,-560
0.3985,-0.353,fccipjftxh,Dog,kswubslzum,cat,CAT
280,cat,694,cAt,caT,540,-220
459,cnrkdgwvek,Dog,lychwvroqc,0.3965,-0.3475,-725
-0.0115,jsrlarhjjr,-189,cAt,0.37,0.3135,-0.4885
cAT,0.0585,dOg,DOG,-653,cAT,-0.242
-0.392,-38,DOG,dog,-650,dog,DOg
0.1975,pfjvqhghfz,-787,Cat,cAt,0.156,zowsamvwtg
dsnpsukhhh,0.353,cat,dog,496,dOG,jyttvyctwd
ugeypidnzl,aftzfabzzs,sbgghwvrkt,cat,wdzvuganpo,0.3645,beifjofbmf
tfwqqfmedl,744,0.1575,eijqlfrsep,hrefmkxtil,0.3925,102
827,558,CaT,jczbsrbkav,cat,dxhipyjwax,-0.051
-0.2435,CAt,eznmyyxepd,cAT,stctcrblwp,628,810
cAt,0.1365,-0.149,dog,-0.236,whxfvnxqmk,cat
0.446,0.298,-0.241,sdsidjbnvg,0.304,0.0405,0.218
-0.3885,cAT,-0.06,doG,170,oupgmjomgr,281
-508,bkyrrkruqw,CAt,rjccaoljgp,jgwydxouvr,amxtegfsqi,0.2235
-0.362,-0.2205,hxwvhkgapj,etqagnuasz,rxeweovciv,-575,CAT
-0.369,DoG,52,DOg,tuplokbupc,DOg,cAT
ibjnfzfzwm,mgrruxpmft,845,DoG,-741,ddmhsfxbxj,0.4925
Dog,-0.238,Cat,dog,499,-0.22,589
0.4645,-0.243,DOg,caT,-0.0145,kfkehmthro,-0.2225
bjypjztgqi,0.396,-134,dOG,bazdbdwwfx,0.0255,-104
-558,-157,-63,xcnrgrxaaq,DOG,-0.1415,whbdsvqzkp
6,zpvlrpvouw,922,CAt,drpxqrqbgb,dvtfpdfcic,0.1695
phhpnsqkix,-0.2905,-845,CAT,-0.1305,153,354
foakvvujur,-0.3205,4,DOG,0.2065,325,nuotruugfv
Dog,CAt,423,cat,912,okepnunmfl,-967
-0.366,-0.0855,Dog,caT,DOg,udxttpgdod,rvxtqcbboa
ldsfeqmfns,539,-57,Dog,wzryrhfsid,16,cat
-0.0315,-327,zqabifplre,214,CAT,sdwdjpkonl,wysanlhckh
cqmatkhxeb,cAt,caT,cAT,zkknoezlkp,gjsvxrtwkb,jfkavipiad
hdfbotvmio,552,712,caT,avjozremyc,-318,-994
0.238,bsxkpgrdtj,tgfqimxjnb,DOg,ydezoqixep,-0.299,595
DOG,qvlgqlxykt,hphtvfopnk,jgfvvxsswr,oepvpubdgj,915,cAt
owwtfbowhc,fppmuoququ,cAT,-0.376,-0.282,-0.1715,-0.1175
-0.1545,dOg,-0.347,qhlfxibvfq,-507,bymxkyucgb,-0.482
-130,CAT,-203,DOG,0.3295,0.311,-772
-139,CaT,-0.155,dog,-435,0.4995,-243
jewshfbnvf,261,CAt,dOG,-566,-0.4645,-791
57,0.1835,-0.142,cAt,0.3325,xwbjazboys,jrxzfgpfcp
-325,-0.487,642,Cat,-0.0405,hipuswlspu,-0.42
umhyutvwtk,tinorxettz,322,CAT,rthhiasenp,CAT,167
-763,-53,0.037,CAt,cwyimmjdgj,0.143,-698
-0.0015,dhfkcxpcpf,cAt,dOg,-0.057,cAt,0.127
wchzciczem,325,-171,czksnquabc,igwvmjknda,ianlyvlkml,0.3895
-266,-0.491,-392,ydbfkzzbcc,-33,caT,CAt
afudtxsoke,eoovuvufrt,0.078,Dog,0.1025,-532,234
cAt,cAT,-0.4915,Dog,0.234,caT,55
0.221,0.4755,terfldgcml,cat,hyfzxjbohp,doG,-497
cat,osimgflhus,-0.3495,CAT,Dog,ggqvbtypgj,wpikzvzjjd
dpdkdavcrz,mtrlzzccet,0.224,cAt,cAt,-0.2885,lmfpaxysvj
0.0385,0.011,-140,Dog,dbdogrrgqz,iyupyifmuq,pvkfgdqwwf
mcgsvaxbxu,Cat,0.0205,DoG,-856,-0.131,-615
-0.299,lbakrujjws,-809,-0.2615,-219,dOg,caT
gpklkddvjx,795,-0.059,doG,DOg,kijicgnqsl,-0.092
typmxjozkv,-117,-620,-988,xriavjrhrd,dOG,xukxbwfsrt
485,hebxblvzkx,-0.2295,sqdeasshwc,26,-838,cAT
0.363,0.024,-0.4935,DoG,-464,pkkzsucjny,dog
733,dog,-878,cAT,-169,-0.1585,tovkgwbqcv
ppqpfqxdgs,16,203,cAT,dOg,0.3505,oxtypmkrhz
0.3415,CAT,-433,CAT,0.3275,0.154,45
0.4975,dOg,peszocymps,-66,-0.2885,ztsujrpkgi,cAt
mkhtwynpou,0.0925,-501,yekzofrwsl,abzsrxkodu,0.315,0.422
0.4495,882,-0.2955,bavvgnjogo,holffvztbx,qghuukldcq,-869
279,cAT,-612,cAt,DoG,-0.0055,ofzxxiaymq
-0.356,povxoizjkf,-385,DOg,-324,sadnsbxcsx,-927
