PeT,soufxwrfww,yucvbjkmkn,mhrhoipche,zrvekhajvd
doG,bajypnzeoj,-0.4595,-0.0005,mdnympxhjn
caT,qatkzslztb,251,Cat,-0.41
cat,-535,-523,zwpgnjntfm,0.09
-0.361,0.439,gfrusyxyne,-980,unwjnionzl
xleggualmd,0.082,0.422,0.4375,0.0835
DOG,yftvwklpyb,doG,489,dcixzzmrsd
Dog,CAt,CaT,doG,158
0.2015,151,uacphquvtd,wwurznkuwi,oploppvnaj
601,-0.0605,dog,mwrxajnxtx,407
CAt,upyxmderhd,253,-525,-0.188
-0.2785,612,-905,DOG,dOg
dtqcdoxjse,gvtyvspwpd,zvcscmgnay,0.2385,DoG
DOG,pnlhbkvgvv,-0.274,cAT,csnsibucdc
cAt,CAT,bzkzfgbnag,DoG,164
CaT,jenauprwkp,-0.296,gedjpjcrfc,kutzkpgule
Cat,156,jshwyqohyh,CAt,189
cAt,cAT,336,ijyogaxzfj,-0.0785
DoG,0.042,0.463,903,-186
768,637,370,989,940
-895,hsoinspxlh,0.2545,0.4275,-0.269
CAt,tsoolgdqik,-899,0.3235,tupadyllwd
fpmgmmsuvn,-704,-691,-304,-977
DoG,pmsnppycjn,kmdxhcwkeq,666,0.4935
caT,dlhgqaovld,qrvhaoxhez,-0.4045,vowamazerx
Dog,sbjzexncnr,caT,607,-0.3905
hnixwkokuv,739,-0.485,512,-0.37
CAT,sdbavaambq,dlkawcncjz,-831,fhiopqwanq
cAt,-783,lcqkpvzuhc,-0.386,jnssgxhigt
0.3,-740,40,613,-918
CAT,doG,-718,ockrdqyeoa,0.264
