fbrpjrpfjm,PEt,wbdsdveqac,jjylnxpwtv,zhyzdfshtq,eqvsatvojc
-858,DOG,-0.057,0.237,-0.031,0.3995
928,cAT,-0.405,-321,0.4585,-0.0975
292,Dog,mfrzmpyyzp,dOg,sowgniuywk,gjurwwqufa
xsemlhudua,-0.192,pwhftnrhic,997,-0.2885,-0.307
quqwjxkuco,903,ixjskfyxah,-304,0.003,DOG
cechiqeiyp,xxvbnvzhut,ghgvfcxkit,-892,htwhszsput,kowknoiwuj
0.0275,caT,DoG,doG,dog,sbfoknwbyd
dog,-315,-506,ysgupqxnag,qgsyktwmdu,396
0.0645,DOG,-0.3035,rnmpkpxjsu,sdnthuevoo,0.2665
-0.2905,cAT,0.4245,-0.008,0.4175,kkgsmqpakb
-0.015,cat,0.078,-0.279,-852,0.1675
dOg,-0.08,0.0295,vjpsntmrul,0.4675,CAT
0.0455,cAT,CaT,cat,0.099,0.339
131,caT,-142,0.4355,lixokvhnzj,0.414
-406,-0.3855,0.2835,0.0275,-241,0.2125
848,dog,-96,Cat,knovdklqbs,sicbgwfmlk
wwpkrilble,Dog,-190,15,dog,dlvdbemfms
-0.1125,cusldirslc,0.1565,-847,zfclpaqxbf,afnkgktckv
zbmwmksvfw,0.1415,cat,kjroaurwpx,-0.136,20
-0.452,624,ojyfsvjrxb,vebgchslnb,isqwcuqops,asftdncjpz
dOG,dOG,-0.2955,caT,dvgwvrmjuk,-137
0.3375,CAT,cat,tkcdcqlemi,nqwhybhcnj,0.4225
837,doG,0.2145,DOG,363,0.0005
-467,DoG,0.066,85,0.3325,0.3335
fwisxqbxwi,doG,-0.118,0.3715,cAt,-0.2305
232,fzetmnoobh,gbkwxexvlu,qtubfijmuu,-414,372
CAT,CAT,0.1235,lfagbpfpfa,-809,sshkabhzlq
-0.287,cat,DOG,-0.219,doG,-0.022
raoabcdozn,Cat,-0.479,-0.2625,qnxhzfxbfv,CAT
hmeuqcihwq,DOg,cAT,846,gpsrdqvhjx,DOG
korzzdwvdd,cat,-167,-133,-525,cucgolibns
494,-394,0.127,-0.1005,155,xkfqsoxpmg
0.127,dOG,achzyrzegb,0.496,0.1905,117
-921,CaT,0.1575,qdazuspewc,byczfojolj,-0.1665
motpzzzdcb,DOG,81,0.195,qzkniqbbbw,-0.322
onygzqcxxf,Cat,dOG,-438,0.215,cat
ixobhpmthp,Dog,-0.3755,-303,cAt,787
CAT,dOG,itcwgamote,-142,cat,ohhfdplaoq
475,doG,0.277,winxzjqvlb,203,CAT
-0.387,dOg,tymgutszni,dvsxxvaibu,-0.279,CaT
DoG,cAt,0.2095,wroeazhduq,sipxogvfve,-0.275
odwaeiusti,dOg,Dog,gfaetoyiij,310,888
