jepmmaffym,emjjtkette,bsnmudvrno,rtmslphfvm,pET,piomxedsft,hnopxlzehy
kyqznhszco,oqmieatded,rjppeevhus,0.341,doG,0.179,sqatajwkzx
-0.35,0.265,-0.2445,-54,CAt,-548,-0.4385
ciepnjfslz,-506,-697,-677,doG,uwyysvkzjr,-865
Dog,-946,-0.201,doG,CAT,0.0485,824
-756,0.422,uejzycghau,cat,cat,0.3775,-291
0.343,mmwvehbnqd,-0.4495,fhaufwocqy,cAt,-775,dOg
0.282,oaaalreqnz,0.4985,0.3155,sldrqyrcxc,-201,svkmjyevcg
0.4205,-0.217,-903,0.2485,dog,maixqpkuyb,384
-0.2215,0.0275,0.0265,903,DOG,ufjyszjghd,fhohhflkyf
-0.2895,0.316,0.4,Dog,dog,caT,-0.264
kphqrmevov,-622,Cat,Cat,doG,-0.1095,cbctpmudhq
261,-0.416,nvadnizmpa,trzwfzyokk,DOg,876,-0.3485
-17,dOG,shueulruvw,CAt,-436,497,-478
