fhwceomrwf,PeT,ishfgnfcbp
490,cAt,767
caT,CAT,229
dog,CAT,caT
bnqguwppis,dog,0.054
CAT,Dog,-0.194
806,doG,DOG
CAt,0.408,cpslkebfga
-0.1265,caT,0.236
CAt,DOg,caT
fvljkwmavn,DoG,gihqirzkdk
22,jilydqloeb,-232
119,CAT,-0.104
DoG,Cat,dOg
CAT,DOG,Cat
0.491,CAt,zoyrmhbggi
whxtwrtdrg,Cat,-710
ndicioufab,dog,371
cAT,cAt,-0.1195
jnghyrjxgt,doG,-0.357
fnxdyczgpj,shrfmbnnbv,-0.4085
0.372,-810,-0.1645
DOg,caT,45
-0.3675,CAt,-0.46
-0.259,DoG,-672
Cat,CaT,248
145,Dog,0.4655
0.4155,caT,lubnxoqomt
172,cat,CaT
nfdkuttqpf,0.2785,0.0015
-158,DoG,dOG
-807,cAt,DOg
tpceskxttp,xjqhcfjxud,0.2455
-916,cat,-0.3385
ijhmkuppjy,cAt,0.415
paaswnhdkb,cAt,-0.2385
pmwgqayplp,-0.2075,-411
cAt,-376,557
bjnlximfsg,dOg,-827
hszzoebpdk,0.024,0.463
-0.0505,-631,292
325,dticfkmaup,cqvolibnxq
-31,cAT,285
Cat,-0.3295,366
-29,-906,zkbaorgago
pvvphfsiwv,0.437,-785
Cat,CaT,-587
0.032,dog,kjklhvhuow
-905,dOG,723
zkeyscoqbs,wdpoknrkpg,cAT
0.0895,caT,caT
frkgmljtfc,CAt,-894
162,dog,doG
qhbhihiqck,CAT,815
DOg,689,-0.4815
0.468,doG,mrrrjlgtqg
0.149,cAt,0.1875
omclwwqkud,gdhphqkinh,0.3255
fffbrkfrrq,dOG,DoG
-0.119,DOG,0.335
0.121,cAt,caT
dog,0.1225,738
0.057,dOg,-0.2905
0.4495,-480,-118
nmuwffbucm,0.197,CAT
0.2255,-752,600
-0.3665,dOg,0.3105
-0.1085,dOG,CaT
busofudeow,doG,731
-0.007,CaT,DOG
0.183,0.0645,-0.244
630,DOG,-0.1695
-929,0.2025,-850
srtzowbtfn,qckbjuywjo,-0.4945
107,Cat,921
-946,cat,0.3555
0.184,dOG,-0.2025
-632,CAt,-0.053
tpkjjxktao,dOG,lxiwrklpog
-585,dOg,xvvwghneap
DOG,cAt,714
676,Dog,-0.299
720,rflxrjiifi,-0.3235
-970,uwuzqelten,249
hbitmzkuwy,DOg,-910
tckwcnbjky,Cat,dOg
836,CAT,-358
0.293,caT,444
rwuhpqnnnj,DoG,765
caT,caT,qbzybczhrr
tlagbkawbh,zvyemmokmz,dog
DoG,DOG,0.474
akwirqzuky,DOg,CaT
vcxjgstcla,DoG,lfqqhyecvd
0.1425,cat,-23
tmzeqddkuw,dog,-0.263
ygmsdiswqy,-894,caT
kcnumwzzll,cAT,almqbqwjsp
