cutomchbum,drqlxuoaso,lalllphyxj,PEt
kvtdezdzdl,ygpnnmyukm,-387,nufcatssev
751,-0.487,hcmkvbnexs,471
-0.0545,-0.0455,0.2485,kmhyptgqgr
0.058,-673,cat,ukkksmjoet
wedlvfxmmb,caT,cat,caT
-79,271,abzxkvfykx,-0.498
tynzunbmza,76,drgvtbincl,-237
913,doG,awxkczzuwj,kjkllfftya
CAT,uvnqyiasbw,0.394,251
CaT,vlvmwgdrlg,-0.3425,cAT
308,Cat,caT,-0.396
0.441,-221,-0.439,0.264
811,-0.455,hfgnaorafn,Dog
-0.4655,-0.314,-0.112,doG
0.245,0.3795,0.2305,DOg
CAt,756,-0.214,-586
151,oyfcmeckcw,yzfmggfvwe,doG
vmfzcjtwrr,isqmqokccn,0.4325,dOg
0.136,139,-93,cAT
-0.3605,ddhpyfmmta,956,805
zcqimygsmo,579,caT,Dog
-429,462,lmjjnvrgyt,Cat
dOg,tvpojphsuz,255,cat
DOG,0.0825,-0.3675,CAt
810,281,975,DOG
hlqwhabliz,txqwabtzaj,Cat,vzuniszymb
-0.2865,CaT,-996,CaT
0.108,-0.2775,650,doG
-366,CAt,-400,CaT
xvlrdzsemq,0.4435,0.1835,qpuflfiaep
-0.3625,Cat,dOG,caT
0.366,-145,398,cAt
tmwfvitzuj,DOG,0.056,cAT
0.283,0.122,CAt,caT
-311,siucildnpg,645,CAT
cAT,0.001,-0.431,DoG
-390,0.2485,-293,doG
0.3645,-627,hbzuxndzyy,0.437
836,tdzmshibey,666,cat
xmansvavbt,oqwaadoikk,DOG,Cat
CAT,dOG,435,-50
0.0745,jfmmeztlcc,nnaaigirbt,-448
ywyeusrdpf,dog,sqpmjkwrhu,Dog
rotbchlfcp,DoG,-368,vwwdabegkm
qtcwpipuit,-660,doG,CAT
DoG,hixnvvvlfi,0.4995,jftplckflm
-0.4615,vzwpwwnptp,Dog,149
0.3335,-10,0.1075,CaT
svwwiqzput,473,Cat,doG
jfqifcizpp,0.3055,-0.237,454
-0.4985,ujiquldlzz,CAT,CAt
epojjdktkm,0.369,0.2425,-806
531,muptvnwclz,0.1055,CaT
-752,-735,rohxnmkjyq,DOg
CAT,0.408,-449,fztitlebtw
dOg,0.181,0.0785,cAt
cAT,cAt,jgbuadwjco,Cat
159,brkwjilqgz,-405,dOG
ngpwarjftp,659,-0.1485,DOg
