tjiyjmrzeq,PeT,dzamgrzsgo,rtedtlbnvx
785,cAt,-202,361
ksqxkswuwe,-0.049,vbvjsaniwf,fjzykennda
obwzuzakuy,CAt,dvpjcrbtwr,ttxkbnsdln
bqrkyaadqc,doG,-0.317,CAt
0.158,Dog,681,522
451,DOG,-0.426,hbybrmmnxj
ptntpkgplt,doG,909,-207
701,0.281,DoG,egscjitwca
dstnqkvfik,DoG,bsrqimurrw,cbsbxayjsk
dOG,dOg,-0.3165,gvlhgqzjlq
jyazfdsxjo,cAT,CAt,0.4995
0.234,CAT,fviyrywgvh,0.25
caT,Dog,-0.2295,nmvatjsnst
0.088,CaT,0.0985,dog
uhuoyrupen,cAT,cAt,-384
-982,doG,-537,910
975,CAT,699,-0.313
0.028,531,Dog,cAT
-0.2425,cat,CAt,cat
-930,CAT,jqdopewwyk,436
0.2475,dOg,zmmkwkaopk,-626
0.179,Cat,819,sudbhbtivb
-793,dOg,doG,-475
znjnlejfuy,409,88,843
Dog,dog,415,-693
-0.3935,cAT,ibfpcpvzmr,-0.4485
319,Cat,ohjuixadbz,xtskqwmoal
bidjvhvvqr,CaT,Cat,-0.4895
-0.2475,CAT,wisqlfiffa,-0.2535
0.428,doG,hnxjfqdozu,909
0.153,DOG,-0.4645,-0.362
-0.497,obiielnlai,eftejzrnbi,-397
dzfhobsrkz,kojbyotwsr,cvlpxoddro,Dog
whzmzpskqj,dOg,doG,-0.0175
mutjxwmzxs,cat,kvxcuovxee,-0.475
ynygiznudv,ehxuwergts,0.1075,732
qjrkjpnbzq,DoG,caT,0.2525
Dog,CAT,609,tajmeqrxbq
0.421,907,970,846
772,-248,zbgvojwcfb,stzxgvjyih
-0.257,caT,DOG,-0.3615
-983,CaT,255,CaT
qjthktrwqs,0.402,cAt,cAT
-0.426,cAt,vyywinvzbf,0.2355
-282,kpkxejyvdw,owoldyzrpg,mftjmujxtu
-64,CaT,-63,0.399
slnnhzwbwz,DOG,-0.35,343
ehzhzdqguy,DOG,-0.0005,cAT
0.309,DOg,-0.1965,0.153
ubkshibvdf,Cat,-0.4695,swvhbfiuue
-430,dog,vgqdtalrcz,cpuusidrrc
-0.3305,CAt,496,-336
CAT,cat,zyuwblfyru,ysjvnmypbl
0.3435,caT,-0.1375,-0.282
-0.118,atuwdzseua,-0.4755,-0.2505
0.3675,dog,405,tkwclwtpck
oplpetewao,cAt,-0.082,tbviiipvrb
ivuikrscvm,DoG,dog,zwigkanfoh
vscitofahu,doG,mumtchnrol,ygynskgjen
31,dOG,cAT,cAt
