vwujzacjpq,rbrgouayro,agqcjygkql
rjeyyenvvo,-956,rwdazhhoid
213,0.3085,gkrpkpzusg
128,377,930
-0.399,696,CAT
-245,-710,gaovaxdbim
0.283,wbfhvkytyl,-843
-0.1405,ymmmjmmlpj,CAT
CaT,zgkrwquuer,345
-149,0.111,-672
hewfigspfw,668,-0.221
0.451,-747,dOG
Cat,596,-938
mjrdapdwjj,cAT,-90
-0.1075,0.075,CAt
-0.081,0.076,636
0.264,0.485,CaT
cqmyrblhbu,-0.3325,uopslydofx
0.232,ywhowrmiic,829
qeeiwotygu,805,utunwymwkr
0.317,lmcbhrpzrs,uadvqbluvh
0.179,-473,sesrciqxmq
-0.175,dOg,DOg
919,0.3945,ibmyvnvcuw
DOG,-0.088,annsrtclnw
-0.2105,0.25,DoG
560,-0.183,dOG
0.279,DOG,978
290,-502,769
dOg,wyiopjnthy,ssrxfdstsl
hpcwfveytf,0.4975,doG
34,0.44,cat
rtutvezsto,191,iohlgrixgc
-131,cAt,cat
doG,0.4115,470
Cat,dchewyqpya,692
rhmsivjutz,317,-0.0785
-132,ixdzrxnpeh,-0.1165
-84,fwzzwklzqo,0.186
ssxgqdketg,551,198
902,DOg,-0.0405
-358,-865,548
DoG,-879,DOG
-0.0675,639,Dog
caT,rnxykiplsx,dOG
-0.022,-0.2455,757
0.066,-974,-708
CAt,fekhooqsjc,-311
-0.21,-427,0.459
xcanncaycv,rfjclarqpv,0.423
0.2585,xgpezfkfko,wmxiwrrslk
CAt,dftxxvnqha,0.281
-877,CAt,yzvtimjylm
eueacovenv,DOG,-619
-0.4435,hamiagahly,0.3905
-0.3325,-726,-600
eupjbqepxh,701,754
vdrmfiffka,tcdicgjxot,975
dOg,-0.414,-975
wcwpciucxb,nsfretmmcp,-0.418
xxofexnzct,nzhbznttvo,-0.097
