oxyzpznoxn,mqslalkdnh,pnmgadodhz,vqksolsvpd
-0.3645,atgjoqildx,eblresqksk,-432
doG,-936,185,-646
0.432,dog,DoG,-0.223
eksrygliim,aaycpmeufz,-382,0.2055
-0.3655,-622,0.1495,0.16
-0.228,-0.375,cAt,-207
0.378,nkseeugbjq,jjakdmoboo,-0.245
-638,406,cqsncnmmfb,eneltcrstq
-0.414,0.495,-782,-0.439
0.0635,-0.106,-0.463,-679
-325,dOG,ecwnvkmptz,ogewhsjpyv
dscxyzkrwh,Dog,-730,Dog
0.1065,DOG,iebbjvusra,zfyrmwkgee
kcwozfbeym,-0.484,garcalbwxm,-782
0.4485,nrnjnltyek,-0.378,dkeibpczao
-884,-408,754,0.476
-0.0875,-688,924,syagkqfpdg
-0.2715,497,-717,eicfvgohia
CaT,0.4535,uysalphhob,cat
izvncnfpsz,caT,402,djutcgqeok
-0.201,-929,eyydzsesra,-0.1505
CAt,sftsmkoqcj,uxkgrazlxb,-187
-534,chdroilhcv,wdcyzlxqqm,DOg
-0.017,45,-0.059,doG
624,0.1095,ykjazkwktn,-0.1505
doG,-0.4305,enlhrlswuw,zshlutbbll
uqwaxgvdqs,-404,yhnraxnjuv,-833
0.151,-0.074,dOG,-404
-902,-0.4955,dOg,0.2205
-0.1105,-634,880,wgqcpbszfd
pmbguddfuy,895,674,400
DOg,Cat,cAT,-0.4245
146,dog,pgxdtwxjxu,-304
12,dhvjdednjd,207,0.3015
nikrjfbcag,0.1125,-376,DOG
-901,-779,jheesbjxga,0.036
-64,yuimxnacur,zdqpvglcwv,538
Dog,-0.173,CAT,wstxlitdse
0.2845,-324,-0.356,-13
tfjmruzbya,dog,955,-8
-163,817,cat,-0.2165
dog,laotzrxfko,lqrhvlkidy,igeqsgkcnd
-0.497,wjaufvjbrk,ughepzuzxs,299
-644,jiyskkeoem,-0.4465,CAT
-0.2595,zubdvgotmu,isckmpyanf,olchfokloi
cAt,-514,ysvrmeliub,-194
0.1045,dkfdmtpohh,-782,0.475
987,eejcdcgvnk,ieyhqhutpf,sosxkxgwsd
zelnjuojgv,yypsapdmcp,0.4325,Dog
649,0.384,riggpgbteb,-0.149
164,597,0.088,-611
0.5,equkonqmoq,-0.3345,-882
iynsdctlqz,leggwtnypi,-250,pslstxdyky
-0.37,ntqwtjfdxy,-652,-629
dOg,-0.1615,lyezzxhwdl,iizkzmbvij
jympvtryvo,-151,ujwyfjbnao,DOG
dOG,kfkfexawyf,0.239,ndhdourwno
-0.473,-866,-0.4385,cAt
cat,otdftfwrei,xsupixuhxa,-502
713,-0.0525,whygxcsrlq,hcmjagzhyf
837,-498,xwekcrnixb,DOG
0.492,866,hirxkqizop,doG
CAt,0.011,caT,yiaxaosswj
caT,291,xwufjipogt,ilvyimppgw
333,mhecaynfkt,14,0.1885
-110,-0.4885,rbdqijhkmb,-0.092
gxirjhxkub,Dog,496,-868
0.4455,-822,cAt,caT
0.244,390,0.127,-0.0905
ahrbizoypt,yoqpacipwx,wikqngyize,-468
-0.4265,0.181,pjphhapagp,-0.0295
