jebswzlzcp,qnmolxnpqf,ohjfiipccv
0.309,doG,CaT
cat,zskirqdekr,kqvkncnvfx
Cat,-476,qxhkhctkif
jbvawqcgav,0.1995,710
912,dOg,dog
259,101,-541
197,dog,182
dog,taxwqqmytc,398
dog,dog,nklpdxjdeq
exznngeqsz,-687,caT
dvsfrwxcbd,DOG,-0.148
CAt,0.1525,uohrwagoxu
armlmbtrhl,rjpizqdkrq,hbvqgkklac
-651,-923,xfsbxpszyn
301,tfqdkvctqi,905
646,hrqmyifekz,-104
dog,-0.4345,DOg
jnkzcwlsut,sxfoghtzbq,-658
umdnarodgt,418,-0.475
jmshyqwawq,DOG,-817
-399,fqreieolle,0.377
283,-736,nqudbxvtdb
cAt,mrqztmoltv,kxtlojovbk
0.1105,-472,jsxtuznsgi
harergsxuw,doG,427
-551,cmljtwxqof,tjzxeoukim
cwpuglolug,-0.0485,582
cAt,lbgnetvfua,slkcwingnf
psjkkbtrbm,uueewhmijm,mwcftjolta
mqjhkomnll,-467,caT
43,pgfiphsdzs,-0.114
-315,-0.2795,-902
-0.0195,-482,616
CaT,675,caT
953,dOG,-0.2895
Cat,ljmbhzomzv,-687
-0.3365,cat,krdefuwllf
vqyrieskcv,-0.2525,DOG
-0.372,0.493,0.4345
-138,vyytkpzkzl,-615
-0.359,kuuzxfpljk,611
-660,orresjjeao,CaT
862,caT,cAt
kknzlrptmh,dOg,wbxzrwmiuj
-0.245,Cat,grqbqmfqqq
0.339,dOg,-0.3485
848,710,0.3795
0.1715,-989,-0.265
0.1595,-585,-0.414
qwoqyvgnsl,0.122,oebuzusswj
-238,CAt,-0.409
-0.3615,-0.1635,cAt
0.0285,yfmnysnims,mziywnhryx
661,echldhzfap,0.098
dog,zkscftkotm,isxespsabs
-381,28,585
dOg,rgeuiegqda,bbhlaydswy
953,Cat,jbsihkkzrp
28,0.371,-0.448
iqiftkkczw,pxwlbvnlyn,ejmletcuos
0.2915,DOG,-0.284
odkeqycezx,0.0355,DoG
616,dOg,362
xjmbzuwgam,-0.1805,-563
-0.006,0.197,0.3485
-442,-465,qtliorujnh
cat,gehbteavwf,465
291,doG,547
-0.1205,207,stiblastfg
0.3215,0.1145,-0.2965
gaglirtvja,doG,lxubsxesxk
hzrxbqhtnw,-0.1175,-0.0565
dOG,dsuzhrhphs,pqxzrdepiu
lzrpfmykty,-0.001,-423
0.004,zuknyilprq,DOG
584,-0.358,caT
-431,ywrbzxzdbk,avzbnxfgtq
150,unwiuyfptf,-446
CAT,eunhggxvoq,-0.142
ynhipvumeu,0.4475,rnnbejqtuc
