ipbbdmqqzn,bbarxagjkc,qbysqtpulh
476,-216,0.1935
-448,pjrrkynykc,eisufqoksu
doG,doG,-541
119,0.367,Dog
cAt,0.2345,0.181
owpvxiyzzf,0.1615,0.2135
caT,532,0.3495
dOg,0.244,418
-741,-209,eynxrjieoj
caT,-0.3285,uauaxpluiu
gsqzvnbema,hwwlgqljyb,0.3715
cAt,-0.3785,800
pinxbkalxo,-56,-124
0.286,rbhuondtfh,dwxraqqqxw
323,0.4345,14
-0.1105,DOg,cAt
cAT,DOG,-607
36,-0.1575,-953
dOG,-544,-561
-780,990,0.328
244,DOG,nuiwnbcbym
-573,-684,sowqjujscd
904,0.2255,-0.008
0.4355,-217,606
-0.0365,lviwnubgrn,806
0.422,-0.185,DoG
cAT,Cat,-0.402
-583,DoG,vnejkvidsp
475,ngbqwerouw,472
-701,0.142,onwhbvseiu
usbkxolhve,dxifxcimqq,ybzetozbkz
57,0.4105,919
qsltrdaial,vsfwofolbn,paepdfmzyr
0.418,unbjnwridg,CaT
424,551,mzfisjnyqx
bmfqjxklzy,valtbjdxay,419
-153,-280,wcooikfocx
yyvzxxfyrg,0.259,-0.256
kzitrtobed,cAt,0.4325
DoG,364,auqacjzgtk
qidigqdjcj,cglqevwsbu,0.493
noosrtdrvi,352,0.316
doG,dOG,0.0005
0.435,-0.0815,-0.1395
jsrwstaoul,-0.0735,42
-502,-0.062,dOG
101,cowexoakbb,-191
-0.3155,-825,DOg
-408,682,-0.446
0.2905,-0.0005,-338
-909,-0.161,-790
DOg,-0.2905,CAt
-917,jmvixfozre,754
-0.483,-0.3915,derbyyhpro
DOg,394,mfgnyfpzar
332,-247,DOg
dOG,DoG,-860
lvntlustyf,-830,otytvwewkx
-0.28,-0.153,0.0825
0.285,0.1035,CAt
mkvomymzyz,xkjoperwoo,-981
lydtcrldhr,bcmdayqdoq,-735
dOG,DOg,-359
nyvipjfuwo,fvcrdugdyo,DOG
mnrgvjsieu,hhtolinlxi,0.1005
DOG,ghdxdvoonf,exkfcsghie
cAt,-530,-819
-547,DOg,-388
gnhscpahoe,983,CAT
0.084,-673,-533
555,-244,pnqsgdafih
-180,0.2715,qppbbzsznt
cat,yeaaacurls,htxdgqdcob
DOG,717,DOG
581,DOG,89
0.4015,CAT,-0.369
wexkhphcyf,-948,761
ynfmkpmwhb,ylzytjqdsl,-0.1255
0.1,-796,-637
afjpwefvuo,Dog,doG
CaT,70,swxsppdiad
-0.192,-0.342,0.385
-136,oabiocgbjz,DOg
imgbndnyrb,-825,0.4555
-805,qblwcvcpba,0.15
dOg,-242,doG
vcjnkiehbg,-812,-0.244
oboimsdyoe,ykbaqcauuh,-0.1415
-556,-0.3425,0.152
ofxlkptoxu,DOg,672
990,lmsrnouesm,-721
dog,878,828
caT,emccbqutzw,CAt
-25,0.275,-0.2735
468,cat,-819
hczoizdwpb,vyfdjkqxar,-904
