ijdxytvwgu,yvcqxtivud,ejyyjljlpc,vdidlksimg,PeT,ghedjsgaop,cywzojxyee
CaT,-472,-603,CAt,ipckupjntp,0.0615,545
-659,yvuhvqgrmr,0.237,zubkknmxtl,caT,0.1285,885
okgofrhscx,dog,197,fmtouxvpxi,cfmjejuzri,uviqiljrvw,Cat
-0.017,0.113,-0.1465,-465,Dog,gwzydebady,CAT
-0.1475,vdjslvidtm,favuvglmtx,CaT,dOg,cat,-0.3775
0.2085,lomjoezpom,jimuwkkjbm,DoG,909,-0.2835,DOG
caT,-247,-873,wlmylqasxz,doG,-0.018,vfypvxojtl
-0.055,216,dOg,fuxugmrrun,DOG,-898,-381
401,oigerhvgdx,-0.036,-814,dog,zsreszmhay,-0.053
CaT,CAT,DOg,561,-133,285,96
-330,DoG,-0.3155,901,DoG,-534,-141
nzirdwwjej,276,-841,154,-171,wqnwgufkrz,Cat
0.151,xadepxubgn,nubqzxmega,0.227,0.1045,doG,cat
ujgfhvxbxj,-627,651,-0.1365,csvtvcwyqq,-0.1225,yuplsitxkh
dOG,maqxyqxirq,askgmxpyuf,-922,DoG,804,lfewqiggas
CAT,-0.0785,iogrxruhqi,-0.282,-0.3605,-479,0.0085
-0.356,-439,0.317,ehgvhzrdxp,dOg,doG,trarqmbfxb
xbjsstfusy,-0.0955,891,-976,cAt,wvrtltmtef,tefrasynah
0.4,CaT,kzrqtbgnbq,-571,-127,dOG,0.3375
-0.293,gapvfjyfrh,-0.0135,cAT,Cat,0.2435,etnznmuuwh
pbtckmlpri,uujydpvczz,gkhqqlifsr,0.002,dog,qknvcumldj,-87
cAT,mirohakdvf,inqwuxqlmr,CAT,dOg,678,kzfazgcunn
kzvkzxgejt,883,dyowhrmxge,wfnpyrecoz,CAt,0.386,-459
gsdxprqyoo,qviehebdjz,doG,471,-800,rtfmmcckry,DoG
doG,dwvqfebory,bpxjpmkpel,-695,dOg,47,CAT
-0.379,pdseheirow,44,0.4035,dog,hbtgyudbod,riyuihxass
0.396,0.3695,-0.393,0.396,cAt,-13,uagerptdeh
