pET,elahmpzznc,habbyohurb,jyasoveyzv,gylljtpvll
cat,-840,dog,148,jqsfebjrgb
doG,872,-0.2935,-385,DOG
DOg,vwnhmhhiyn,226,rshqznobrz,405
cAT,dmbbmqjqui,yflxljxinv,331,tpgekestgh
273,dypjhpsmmd,-320,cAt,dOG
shncsmriqq,btrexnrmce,-0.3405,-737,doG
cAT,-0.2395,663,-0.342,-0.364
DOG,493,CAt,0.175,CAT
DOg,-0.362,caT,eetxjishqn,dog
CaT,-151,mufwzjjqty,bhsruaaamw,504
pmczxoipuq,673,-777,584,398
drhypxyufz,cAt,-0.355,CaT,snkjwscpgd
0.3265,0.015,688,ntkwnuhium,rnaxpimsbi
Dog,cat,-957,wewkcxdqkx,506
kijoxtglij,Cat,stqrejjtvm,liewfwbygs,-212
doG,DoG,856,-0.279,yjnbnovqwh
0.413,-0.0225,lwotrbrlnr,CAt,-372
CAt,-371,0.2025,-0.33,-0.0225
CaT,vcsdrsfbge,0.4975,ikahydpqmp,DoG
CAt,100,-0.3155,-0.471,-0.037
-632,867,517,DoG,CAT
DOg,0.138,887,kjjeqjjgom,cAt
0.4155,ymngshtulq,dOG,-0.0345,doG
ldvqclkyqp,-0.4025,ldserccygt,opghyxcekp,ommjipyfkq
DOG,-0.0285,giogsxpjfu,bbvbdgodfr,vvyjitbgpe
DOg,0.32,-0.492,fcpeyihxeg,ruwghelffj
DOG,805,-0.11,-64,0.1895
caT,-0.398,-0.3665,-0.364,hdeqgejqcz
DoG,doG,-874,577,570
DOg,0.194,0.1995,-0.416,-471
doG,Dog,CaT,upkmsypfwd,0.189
lxvezzmbky,0.228,0.425,0.1005,ofkotmkngy
zbhunyfnhi,nxahbrsokz,zbjzmrvskc,xixxjgvfnr,hynzygcqta
cat,0.381,DoG,0.4495,-0.3755
DOg,-790,psrwwdsvlk,0.328,spelhkitzs
cAT,584,caT,-0.087,20
cAt,579,0.332,-122,CaT
DoG,0.0105,enajfgibgx,uuajybhwkd,imuoadyoeo
DoG,0.172,-0.171,cat,-531
dOG,-924,0.451,vdddokamqz,uxcasanoma
-621,0.325,0.4225,890,qteutoyasc
0.255,-0.245,604,caT,pvceyfdqek
CAT,CAt,0.0305,-0.445,-0.2085
Dog,438,0.2815,-0.4755,-987
-0.473,-0.419,-367,ufgkhejxvj,-0.289
cAt,574,tkrnvksgmp,0.167,-0.311
dOg,-0.1135,Cat,815,-127
-0.17,-528,-148,kbzlljjnek,442
-353,0.3835,0.3645,Dog,-0.2285
Dog,778,rpggrafnma,283,0.497
cat,nucielctbu,CAT,tlavrpcarr,785
cAT,-634,pqppeswekt,gvmuhcftnm,etqfaxyqzc
DOg,ynhwxwenav,0.3895,thjgqfamgx,-33
doG,0.133,0.3605,mbseypofzo,DOg
cAT,-0.1885,djoquibxso,-0.3135,vshhzrqxry
cAT,-0.1965,tmkuasgjzk,vnqhmauhlh,mifvhrpzdc
cAt,0.0615,0.074,-51,-785
DOg,dog,xhnurwzhcy,-0.421,DOg
