pymqbjlshv,pet,hwkyjbfyin,hbtiksqdnl
wyhbmrdocx,0.324,bemxhmjwrh,ithqtodctl
463,DOG,bzelofbqns,dOG
-0.29,DoG,0.474,-367
0.1585,cat,675,-325
0.2445,dOG,-484,mbgoucayaw
697,0.337,krreyhvsoy,-0.28
cAt,cAT,-0.4295,585
0.3535,DoG,Cat,-401
Dog,dOG,-496,btvkpqrhjh
-833,-0.1,-0.1725,mjvwrtebfy
dOG,mcuoplmoum,nocgycgohl,jwueofpkex
835,CaT,-525,-112
966,Dog,-0.261,0.2405
rgwyrqfuqj,CaT,itolglzyol,-0.3345
xoggmwsjdd,doG,-635,CAt
-0.17,dOG,-0.3215,skpbaehurd
0.056,DOG,jfbmacmluk,-901
yhktcdclhp,cat,gzlhathwjf,elqwlfchap
kfeubwwecb,DOg,-0.46,107
zvqteujfgs,-520,-0.4475,0.1185
sqcxmmrnko,dOG,145,lymwscvmuw
0.102,Cat,DoG,nngecluhaq
0.3865,dog,0.1455,ucfeeltvpj
DoG,-506,0.1625,374
-0.104,-0.199,609,-0.12
xhkzcdvoky,-0.0715,DoG,cAt
-0.005,-0.2645,-0.376,-703
0.4545,DoG,iixdaegcij,430
848,cAT,-663,kgbaowlajl
gfgrrexzgs,CAt,znzcgcjzma,cAt
fcdpewndwe,-890,755,293
-0.353,-0.2405,-355,kfooiushtx
0.074,oqijjtlqdd,DOG,gurwrzozek
DOG,tvbemvzfdc,uijinrfmpp,cAt
898,dog,328,Cat
0.4845,Cat,-907,-73
-809,dqvadtlwzp,wxcdwamxsh,0.011
0.209,cAT,-0.4735,764
0.453,CaT,478,700
cAt,cAt,0.3925,0.2155
0.5,dog,zjvhqvtnec,-0.3115
-76,dog,Cat,hqgshzavrp
0.1945,ytzvjtlgjh,csbrcrlvfk,tazgljedhb
mgasftmlnd,cAt,0.0475,doG
clcaghgdgy,doG,-402,-0.275
aluxjttzyj,dog,380,0.2455
caT,dOG,130,0.1605
fuykwmnxpc,cAT,vwxmozalbl,106
