pEt,llyjakiikp,zkcphwuyxk,oktbcuuqdv,gbxduxwqju,nevwdbwbeq
-808,okfjnrhtdf,132,-947,pvylqeqnvw,-80
Dog,psgcqyidao,fwacnmmlsd,-545,0.008,0.3495
Cat,0.355,cAt,CAt,-0.1915,0.1765
DoG,-0.162,isirjjbanb,fcvehxoibh,-537,-393
cat,CaT,0.069,0.182,zsuqlqetiw,-0.2525
cAt,atnuvqiqqa,0.044,bekukqlpko,DOg,-330
dog,0.4475,pnwvzeivfo,sdawhcozbz,-843,-0.434
dOG,-0.1865,695,DOg,0.0335,cat
dOg,-816,fkdeqdfaki,ovdckdrubo,625,-80
0.2945,yxwubrelet,-808,-535,0.074,efoqfpyviu
437,zukuzgwecq,-511,-0.271,812,-0.2205
cAT,xtsbzzmznr,wsktowtbcx,bshpkejwsp,-0.235,cAt
dOg,mhcfotmqni,0.2635,-589,0.1855,-256
uwbcbnrugm,hiwucevdna,-215,0.239,0.3735,-0.4865
Cat,120,-969,-494,DoG,dgorzfloar
CAT,0.4925,yvygxbfvhq,yruczctryz,caT,-0.0565
DoG,wtfzkgeofl,DOg,skkqbwifnh,0.4615,Dog
DOG,icskjsjadb,0.1235,0.356,-0.473,jpbeiqrinc
cat,CAt,969,Cat,89,bccwbfuzjo
DOg,0.0885,-0.455,-525,732,CaT
Cat,-534,agifaxjkmo,-226,524,wbyrorkzsm
Dog,97,-994,doG,Cat,0.417
lughtulmdm,-0.431,rsmccrjrmc,Cat,0.235,0.2055
0.3005,-0.4215,4,cAt,-539,-761
caT,0.322,DOG,CaT,ccwobtmjqu,96
dOg,221,241,wxepnloqcm,dOg,-449
-693,Cat,ybvfjktbnc,0.1405,eswzqmqwrs,-79
CAT,loinzyxcdp,cat,-202,-0.1725,uzobqmaaeq
dog,pggscvxbhn,zrgynamzai,uoeaiueslu,byskiastum,-0.46
DOg,cAT,643,-0.1545,321,DoG
gyxngzsbvs,vdqepmcfaa,-0.292,dwjzihpsji,fezdrjfjww,-0.227
dOG,296,dOG,954,0.444,pprogbnisi
cAT,0.3315,0.2185,-553,0.103,-0.029
hlioxhhful,726,-0.001,0.4815,jskxrerswr,aokzwvumot
ppetynwrzh,323,32,-996,xvbdjuveav,750
-0.355,cAt,0.2085,fqngguxwgg,yzsgwvagqc,0.491
DOg,0.066,doG,-925,0.3455,doG
cAt,-0.165,-447,0.2515,0.0085,zcapiiyezn
dOg,-0.06,uqleqdzrvr,oiqhkamndr,dOg,rvcwtfnzpm
dog,0.4025,oqzxpmffzd,-0.218,-0.2615,-0.079
CAt,0.0315,doravmooev,0.1525,pnhpghqkbx,uckpclrmqc
268,ohffriadno,0.497,88,68,capzjvcuxw
-65,dOg,xtyxcliqvs,-109,0.165,-0.4165
518,DOG,0.2305,556,0.4895,lqshulxkko
dog,0.0165,smpojhepex,klfzvgapjg,-423,996
qdvqefbqrw,juomfwtmrz,-0.3605,60,cAt,-927
CAT,DOg,702,0.024,0.4525,971
doG,abycrkikgp,484,-614,0.0275,fzjudkjszy
doG,0.4515,DOg,pjgffmfwqp,-264,147
dog,-0.0235,0.4005,cbedpkcmwz,-0.129,-0.398
xfomvvpokx,cndwsakvfd,-752,-0.033,-866,ssvpajnofo
