aoqlyxmbzz,pEt,xhyzhyikxu,jlspwdcvif
hlmsftivtc,dog,dog,eapfrumqqc
xrvjitwgwx,DoG,xholxnrukn,-0.2215
0.057,CAt,ynyelrezlg,dOG
-571,DOg,gjzykwagny,-0.2555
CaT,DOG,-0.086,52
DoG,haywiwtxza,edzynstogs,-806
nfczmrhmhc,826,nwwzmswmhw,-352
xzuawibllf,DOg,497,DoG
-0.4355,dog,dOG,CAt
kgwamqplaz,doG,-193,-432
cat,Cat,zlbufpkmjw,365
-0.35,DOg,0.3135,-780
589,CAT,-0.0935,DOG
618,qhfeqctlis,-295,129
645,dOg,ytuvemwemu,wsbtoriexd
41,337,85,-0.0705
rxnokpeiwy,CAt,wbmpngyugo,0.184
0.0355,doG,Dog,fdpmslmxzy
0.334,dog,-0.255,0.455
ulrclnhppj,Cat,0.049,helqvxcopv
-712,dOg,-981,694
btqeahzwsg,dOG,CaT,-0.106
251,caT,dOg,DOG
ppsaudrtul,dOg,0.332,iqukzrxqcy
-0.1335,CAT,cat,DOG
cvkxdnxmcn,-177,0.276,474
0.4435,dOg,doG,0.255
0.051,CAt,0.3885,zplcatzroz
542,Dog,-0.3475,fvpttsntas
sslyjuqewe,mzpbzmrzfy,-302,-296
-908,CaT,831,aerozmeqqd
0.46,CAT,DOG,hbqnmvvmkd
doG,DoG,0.2205,thwkahlzhk
dOg,dOG,-0.0605,-823
0.101,-0.1525,tcejzgbtix,dOg
212,caT,870,0.2055
rkkuwdjyqi,dOg,fzpwwyrncu,-0.169
hthtyqejzg,DOG,cat,0.1925
-622,cAt,ikismcrlrl,jauqseeoos
Cat,CAt,780,0.0905
DOg,Cat,904,-0.2995
orhzmckkjt,CAt,CAT,ycbktnrygi
-0.1145,xdydtgwcki,315,0.355
-0.1595,dog,-835,358
-0.3935,0.2515,169,352
CAT,DOG,-498,pltkbsadkm
921,cAT,379,0.108
phrbkpbspe,doG,cswamcvjex,pgtclsxgwy
-632,dOg,-45,582
0.2375,CaT,-927,0.054
kmizihjcmt,-0.041,0.0825,-84
-0.0085,CAt,921,-0.2745
doG,DOG,0.4445,-0.3095
-157,-527,-78,2
Cat,CaT,22,-931
ootlvtxcfw,cAt,tdpxksfmtp,201
dog,cAT,385,cAt
-221,DOG,-518,DOG
sqljstnbda,Dog,ngluqdqfmg,CaT
-234,DOG,uqqezraohg,-0.1175
cAT,-902,gomxsnmxda,mnmkfyjuew
lutfckydls,dog,hpxvfgubfo,476
DOG,fcwkqazkva,DOg,44
783,DOg,ksmdpguyof,0.42
869,CAT,yukvanqmpc,0.442
181,822,jcczcaertg,ylpvsvjdqv
kqowxgxmgm,cat,-0.1785,zztmflzwkw
996,dog,0.2805,-696
-44,dOG,-131,jcnwgnmmzr
-0.211,dOg,650,dxmdxpmzry
omxzoevaqx,caT,nkluhpisog,gcylwtkqhy
-0.453,Dog,guerdinzpi,0.2465
-77,DOg,-0.499,clnzjxwmrq
psbqibpegh,doG,0.436,-0.1405
awqpufgahu,-0.1665,gwjplhyjfs,dog
621,caT,wofuwxhcjk,apcpprbyif
cgcmggvlky,cAT,vhtmliyeqr,-115
tqpsymdcvt,CAT,181,-757
cat,Dog,-0.158,-0.28
ojrprweoxc,cAt,cat,-663
caT,DoG,zudelptpch,-0.223
-0.427,Cat,-0.1665,926
-0.3255,CAt,-0.1525,-0.263
fektqmrdkj,CAt,-576,pmmkgjpibe
xbzijnscti,DOG,359,Dog
154,-927,-0.0625,0.001
ckxnoemdoa,doG,0.0245,790
317,CAT,DOG,-578
oakzsvnpnj,-0.2135,-330,DOg
81,DOg,92,603
nexqgaaxvz,Cat,snmufnvdch,268
0.339,dOg,ivhgejlmrs,-0.293
-0.2155,Dog,zbggytqbgz,-0.1265
