tkfdnnmbpp,cestoympos,tygcvliamc,dxqxviauzz
788,DOG,665,fhodejoiab
-0.2175,gnhefaxpob,Dog,-0.394
-0.3185,0.1365,-424,-767
0.115,Dog,-677,gtlzelewht
dlehjgqdzq,flkkajcmje,CAt,77
-737,caT,dOG,-615
-0.18,0.3865,0.1965,Dog
496,672,Cat,cat
uxscqvcbnd,-0.4155,CAT,321
65,Cat,867,-0.328
-0.24,-877,rypaovbbak,0.497
CAT,-0.3495,-0.043,zgkjcnsfeo
313,umjyncheeu,-0.135,nmcggfqggb
CAT,vxbscshqjz,kjkvsexdet,-775
209,-972,mvytmuzvqo,0.0765
ebjofvnxqk,-33,634,dog
511,0.0385,0.1885,gqhowvangg
hajceyggci,0.3775,-714,qfcgjhavur
zjnvgfctnl,swezbctmud,768,0.0065
cAt,962,-0.43,-99
fpbvqwhcvb,0.321,-884,0.4875
dvobmxzftm,-803,-810,-4
-0.0305,zazsxftjxw,0.322,spxqtzwqvy
pcswctffoc,-0.1665,-0.4975,doG
frsusurtoj,1000,26,0.216
mwhkqkndyf,vyvrzoeaqy,-0.0285,-680
920,obcuphauch,doG,-917
-646,-856,-0.2305,0.0965
hnrxqxcznx,pscnoahfqp,cAt,caT
-163,-205,-0.099,-0.444
-0.024,oomszmtiqz,caT,-0.483
715,cAt,tkblqaahuj,cat
857,kfzugicext,161,0.298
-0.335,doG,-115,-527
778,0.2085,cat,0.004
caT,-421,vtgqoslstr,0.4395
985,0.1635,Dog,0.2775
xpynvzcakb,11,zwmnrylotl,-798
fennujblzb,hkuyhouzrt,230,nthjokvuiq
ymnxpyrdvc,dOg,431,-57
cAT,0.1995,DOg,-300
346,-213,-0.3445,CaT
cat,497,652,caT
ckywbihjod,caT,DOG,232
0.2975,-318,-277,-0.1245
pqhkctssks,cnyjtgcgti,-901,0.4025
fninrsteqv,0.3165,otjebqeern,-0.079
-0.3055,-560,DOg,-0.1825
144,0.126,yafudrdhpu,-457
dOg,-0.3865,etxebvtjng,0.3015
cat,pinkkjlxoc,0.41,-0.306
0.2145,-704,-731,vlbjlbkqcf
-201,0.4045,-0.156,DoG
CAT,caT,-414,0.1105
0.201,0.184,cAt,iogljcfbwy
308,0.1735,-0.429,xottebhajh
429,-599,-0.0375,0.3955
-19,-684,unjmwvwczh,sdwzkctfog
-119,0.3225,jsfmncuiub,CAt
-415,481,0.4125,rgoeeoxupy
-0.1775,-561,yqlwbldecc,0.2255
-489,-0.4975,wfctquznlf,CaT
fsjtbuhhas,dOG,CAt,917
0.1685,-0.1055,doG,-0.1335
