knskhfuory,cwwvntanql,zbiftlhunt,qeubcfdipn,imqzwwrrtw,xrjlnbjezr
jyzcdwvbqb,0.4925,yolyhemouz,-0.1245,0.0715,pqrcmrsqcy
930,0.0445,-270,xaaanrggkd,0.0335,0.1905
-0.2245,kmomgppkoa,fwumdzsloc,yxifaifpkg,-0.2695,-445
226,-193,197,60,rhtsxorprl,600
-35,ucopmndcjs,-237,dOG,fgdzsvyxgu,-775
-0.1935,879,-0.066,-0.302,tjctxsnxyk,0.2575
-506,0.424,caT,Cat,-910,rcwuhbeuog
-0.3225,xqgvttaqbo,-258,-293,wanakiidpx,zvpzfmyyex
-719,78,-598,0.3155,lppwqjvzdr,-532
-13,-0.3765,-941,lqumbstrxy,blyfrqspxi,0.4795
dotkfipojc,324,95,tnlkzlfyeu,jaetfjbbli,-939
0.222,hnaeanuvxn,zwrnxpwkxw,-0.453,fycatphxyq,dOG
-240,doG,vyzejqjhce,cat,0.122,dkzcxoxnei
-0.485,lhljbfpvpe,cyhbxiksln,-447,-0.2665,gxzwyumsay
-0.4615,dog,-0.0485,yancnghqjj,sndutyukhf,skhrctnfvo
wbgwwsqvqc,910,uknpuqzuau,-179,-0.0675,0.424
qfqpsqafrn,qbcpyxxhtv,uylfwytyhi,-363,0.2665,oupteijwyw
506,0.0675,hmteehvbfi,-917,szfqncuplk,lswntgxunr
megevmlfrp,0.03,-624,otjdbmucvs,-741,nqtelivlvx
0.0225,0.44,zvxoemtwvz,-57,Dog,-727
-391,cat,yyfllewedy,-812,0.478,552
0.2355,9,-884,voadpwvjvc,-284,-677
958,-0.0535,-0.441,lvmehboapk,wyagxaqtvk,-219
DoG,Dog,DOG,Cat,928,0.3395
jknxeaikgn,gishkokpyf,cAT,-0.2,-0.3505,241
czujbakwui,0.4105,cat,cAT,-0.2165,263
-0.3365,DOg,-0.4195,civqgsqxzw,mmfskbqmxh,0.1615
dbuptjrjoy,748,-165,707,0.0715,dOg
bzpotuiezw,mfavdqbgwz,dog,dvesmjnacp,lmabvbiewy,-60
-985,0.3085,-799,DOg,288,-30
zwukfvtmjb,-0.014,-0.4165,-0.1375,-673,-810
0.211,-181,0.4755,dOG,vstiujhrsv,403
uqgdlrgwtj,xqexwuuysh,eoswxjapal,311,18,-788
-0.0755,zoactobzvi,871,Dog,yakemjwjvq,-0.08
-453,0.0685,703,0.4185,jibyaosqko,365
pyfkvvamng,blzxdwotci,-0.306,ssbkwpizjo,0.175,-720
wursitpkqc,dOG,DoG,-0.1405,qprieaeefe,-186
mhxkvmqubn,rdaotuxavc,Dog,0.056,-0.493,DOg
qaihvelhse,-515,ywthlrxjtt,-0.4285,95,-0.036
0.087,CAT,zbbmanujmf,pvhcwawuga,-992,-913
0.082,qdwuxkzskt,0.1795,tknvboskqz,cxbecdhtfo,qgdfwihaqz
doG,-927,-0.3985,-0.4165,caT,-0.0835
aqgwyoclgp,-0.125,391,-0.3435,qrfgrhydmp,DoG
803,-641,zbyestjymj,CaT,-640,1000
-606,-0.4495,yjjmqihnwp,doG,fjgzqgrkgz,0.2725
0.2315,0.238,dOg,lgyosptjmw,-244,dOg
kddkhsabba,eleqcuzlav,-185,-0.284,-572,0.2185
vwrjhnnsjz,qlxjkhleuf,dOg,120,ymcyxlnpli,0.075
0.2655,824,-894,665,ikooajkctq,673
cAT,hjzxiljest,143,53,spjscbyara,0.333
0.264,jzuqegehsx,0.1225,caT,-780,lkkaethqkv
qmkmacpcpe,plzkfnopwi,153,CaT,nizbglojle,936
-0.1775,cat,-60,-0.285,CaT,rxjtgkfjpt
0.0335,-108,-281,flsiejrdkc,-294,-0.474
986,-785,0.246,iykadepgfm,cAT,cat
0.236,wcbxmpxugk,dog,0.022,0.065,DoG
-0.414,xxvczwwinz,-0.3915,0.2015,0.2685,-799
pzketioxrm,-359,-453,chhbblrqzp,-710,DOg
eahpcewwly,0.047,164,osgcmxevqu,-814,jzgphfdust
caT,105,-56,0.227,-0.412,bsrzpeewjf
-698,0.4,CaT,riixrvldxi,0.307,946
-0.4975,kzyofeqnsb,oiufairrln,DOg,0.1325,-755
Cat,dog,-386,0.197,mpmpqxonmq,983
-530,-657,0.4545,rabdraxejj,-0.474,uguxrxtbni
-0.226,0.013,-0.268,166,0.138,mstyyxporo
0.478,Cat,ifgjexgjqc,-0.067,tejlovwewn,xcwptlpsbv
-0.192,-0.298,-0.336,yeohxbzzdq,-485,hrxnwbnsoj
fkoxavqaol,vyashwycfs,Dog,0.396,0.2,-0.154
doG,-713,-210,-22,0.4905,-456
240,psaxzhaztj,0.4535,-702,dog,709
0.1755,0.458,Cat,-0.283,dOG,nkvzjrpykf
-731,0.3065,691,-301,jzywhdscky,tiuzktthgk
DOG,Cat,caT,257,-289,539
0.021,0.3595,-832,CaT,-721,0.0255
-934,613,xzoxpcugfb,bjosdxltez,-477,DOG
614,0.107,518,0.44,-180,-0.436
-0.397,0.1345,bxtlndmbsb,hqyqvsfpro,-0.4185,xlxahfqzqp
-0.2295,CaT,-778,469,529,nuvaftrpxw
815,gqmhvckpdp,Cat,0.495,ffgzhacsze,0.0465
jciqvlsmgw,-623,780,vviujuherv,-901,0.044
-112,cAT,-0.1315,doG,jfyvezcezf,0.4185
ollxzvfstj,-12,cztgjslzlw,500,dOG,0.2275
-0.234,caT,-82,Dog,0.137,CaT
bgocqooqas,doG,mzeuesdart,CAT,-442,-269
nrjftdezew,dOg,DOG,444,ikxaceniok,pwciflgjka
aakglmvwsy,dog,0.457,rwlsatcycj,-264,rhvuxwiias
0.313,cAT,bzvowgwpxh,lybiuwggqh,eoichfnuil,-248
49,-876,347,0.0805,-0.3065,cymuzxtyvy
dwrynsabrl,0.449,vjaxnbwmpg,fxqxyailhs,DOG,0.024
0.116,0.2885,-0.4145,DoG,0.0755,cat
kvquibbdfw,-0.2405,0.081,0.0025,CAT,kwwrmpidmz
Cat,-313,484,vyxcighgqa,DOG,-681
dog,-800,871,pbgpeiyvyc,yeeubistzm,-0.3955
